gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS4B03G0000100	Chr4B	1	459	+	230	Chr4B	1	459	+	230	1.0	1.0	collinear
gene:TraesCS4B03G0000200	Chr4B	228946	232186	+	230566	Chr4B	230189	233429	+	231809	1.0	1.0	collinear
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	233604	235207	-	234405	1.0	1.0	collinear
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	235554	237151	-	236352	1.0	1.0	collinear
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	1321134	1325121	-	1323127	1.0	1.0	collinear
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	1316142	1320257	+	1318199	1.0	1.0	collinear
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	1264008	1265225	-	1264616	1.0	1.0	collinear
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	1257749	1263057	+	1260403	1.0	1.0	collinear
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	1243148	1246366	-	1244757	1.0	1.0	collinear
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	1198805	1199422	-	1199113	1.0	1.0	collinear
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	1135933	1136559	+	1136246	1.0	1.0	collinear
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	1101906	1102898	+	1102402	1.0	1.0	collinear
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	1080301	1080693	-	1080497	1.0	0.997	collinear
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	1055540	1057158	-	1056349	1.0	1.0	collinear
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	1055642	1057009	+	1056325	1.0	1.0	collinear
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	1046619	1049898	-	1048258	1.0	1.0	collinear
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	824217	826230	-	825223	1.0	1.0	collinear
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	811058	811978	-	811518	1.0	1.0	collinear
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	807708	809435	+	808571	1.0	1.0	collinear
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	804929	806039	-	805484	1.0	1.0	collinear
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	652667	654439	-	653553	1.0	1.0	collinear
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	639894	640937	-	640415	1.0	1.0	collinear
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	621192	623232	-	622212	1.0	1.0	collinear
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	606792	608698	-	607745	1.0	1.0	collinear
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	593305	593700	+	593502	1.0	1.0	collinear
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	556850	559568	-	558209	1.0	1.0	collinear
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	536859	540040	-	538449	1.0	1.0	collinear
gene:TraesCS4B03G0003800	Chr4B	1685750	1687075	+	1686412	Chr4B	1696842	1698167	+	1697504	1.0	1.0	collinear
gene:TraesCS4B03G0004200	Chr4B	1757457	1761476	+	1759466	Chr4B	1768549	1772568	+	1770558	1.0	1.0	collinear
gene:TraesCS4B03G0004300	Chr4B	1762923	1767453	+	1765188	Chr4B	1774015	1778545	+	1776280	1.0	1.0	collinear
gene:TraesCS4B03G0004400	Chr4B	1769850	1774224	+	1772037	Chr4B	1780942	1785316	+	1783129	1.0	1.0	collinear
gene:TraesCS4B03G0004500	Chr4B	1775068	1779099	+	1777083	Chr4B	1786160	1790191	+	1788175	1.0	1.0	collinear
gene:TraesCS4B03G0004900	Chr4B	1839220	1843075	+	1841147	Chr4B	1851740	1855595	+	1853667	1.0	1.0	collinear
gene:TraesCS4B03G0005100	Chr4B	1966977	1971429	-	1969203	Chr4B	1981182	1985634	-	1983408	1.0	1.0	collinear
gene:TraesCS4B03G0005300	Chr4B	2021348	2025490	-	2023419	Chr4B	2035618	2039760	-	2037689	1.0	1.0	collinear
gene:TraesCS4B03G0005400	Chr4B	2134054	2136160	+	2135107	Chr4B	2148325	2150431	+	2149378	1.0	1.0	collinear
gene:TraesCS4B03G0006400	Chr4B	2318788	2320128	-	2319458	Chr4B	2335092	2336432	-	2335762	1.0	1.0	collinear
gene:TraesCS4B03G0006600	Chr4B	2361690	2362465	-	2362077	Chr4B	2379393	2380168	-	2379780	1.0	1.0	collinear
gene:TraesCS4B03G0007000	Chr4B	2416943	2418089	+	2417516	Chr4B	2435353	2436499	+	2435926	1.0	1.0	collinear
gene:TraesCS4B03G0007500	Chr4B	2443066	2488821	+	2465943	Chr4B	2462678	2510604	+	2486641	1.0	1.0	collinear
gene:TraesCS4B03G0007800	Chr4B	3611489	3612627	+	3612058	Chr4B	2692191	2693329	+	2692760	1.0	1.0	collinear
gene:TraesCS4B03G0008000	Chr4B	3629912	3630922	-	3630417	Chr4B	2710614	2711624	-	2711119	1.0	1.0	collinear
gene:TraesCS4B03G0008500	Chr4B	3739290	3747740	+	3743515	Chr4B	3423150	3431600	-	3427375	1.0	1.0	collinear
gene:TraesCS4B03G0008700	Chr4B	3827314	3833721	+	3830517	Chr4B	3337173	3343580	-	3340376	1.0	1.0	collinear
gene:TraesCS4B03G0008800	Chr4B	3842707	3849034	+	3845870	Chr4B	3321860	3328187	-	3325023	1.0	1.0	collinear
gene:TraesCS4B03G0009100	Chr4B	3859442	3864519	+	3861980	Chr4B	3306375	3311452	-	3308913	1.0	1.0	collinear
gene:TraesCS4B03G0009200	Chr4B	3875185	3875885	+	3875535	Chr4B	3295009	3295709	-	3295359	1.0	1.0	collinear
gene:TraesCS4B03G0009300	Chr4B	3880766	3883099	+	3881932	Chr4B	3287795	3290128	-	3288961	1.0	1.0	collinear
gene:TraesCS4B03G0009600	Chr4B	4394789	4395654	-	4395221	Chr4B	2775240	2776105	+	2775672	1.0	1.0	collinear
gene:TraesCS4B03G0010100	Chr4B	4628508	4631877	-	4630192	Chr4B	3710616	3713985	-	3712300	1.0	1.0	collinear
gene:TraesCS4B03G0010200	Chr4B	4649709	4654096	+	4651902	Chr4B	3732151	3736538	+	3734344	1.0	1.0	collinear
gene:TraesCS4B03G0010400	Chr4B	4694467	4701478	+	4697972	Chr4B	3776932	3784177	+	3780554	1.0	1.0	collinear
gene:TraesCS4B03G0010500	Chr4B	4702115	4703499	+	4702807	Chr4B	3784814	3786198	+	3785506	1.0	1.0	collinear
gene:TraesCS4B03G0010600	Chr4B	4704103	4704905	+	4704504	Chr4B	3786802	3787604	+	3787203	1.0	1.0	collinear
gene:TraesCS4B03G0011200	Chr4B	5005176	5006735	+	5005955	Chr4B	3820826	3822385	+	3821605	1.0	1.0	collinear
gene:TraesCS4B03G0011300	Chr4B	5013958	5015724	-	5014841	Chr4B	3829608	3831374	-	3830491	1.0	1.0	collinear
gene:TraesCS4B03G0011400	Chr4B	5016147	5018598	+	5017372	Chr4B	3831797	3834248	+	3833022	1.0	1.0	collinear
gene:TraesCS4B03G0011500	Chr4B	5038625	5040507	-	5039566	Chr4B	3854275	3856157	-	3855216	1.0	1.0	collinear
gene:TraesCS4B03G0011700	Chr4B	5043923	5045938	+	5044930	Chr4B	3859573	3861588	+	3860580	1.0	1.0	collinear
gene:TraesCS4B03G0011800	Chr4B	5050011	5052020	-	5051015	Chr4B	3865661	3867670	-	3866665	1.0	1.0	collinear
gene:TraesCS4B03G0012100	Chr4B	5077523	5082200	+	5079861	Chr4B	3893173	3897850	+	3895511	1.0	1.0	collinear
gene:TraesCS4B03G0012200	Chr4B	5087164	5091352	-	5089258	Chr4B	3902814	3907002	-	3904908	1.0	1.0	collinear
gene:TraesCS4B03G0012400	Chr4B	5318530	5319996	-	5319263	Chr4B	4134301	4135767	-	4135034	1.0	1.0	collinear
gene:TraesCS4B03G0012500	Chr4B	5320101	5321234	-	5320667	Chr4B	4135872	4137005	-	4136438	1.0	1.0	collinear
gene:TraesCS4B03G0013100	Chr4B	5665779	5670020	-	5667899	Chr4B	6145862	6150103	+	6147982	1.0	1.0	collinear
gene:TraesCS4B03G0013200	Chr4B	5674268	5676260	-	5675264	Chr4B	6139622	6141614	+	6140618	1.0	1.0	collinear
gene:TraesCS4B03G0013300	Chr4B	5730119	5731654	-	5730886	Chr4B	6083791	6085326	+	6084558	1.0	1.0	collinear
gene:TraesCS4B03G0013400	Chr4B	5753494	5754438	-	5753966	Chr4B	6060805	6061749	+	6061277	1.0	1.0	collinear
gene:TraesCS4B03G0013500	Chr4B	5772706	5776139	-	5774422	Chr4B	6039104	6042537	+	6040820	1.0	1.0	collinear
gene:TraesCS4B03G0013600	Chr4B	5779687	5781436	-	5780561	Chr4B	6033807	6035556	+	6034681	1.0	1.0	collinear
gene:TraesCS4B03G0013700	Chr4B	5784701	5785668	-	5785184	Chr4B	6029575	6030542	+	6030058	1.0	1.0	collinear
gene:TraesCS4B03G0013900	Chr4B	5803248	5807228	-	5805238	Chr4B	6008015	6011995	+	6010005	1.0	1.0	collinear
gene:TraesCS4B03G0014100	Chr4B	5878408	5881448	+	5879928	Chr4B	5932192	5935232	-	5933712	1.0	1.0	collinear
gene:TraesCS4B03G0014600	Chr4B	6029853	6032274	+	6031063	Chr4B	5779413	5781833	-	5780623	1.0	1.0	collinear
gene:TraesCS4B03G0015000	Chr4B	6269662	6271092	+	6270377	Chr4B	5535767	5537197	-	5536482	1.0	1.0	collinear
gene:TraesCS4B03G0015100	Chr4B	6272493	6273128	+	6272810	Chr4B	5533731	5534366	-	5534048	1.0	1.0	collinear
gene:TraesCS4B03G0015200	Chr4B	6274207	6274850	-	6274528	Chr4B	5532009	5532652	+	5532330	1.0	1.0	collinear
gene:TraesCS4B03G0015300	Chr4B	6276095	6276960	+	6276527	Chr4B	5529899	5530764	-	5530331	1.0	1.0	collinear
gene:TraesCS4B03G0015500	Chr4B	6283520	6284166	-	6283843	Chr4B	5522539	5523185	+	5522862	1.0	1.0	collinear
gene:TraesCS4B03G0015700	Chr4B	6338082	6340667	-	6339374	Chr4B	5466038	5468623	+	5467330	1.0	1.0	collinear
gene:TraesCS4B03G0015800	Chr4B	6346102	6348397	+	6347249	Chr4B	5458308	5460603	-	5459455	1.0	1.0	collinear
gene:TraesCS4B03G0015900	Chr4B	6349266	6350916	-	6350091	Chr4B	5455789	5457439	+	5456614	1.0	1.0	collinear
gene:TraesCS4B03G0016000	Chr4B	6396293	6400437	-	6398365	Chr4B	5405875	5410019	+	5407947	1.0	1.0	collinear
gene:TraesCS4B03G0016500	Chr4B	6542399	6542847	+	6542623	Chr4B	5258603	5259051	-	5258827	1.0	1.0	collinear
gene:TraesCS4B03G0016700	Chr4B	6603474	6606350	+	6604912	Chr4B	5195100	5197976	-	5196538	1.0	1.0	collinear
gene:TraesCS4B03G0016800	Chr4B	6622209	6624334	+	6623271	Chr4B	5177526	5179651	-	5178588	1.0	1.0	collinear
gene:TraesCS4B03G0017400	Chr4B	6779772	6782952	+	6781362	Chr4B	5013781	5016961	-	5015371	1.0	1.0	collinear
gene:TraesCS4B03G0017700	Chr4B	6802311	6806219	-	6804265	Chr4B	4990514	4994422	+	4992468	1.0	1.0	collinear
gene:TraesCS4B03G0017800	Chr4B	6841063	6845077	+	6843070	Chr4B	4951076	4955090	-	4953083	1.0	1.0	collinear
gene:TraesCS4B03G0017900	Chr4B	6898433	6901748	-	6900090	Chr4B	4894204	4897519	+	4895861	1.0	1.0	collinear
gene:TraesCS4B03G0018000	Chr4B	6902643	6905948	-	6904295	Chr4B	4890004	4893309	+	4891656	1.0	1.0	collinear
gene:TraesCS4B03G0018100	Chr4B	6943116	6947537	-	6945326	Chr4B	4848415	4852836	+	4850625	1.0	1.0	collinear
gene:TraesCS4B03G0018300	Chr4B	7074978	7077800	-	7076389	Chr4B	4718152	4720974	+	4719563	1.0	1.0	collinear
gene:TraesCS4B03G0018400	Chr4B	7084337	7087845	+	7086091	Chr4B	4708107	4711615	-	4709861	1.0	1.0	collinear
gene:TraesCS4B03G0019500	Chr4B	7253579	7257515	+	7255547	Chr4B	4536418	4540354	-	4538386	1.0	1.0	collinear
gene:TraesCS4B03G0019600	Chr4B	7266869	7273008	+	7269938	Chr4B	4520661	4526800	-	4523730	1.0	1.0	collinear
gene:TraesCS4B03G0019900	Chr4B	7276002	7276726	-	7276364	Chr4B	4516943	4517667	+	4517305	1.0	1.0	collinear
gene:TraesCS4B03G0020000	Chr4B	7459008	7461775	+	7460391	Chr4B	4330450	4333217	-	4331833	1.0	1.0	collinear
gene:TraesCS4B03G0020500	Chr4B	7857196	7862596	-	7859896	Chr4B	6535970	6541370	-	6538670	1.0	1.0	collinear
