gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity
gene:TraesCS1A03G0000400	Chr1A	70239	89245	+	79742	Chr1A	74491	95724	+	85107	1.0	0.998
gene:TraesCS1A03G0001000	Chr1A	149490	154559	-	152024	Chr1A	164794	169865	-	167329	1.0	0.997
gene:TraesCS1A03G0001200	Chr1A	162313	162609	+	162461	Chr1A	177622	177918	+	177770	1.0	1.0
gene:TraesCS1A03G0001300	Chr1A	169592	169969	-	169780	Chr1A	184911	185288	-	185099	1.0	1.0
gene:TraesCS1A03G0001400	Chr1A	180175	180552	-	180363	Chr1A	194883	195260	-	195071	1.0	0.997
gene:TraesCS1A03G0001800	Chr1A	270605	272936	-	271770	Chr1A	282079	284410	-	283244	1.0	0.999
gene:TraesCS1A03G0001700	Chr1A	269472	289602	-	279537	Chr1A	8872	37051	+	22961	0.999	0.958
gene:TraesCS1A03G0002100	Chr1A	287697	287957	+	287827	Chr1A	306528	306788	+	306658	1.0	1.0
gene:TraesCS1A03G0002400	Chr1A	297266	297652	+	297459	Chr1A	317256	317642	+	317449	1.0	1.0
gene:TraesCS1A03G0002200	Chr1A	294611	305428	-	300019	Chr1A	44992	55500	+	50246	0.986	0.958
gene:TraesCS1A03G0002800	Chr1A	326099	326518	+	326308	Chr1A	344173	344592	+	344382	1.0	1.0
gene:TraesCS1A03G0002900	Chr1A	337960	338256	+	338108	Chr1A	355941	356237	+	356089	1.0	1.0
gene:TraesCS1A03G0003200	Chr1A	403455	403751	+	403603	Chr1A	427001	427297	+	427149	1.0	1.0
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	1178213	1179814	+	1179013	1.0	0.994
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	1192921	1196559	-	1194740	1.0	0.992
gene:TraesCS1A03G0004300	Chr1A	1161721	1166114	-	1163917	Chr1A	1197214	1201607	-	1199410	1.0	0.998
gene:TraesCS1A03G0004400	Chr1A	1168201	1175228	+	1171714	Chr1A	1203691	1210766	+	1207228	1.0	0.997
gene:TraesCS1A03G0004500	Chr1A	1186689	1188709	+	1187699	Chr1A	1221954	1223990	+	1222972	0.993	0.984
gene:TraesCS1A03G0004900	Chr1A	1207566	1210657	-	1209111	Chr1A	1242248	1245339	-	1243793	1.0	0.999
gene:TraesCS1A03G0005000	Chr1A	1226759	1227184	-	1226971	Chr1A	1260376	1260801	-	1260588	1.0	0.995
gene:TraesCS1A03G0005200	Chr1A	1230199	1236314	-	1233256	Chr1A	1263826	1269975	-	1266900	0.999	0.988
gene:TraesCS1A03G0005600	Chr1A	1334686	1346171	-	1340428	Chr1A	1368545	1380035	-	1374290	0.999	0.997
gene:TraesCS1A03G0006700	Chr1A	1570115	1571372	-	1570743	Chr1A	1613202	1614459	-	1613830	1.0	0.998
gene:TraesCS1A03G0007600	Chr1A	1938410	1941394	+	1939902	Chr1A	1926641	1929640	+	1928140	1.0	0.994
gene:TraesCS1A03G0007700	Chr1A	1946022	1947181	+	1946601	Chr1A	1934268	1935455	+	1934861	1.0	0.965
gene:TraesCS1A03G0007800	Chr1A	1946792	1947917	+	1947354	Chr1A	1935066	1936191	+	1935628	1.0	1.0
gene:TraesCS1A03G0007900	Chr1A	1963897	1965450	+	1964673	Chr1A	1951352	1952905	+	1952128	1.0	1.0
gene:TraesCS1A03G0008100	Chr1A	2058764	2060237	-	2059500	Chr1A	2046227	2047700	-	2046963	1.0	0.993
gene:TraesCS1A03G0008200	Chr1A	2058764	2060237	-	2059500	Chr1A	2046227	2047700	-	2046963	1.0	0.993
gene:TraesCS1A03G0008600	Chr1A	2058909	2060171	-	2059540	Chr1A	2046372	2047634	-	2047003	1.0	0.992
gene:TraesCS1A03G0008400	Chr1A	2058909	2060171	-	2059540	Chr1A	2046372	2047634	-	2047003	1.0	0.992
gene:TraesCS1A03G0008300	Chr1A	2058909	2060171	-	2059540	Chr1A	2046372	2047634	-	2047003	1.0	0.992
gene:TraesCS1A03G0008500	Chr1A	2058909	2060171	-	2059540	Chr1A	2046372	2047634	-	2047003	1.0	0.992
gene:TraesCS1A03G0009000	Chr1A	2567417	2577225	+	2572321	Chr1A	2402573	2412381	+	2407477	1.0	1.0
gene:TraesCS1A03G0009200	Chr1A	2579251	2580660	+	2579955	Chr1A	2414407	2415816	+	2415111	1.0	0.993
gene:TraesCS1A03G0013100	Chr1A	3442853	3443320	-	3443086	Chr1A	4032560	4033027	-	4032793	1.0	0.997
gene:TraesCS1A03G0013400	Chr1A	3543536	3549092	-	3546314	Chr1A	4155175	4160742	-	4157958	1.0	0.99
gene:TraesCS1A03G0013600	Chr1A	3563033	3568128	-	3565580	Chr1A	4175723	4181381	-	4178552	1.0	0.993
gene:TraesCS1A03G0013800	Chr1A	3736743	3743503	-	3740123	Chr1A	4406197	4412935	-	4409566	1.0	0.986
gene:TraesCS1A03G0013900	Chr1A	3747551	3750600	+	3749075	Chr1A	4416951	4420000	+	4418475	1.0	0.985
gene:TraesCS1A03G0014300	Chr1A	3927688	3931188	+	3929438	Chr1A	4476005	4479502	+	4477753	0.998	0.993
gene:TraesCS1A03G0014400	Chr1A	3927688	3931514	+	3929601	Chr1A	4476005	4479828	+	4477916	0.999	0.992
gene:TraesCS1A03G0014500	Chr1A	3935056	3938039	+	3936547	Chr1A	4483385	4485891	+	4484638	1.0	0.993
gene:TraesCS1A03G0015600	Chr1A	4110192	4111500	+	4110846	Chr1A	4563346	4564671	+	4564008	0.985	0.913
gene:TraesCS1A03G0016000	Chr1A	4248617	4255576	-	4252096	Chr1A	4635227	4641707	-	4638467	0.941	0.925
gene:TraesCS1A03G0016200	Chr1A	4370836	4376697	+	4373766	Chr1A	4674303	4680374	+	4677338	0.985	0.953
gene:TraesCS1A03G0016300	Chr1A	4379285	4384806	-	4382045	Chr1A	4684150	4689628	-	4686889	1.0	0.989
gene:TraesCS1A03G0016400	Chr1A	4439929	4443198	+	4441563	Chr1A	4726588	4729865	+	4728226	0.987	0.954
gene:TraesCS1A03G0016500	Chr1A	4444852	4447770	-	4446311	Chr1A	4742555	4745460	-	4744007	0.995	0.987
gene:TraesCS1A03G0017500	Chr1A	4570594	4574086	-	4572340	Chr1A	5012854	5016286	-	5014570	0.981	0.94
gene:TraesCS1A03G0018800	Chr1A	4668102	4669750	-	4668926	Chr1A	5028037	5029685	-	5028861	1.0	0.993
gene:TraesCS1A03G0018900	Chr1A	4688180	4690620	-	4689400	Chr1A	5035731	5038171	-	5036951	1.0	0.988
gene:TraesCS1A03G0019600	Chr1A	4833835	4834480	-	4834157	Chr1A	5079596	5080214	-	5079905	0.958	0.941
gene:TraesCS1A03G0019800	Chr1A	4897332	4898204	+	4897768	Chr1A	5143288	5144160	+	5143724	0.998	0.974
