cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr2B	31439	131021009	Chr2B	561818	136233389	1355	0.9932922509225093
Chr2B	137271666	211003478	Chr2B	137391795	209355981	557	0.9943159784560145
Chr2B	213718220	248272484	Chr2B	209455048	244181471	202	0.9977524752475248
Chr2B	250482935	283157104	Chr2B	246638001	279454960	143	0.9991888111888111
Chr2B	285496966	304609294	Chr2B	281790040	307836626	29	0.9993793103448276
Chr2B	307417042	310240678	Chr2B	309494899	312316058	4	0.999
Chr2B	318431746	331681179	Chr2B	314758706	327951194	17	0.9998235294117647
Chr2B	333809245	346552298	Chr2B	330250410	344598255	21	0.9997142857142857
Chr2B	348999066	355740303	Chr2B	347040401	353719991	9	1.0
Chr2B	360072831	363706950	Chr2B	357451328	362709877	5	1.0
Chr2B	365734406	691802478	Chr2B	364642608	690108555	2086	0.9972046979865771
Chr2B	694081070	812652981	Chr2B	690519255	808958986	1049	0.9829666348903718
