gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity	segment
gene:TraesCS2B02G000100	Chr2B	9843	11553	-	10698	Chr2B	8868488	8870209	+	8869348	1.0	0.99	collinear
gene:TraesCS2B02G000200	Chr2B	19907	22569	+	21238	Chr2B	8846566	8849574	-	8848070	1.0	0.983	collinear
gene:TraesCS2B02G000300	Chr2B	45037	61255	-	53146	Chr2B	8830884	8841568	+	8836226	0.972	0.965	collinear
gene:TraesCS2B02G000400	Chr2B	63870	65572	+	64721	Chr2B	7394385	7396063	+	7395224	0.977	0.906	collinear
gene:TraesCS2B02G000500	Chr2B	91679	92119	+	91899	Chr2B	8796295	8796735	-	8796515	1.0	1.0	collinear
gene:TraesCS2B02G000800	Chr2B	432358	433095	+	432726	Chr2B	9077344	9078081	+	9077712	1.0	0.991	collinear
gene:TraesCS2B02G000900	Chr2B	447781	453531	-	450656	Chr2B	9092568	9098037	-	9095302	0.999	0.996	collinear
gene:TraesCS2B02G001000	Chr2B	470641	473097	+	471869	Chr2B	9115217	9117673	+	9116445	1.0	0.998	collinear
gene:TraesCS2B02G001100	Chr2B	477194	478878	+	478036	Chr2B	9121772	9123453	+	9122612	0.998	0.994	collinear
gene:TraesCS2B02G001200	Chr2B	632838	633239	+	633038	Chr2B	9307110	9307512	+	9307311	1.0	1.0	collinear
gene:TraesCS2B02G001300	Chr2B	810865	811158	-	811011	Chr2B	9483553	9483846	-	9483699	1.0	1.0	collinear
gene:TraesCS2B02G001600	Chr2B	1248784	1252232	+	1250508	Chr2B	3498821	3502272	-	3500546	0.999	0.985	collinear
gene:TraesCS2B02G001900	Chr2B	1314696	1317994	-	1316345	Chr2B	1652675	1655331	-	1654003	0.996	0.996	collinear
gene:TraesCS2B02G002000	Chr2B	1329861	1331574	+	1330717	Chr2B	1668654	1670367	+	1669510	1.0	1.0	collinear
gene:TraesCS2B02G002100	Chr2B	1348871	1362213	+	1355542	Chr2B	1687201	1700226	+	1693713	1.0	1.0	collinear
gene:TraesCS2B02G002600	Chr2B	1600469	1601449	-	1600959	Chr2B	1848682	1849665	-	1849173	1.0	0.968	collinear
gene:TraesCS2B02G002700	Chr2B	1706362	1707167	+	1706764	Chr2B	2085041	2085846	+	2085443	1.0	0.988	collinear
gene:TraesCS2B02G002800	Chr2B	1749669	1750706	+	1750187	Chr2B	2135823	2136860	+	2136341	1.0	0.992	collinear
gene:TraesCS2B02G002900	Chr2B	1752952	1755256	+	1754104	Chr2B	2139037	2141341	+	2140189	1.0	0.997	collinear
gene:TraesCS2B02G003300	Chr2B	1773308	1774960	-	1774134	Chr2B	2144126	2145776	-	2144951	0.998	0.992	collinear
gene:TraesCS2B02G003600	Chr2B	1831881	1833776	+	1832828	Chr2B	2153673	2155583	-	2154628	1.0	0.962	collinear
gene:TraesCS2B02G003900	Chr2B	2107170	2108718	+	2107944	Chr2B	2221610	2223159	+	2222384	1.0	0.994	collinear
gene:TraesCS2B02G004000	Chr2B	2109410	2113388	-	2111399	Chr2B	2223851	2227838	-	2225844	1.0	0.999	collinear
gene:TraesCS2B02G004100	Chr2B	2116046	2116633	+	2116339	Chr2B	2801151	2801735	-	2801443	0.994	0.948	collinear
gene:TraesCS2B02G004200	Chr2B	2235456	2238338	+	2236897	Chr2B	2432983	2435768	+	2434375	0.945	0.943	collinear
gene:TraesCS2B02G004300	Chr2B	2335787	2336388	+	2336087	Chr2B	2513055	2513656	+	2513355	1.0	1.0	collinear
gene:TraesCS2B02G004400	Chr2B	2344368	2347989	-	2346178	Chr2B	2521637	2525573	-	2523605	0.978	0.951	collinear
gene:TraesCS2B02G004500	Chr2B	2404235	2407537	-	2405886	Chr2B	2579460	2582777	-	2581118	1.0	0.996	collinear
gene:TraesCS2B02G004600	Chr2B	2501390	2503974	-	2502682	Chr2B	2666347	2668931	-	2667639	1.0	0.99	collinear
gene:TraesCS2B02G004700	Chr2B	2525898	2529167	-	2527532	Chr2B	2690342	2693590	-	2691966	0.999	0.993	collinear
gene:TraesCS2B02G004800	Chr2B	2566039	2566626	-	2566332	Chr2B	2729425	2730018	-	2729721	1.0	0.974	collinear
gene:TraesCS2B02G004900	Chr2B	2639862	2643225	-	2641543	Chr2B	2930475	2933840	-	2932157	1.0	0.995	collinear
gene:TraesCS2B02G005000	Chr2B	3288581	3293090	+	3290835	Chr2B	3308296	3312808	+	3310552	1.0	0.997	collinear
gene:TraesCS2B02G005100	Chr2B	3299928	3306836	-	3303382	Chr2B	3319220	3325762	-	3322491	1.0	0.993	collinear
gene:TraesCS2B02G005200	Chr2B	3307435	3312813	-	3310124	Chr2B	3326195	3331483	-	3328839	1.0	0.985	collinear
gene:TraesCS2B02G013400	Chr2B	6426314	6426511	+	6426412	Chr2B	5811807	5812004	-	5811905	1.0	0.944	collinear
gene:TraesCS2B02G013500	Chr2B	6710935	6716133	+	6713534	Chr2B	6296915	6302054	+	6299484	0.986	0.921	collinear
gene:TraesCS2B02G013800	Chr2B	6730826	6732349	-	6731587	Chr2B	6364381	6365902	-	6365141	0.998	0.978	collinear
gene:TraesCS2B02G014400	Chr2B	6899988	6901390	-	6900689	Chr2B	6360673	6362075	-	6361374	1.0	0.956	collinear
gene:TraesCS2B02G015000	Chr2B	7081061	7081943	-	7081502	Chr2B	6437339	6438222	-	6437780	1.0	0.98	collinear
gene:TraesCS2B02G015100	Chr2B	7108878	7109882	+	7109380	Chr2B	6402787	6403797	+	6403292	1.0	0.942	collinear
gene:TraesCS2B02G015300	Chr2B	7146882	7149155	-	7148018	Chr2B	6409635	6411914	-	6410774	1.0	0.974	collinear
gene:TraesCS2B02G018500	Chr2B	8561501	8569381	+	8565441	Chr2B	7873263	7880911	+	7877087	1.0	0.992	collinear
gene:TraesCS2B02G020300	Chr2B	9724163	9725705	-	9724934	Chr2B	9796282	9797825	+	9797053	0.997	0.979	collinear
gene:TraesCS2B02G020400	Chr2B	9731069	9740936	-	9736002	Chr2B	9781569	9791165	+	9786367	1.0	0.999	collinear
gene:TraesCS2B02G020700	Chr2B	10071914	10072957	+	10072435	Chr2B	10004651	10005689	+	10005170	0.995	0.975	collinear
gene:TraesCS2B02G020800	Chr2B	10076810	10078040	-	10077425	Chr2B	10014121	10015389	-	10014755	0.998	0.945	collinear
gene:TraesCS2B02G020900	Chr2B	10086500	10087107	+	10086803	Chr2B	10023596	10024203	+	10023899	1.0	1.0	collinear
gene:TraesCS2B02G021000	Chr2B	10088694	10089647	+	10089170	Chr2B	10025796	10026749	+	10026272	1.0	1.0	collinear
gene:TraesCS2B02G021100	Chr2B	10171771	10178714	-	10175242	Chr2B	10083823	10090764	-	10087293	1.0	0.996	collinear
