cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr4B	233162	21655059	Chr4B	250944	28848809	244	0.994204918032787
Chr4B	29438392	40047839	Chr4B	29160090	39685089	120	0.9977333333333334
Chr4B	46416532	75969407	Chr4B	39924204	69366206	207	0.9994347826086957
Chr4B	81852205	86155240	Chr4B	69670404	73977951	36	0.99975
Chr4B	88370406	136934055	Chr4B	76196500	122139048	286	0.9990909090909091
Chr4B	140765991	155154630	Chr4B	129308559	143652849	70	0.9997571428571429
Chr4B	157172475	164642854	Chr4B	123206153	149714882	12	0.9997500000000001
Chr4B	167236891	196068742	Chr4B	152294131	181085407	170	0.9997764705882353
Chr4B	198751450	207224234	Chr4B	182921554	191217220	8	0.99975
Chr4B	212453315	225011972	Chr4B	196363491	208884797	34	0.9995294117647059
Chr4B	229815313	233299063	Chr4B	209489442	212948509	4	0.9995
Chr4B	236068374	244739403	Chr4B	215862806	224474087	11	0.9998181818181819
Chr4B	276047700	278085815	Chr4B	248159440	250181596	6	0.9996666666666667
Chr4B	299342965	300568638	Chr4B	256916214	258136897	3	1.0
Chr4B	305087497	315298585	Chr4B	259219747	269398108	26	0.9997307692307693
Chr4B	326650034	330229225	Chr4B	272345462	275909651	8	0.9998750000000001
Chr4B	332805993	333640618	Chr4B	278488081	279316438	4	1.0
Chr4B	357330117	417827859	Chr4B	284745945	345070460	282	0.999354609929078
Chr4B	442743202	444194064	Chr4B	346873763	348323547	6	0.9998333333333335
Chr4B	459635068	505321492	Chr4B	348716014	394388251	242	0.9989380165289256
Chr4B	509444558	577462934	Chr4B	394537923	464486615	446	0.9976659192825112
Chr4B	586447126	673727606	Chr4B	464735650	559177166	874	0.9952974828375286
