cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr2A	262295867	262863052	Chr2A	257643467	258236227	4	0.997
Chr2A	265047681	267066623	Chr2A	253254882	255350068	7	0.9995714285714286
Chr2A	269745498	277781081	Chr2A	243338367	252062337	16	0.9928125000000001
Chr2A	279829079	283404262	Chr2A	237661572	241183832	18	0.9964999999999998
Chr2A	339528195	339973117	Chr2A	335235581	335639118	13	0.9956153846153845
Chr2A	341776760	342646626	Chr2A	332411798	333413075	6	0.996
Chr2A	254644	237897856	Chr2A	265796	236835193	2141	0.9960569827183559
Chr2A	260439994	260738141	Chr2A	259760466	260036304	4	0.998
Chr2A	283478083	286214975	Chr2A	282263320	285037694	5	0.9986
Chr2A	288400047	290885926	Chr2A	287290133	289875326	5	0.9966000000000002
Chr2A	293418889	298305444	Chr2A	292383852	297214031	7	0.9907142857142858
Chr2A	304709700	310989480	Chr2A	304051323	310464050	8	0.996875
Chr2A	313973952	315420835	Chr2A	313442324	314893781	3	0.9973333333333333
Chr2A	317579841	319393694	Chr2A	318396836	320280188	3	0.992
Chr2A	322290657	328918706	Chr2A	323121982	329843718	12	0.9950000000000001
Chr2A	334562095	339023104	Chr2A	336157135	340622436	10	0.9884000000000001
Chr2A	344692562	366697851	Chr2A	349029201	371248659	34	0.9965
Chr2A	368718225	399870506	Chr2A	372641690	403083338	100	0.9954899999999999
Chr2A	404353227	404817648	Chr2A	407635819	407827357	3	0.9943333333333334
Chr2A	409607272	490304153	Chr2A	412798576	493909089	271	0.9971180811808118
Chr2A	492634434	551591979	Chr2A	496226449	554179989	316	0.9961613924050634
Chr2A	553651491	787142100	Chr2A	556234756	793922944	2474	0.9952962813257882
