cs_chr	Sumai3_tgt_chr	n_anchors	Sumai3_mean_anchor_gap_Mb	Sumai3_interp_type	n_segments	Sumai3_mean_anchor_fraction
Chr1A	Chr1A	3880	0.154	linear	1	0.934
Chr1B	Chr1B	4343	0.161	linear	1	0.911
Chr1D	Chr1D	4390	0.114	linear	1	0.98
Chr2A	Chr2A	5446	0.144	linear	1	0.9
Chr2B	Chr2B	5663	0.143	linear	1	0.894
Chr2D	Chr2D	5667	0.115	linear	1	0.976
Chr3A	Chr3A	5001	0.151	linear	1	0.968
Chr3B	Chr3B	4738	0.179	linear	1	0.772
Chr3D	Chr3D	4729	0.13	linear	1	0.955
Chr4A	Chr4A	3748	0.2	linear	1	0.771
Chr4B	Chr4B	3571	0.189	linear	1	0.796
Chr4D	Chr4D	3491	0.147	linear	1	0.979
Chr5A	Chr5A	5286	0.135	linear	1	0.979
Chr5B	Chr5B	5189	0.138	linear	1	0.894
Chr5D	Chr5D	5464	0.104	linear	1	0.986
Chr6A	Chr6A	3925	0.159	linear	1	0.971
Chr6B	Chr6B	3925	0.186	linear	1	0.83
Chr6D	Chr6D	3860	0.128	linear	1	0.982
Chr7A	Chr7A	4933	0.151	linear	1	0.923
Chr7B	Chr7B	4361	0.175	linear	1	0.903
Chr7D	Chr7D	5067	0.126	linear	1	0.965
