gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity	segment
gene:TraesCS7B02G000100	Chr7B	32906	36770	-	34838	Chr7B	3462798	3466662	+	3464730	1.0	1.0	collinear
gene:TraesCS7B02G000200	Chr7B	43388	51239	-	47313	Chr7B	3448432	3456283	+	3452357	1.0	0.999	collinear
gene:TraesCS7B02G000300	Chr7B	113161	115194	+	114177	Chr7B	3384310	3386343	-	3385326	1.0	0.999	collinear
gene:TraesCS7B02G000400	Chr7B	115309	119981	-	117645	Chr7B	3379523	3384195	+	3381859	1.0	1.0	collinear
gene:TraesCS7B02G000500	Chr7B	120989	122254	+	121621	Chr7B	3377249	3378514	-	3377881	1.0	1.0	collinear
gene:TraesCS7B02G000600	Chr7B	222384	224848	+	223616	Chr7B	3267172	3269518	-	3268345	1.0	1.0	collinear
gene:TraesCS7B02G000700	Chr7B	229098	230197	+	229647	Chr7B	3261822	3262921	-	3262371	1.0	1.0	collinear
gene:TraesCS7B02G000800	Chr7B	230612	231250	+	230931	Chr7B	3260769	3261407	-	3261088	1.0	1.0	collinear
gene:TraesCS7B02G000900	Chr7B	257266	259314	+	258290	Chr7B	3232512	3234422	-	3233467	0.929	0.923	collinear
gene:TraesCS7B02G001000	Chr7B	261171	262954	+	262062	Chr7B	3228866	3230649	-	3229757	1.0	1.0	collinear
gene:TraesCS7B02G001100	Chr7B	263907	265477	+	264692	Chr7B	3226343	3227913	-	3227128	1.0	1.0	collinear
gene:TraesCS7B02G001200	Chr7B	267438	269851	-	268644	Chr7B	3221647	3224060	+	3222853	1.0	1.0	collinear
gene:TraesCS7B02G001300	Chr7B	287169	292385	+	289777	Chr7B	3199071	3204287	-	3201679	1.0	1.0	collinear
gene:TraesCS7B02G001400	Chr7B	421705	425790	+	423747	Chr7B	3066342	3070427	-	3068384	1.0	1.0	collinear
gene:TraesCS7B02G001500	Chr7B	426179	431580	-	428879	Chr7B	3060552	3065953	+	3063252	1.0	1.0	collinear
gene:TraesCS7B02G001600	Chr7B	603142	606645	+	604893	Chr7B	2885032	2888535	-	2886783	1.0	1.0	collinear
gene:TraesCS7B02G001700	Chr7B	640963	642786	+	641874	Chr7B	2849268	2851091	-	2850179	1.0	1.0	collinear
gene:TraesCS7B02G001800	Chr7B	672871	673573	-	673222	Chr7B	2818415	2819117	+	2818766	1.0	1.0	collinear
gene:TraesCS7B02G002000	Chr7B	781958	782812	-	782385	Chr7B	2709765	2710619	+	2710192	1.0	1.0	collinear
gene:TraesCS7B02G002100	Chr7B	801066	801998	+	801532	Chr7B	2690179	2691111	-	2690645	1.0	1.0	collinear
gene:TraesCS7B02G002200	Chr7B	848013	850214	+	849113	Chr7B	2640394	2642595	-	2641494	1.0	0.999	collinear
gene:TraesCS7B02G002300	Chr7B	882348	891020	-	886684	Chr7B	2596947	2607754	+	2602350	1.0	1.0	collinear
gene:TraesCS7B02G002400	Chr7B	1020557	1021684	+	1021120	Chr7B	2465174	2466301	-	2465737	1.0	1.0	collinear
gene:TraesCS7B02G002600	Chr7B	1037429	1039865	-	1038647	Chr7B	2446973	2449409	+	2448191	1.0	0.999	collinear
gene:TraesCS7B02G002700	Chr7B	1065102	1069333	-	1067217	Chr7B	2417372	2421603	+	2419487	1.0	1.0	collinear
gene:TraesCS7B02G002500	Chr7B	1033399	1103911	-	1068655	Chr7B	2382810	2453439	+	2418124	1.0	0.997	collinear
gene:TraesCS7B02G002800	Chr7B	1154155	1155583	+	1154869	Chr7B	2323648	2325076	-	2324362	1.0	1.0	collinear
gene:TraesCS7B02G002900	Chr7B	1202960	1208805	-	1205882	Chr7B	2275917	2281762	+	2278839	1.0	1.0	collinear
gene:TraesCS7B02G003000	Chr7B	1254479	1262607	-	1258543	Chr7B	2221690	2229690	+	2225690	1.0	1.0	collinear
gene:TraesCS7B02G003100	Chr7B	1269606	1276585	-	1273095	Chr7B	2207712	2214691	+	2211201	1.0	1.0	collinear
gene:TraesCS7B02G003200	Chr7B	1277261	1283594	-	1280427	Chr7B	2200703	2207036	+	2203869	1.0	1.0	collinear
gene:TraesCS7B02G003300	Chr7B	1304370	1309391	+	1306880	Chr7B	2176524	2181546	-	2179035	1.0	0.999	collinear
gene:TraesCS7B02G003400	Chr7B	1313393	1327596	+	1320494	Chr7B	2158319	2172522	-	2165420	1.0	1.0	collinear
gene:TraesCS7B02G003500	Chr7B	1331541	1331921	+	1331731	Chr7B	2153994	2154374	-	2154184	1.0	1.0	collinear
gene:TraesCS7B02G003600	Chr7B	1351479	1352210	+	1351844	Chr7B	2099392	2100123	-	2099757	1.0	1.0	collinear
gene:TraesCS7B02G003700	Chr7B	1364532	1364921	+	1364726	Chr7B	2086958	2087347	-	2087152	1.0	1.0	collinear
gene:TraesCS7B02G003800	Chr7B	1436945	1438038	+	1437491	Chr7B	2014880	2015973	-	2015426	1.0	1.0	collinear
gene:TraesCS7B02G003900	Chr7B	1482228	1483396	+	1482812	Chr7B	1972675	1973842	-	1973258	0.999	0.999	collinear
gene:TraesCS7B02G004000	Chr7B	1697699	1697938	+	1697818	Chr7B	1757239	1757478	-	1757358	1.0	1.0	collinear
gene:TraesCS7B02G004400	Chr7B	2098559	2101882	+	2100220	Chr7B	1421058	1424237	-	1422647	0.98	0.953	collinear
gene:TraesCS7B02G004500	Chr7B	2328395	2329072	-	2328733	Chr7B	1038474	1039151	+	1038812	1.0	1.0	collinear
gene:TraesCS7B02G004600	Chr7B	2334104	2335649	+	2334876	Chr7B	1031896	1033441	-	1032668	1.0	1.0	collinear
