cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr1A	55218	161541694	Chr1A	22835	159583120	1140	0.9944824561403509
Chr1A	163678239	179411032	Chr1A	161763098	177456377	30	0.9970333333333333
Chr1A	181647298	184244993	Chr1A	179565677	182161047	5	0.9996
Chr1A	187212146	195578524	Chr1A	185169136	193568652	11	0.999909090909091
Chr1A	202719482	204217307	Chr1A	200752081	202232469	4	1.0
Chr1A	206439950	211446295	Chr1A	204468854	209506304	8	0.9998750000000001
Chr1A	215899220	411777219	Chr1A	213043876	409984302	899	0.9958787541713015
Chr1A	414061309	422384517	Chr1A	412395740	421061776	23	0.9934347826086956
Chr1A	425019660	573557123	Chr1A	422906085	570945755	1530	0.9946026143790849
Chr1A	576649268	581635328	Chr1A	573178033	578173267	93	0.9986451612903225
Chr1A	584155171	598556974	Chr1A	581048843	595190493	164	0.9907560975609757
