cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr6D	43783	18534176	Chr6D	132270	20541670	434	0.9997188940092167
Chr6D	46902857	49450861	Chr6D	82429063	84956415	31	0.9975806451612903
Chr6D	18775660	46873994	Chr6D	21964590	77003838	370	0.9999378378378377
Chr6D	49849091	164765103	Chr6D	77675013	194840280	884	0.999643665158371
Chr6D	166779487	214550301	Chr6D	196850087	244821502	75	0.99896
Chr6D	216846232	227401287	Chr6D	247027036	257539120	15	0.9989333333333333
Chr6D	232122220	239805311	Chr6D	262240002	269862577	12	0.9941666666666666
Chr6D	242219199	280904417	Chr6D	272253714	313184175	145	0.9986620689655171
Chr6D	283156017	415028218	Chr6D	315421091	446920593	1036	0.9998803088803091
Chr6D	417690848	473516145	Chr6D	449576667	507589878	992	0.9997116935483871
