gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS7A03G0028200	Chr7A	6150579	6151773	+	6151176	Chr7A	7928748	7929942	-	7929345	1.0	0.992
gene:TraesCS7A03G0029500	Chr7A	6626336	6629683	+	6628009	Chr7A	7662542	7665882	-	7664212	0.997	0.979
gene:TraesCS7A03G0029800	Chr7A	6653409	6656928	-	6655168	Chr7A	7618544	7622033	+	7620288	1.0	0.995
gene:TraesCS7A03G0029900	Chr7A	6658548	6661327	+	6659937	Chr7A	7614078	7616924	-	7615501	1.0	0.996
gene:TraesCS7A03G0030000	Chr7A	6662289	6666108	-	6664198	Chr7A	7609297	7613120	+	7611208	0.997	0.986
gene:TraesCS7A03G0030900	Chr7A	6822543	6827726	-	6825134	Chr7A	7489534	7494695	+	7492114	0.994	0.987
gene:TraesCS7A03G0031000	Chr7A	6830243	6836892	+	6833567	Chr7A	7482056	7488393	-	7485224	0.996	0.952
gene:TraesCS7A03G0031700	Chr7A	6862393	6871357	-	6866875	Chr7A	7411444	7420548	+	7415996	0.993	0.98
gene:TraesCS7A03G0031800	Chr7A	6921839	6925305	+	6923572	Chr7A	7351741	7358336	-	7355038	1.0	0.983
gene:TraesCS7A03G0032300	Chr7A	7006177	7006518	-	7006347	Chr7A	7134311	7134652	+	7134481	1.0	0.932
gene:TraesCS7A03G0032700	Chr7A	7082037	7082611	+	7082324	Chr7A	7149952	7150527	-	7150239	0.985	0.985
gene:TraesCS7A03G0032800	Chr7A	7095091	7102497	+	7098794	Chr7A	7136147	7138847	-	7137497	1.0	0.982
gene:TraesCS7A03G0033300	Chr7A	7128421	7129914	+	7129167	Chr7A	7121613	7123118	-	7122365	0.997	0.968
gene:TraesCS7A03G0033500	Chr7A	7170906	7174675	-	7172790	Chr7A	7103537	7107140	+	7105338	1.0	0.989
gene:TraesCS7A03G0033700	Chr7A	7189004	7192565	+	7190784	Chr7A	4168609	4172154	+	4170381	0.993	0.982
gene:TraesCS7A03G0033900	Chr7A	7207592	7209410	+	7208501	Chr7A	4184695	4186502	+	4185598	0.993	0.96
gene:TraesCS7A03G0037400	Chr7A	8065119	8067440	-	8066279	Chr7A	4960184	4962505	-	4961344	1.0	0.997
gene:TraesCS7A03G0037500	Chr7A	8067789	8074281	-	8071035	Chr7A	4962858	4969348	-	4966103	0.998	0.993
gene:TraesCS7A03G0037700	Chr7A	8079325	8081812	+	8080568	Chr7A	4974285	4976771	+	4975528	0.999	0.997
gene:TraesCS7A03G0037800	Chr7A	8109989	8111788	+	8110888	Chr7A	5013629	5015428	+	5014528	1.0	0.997
gene:TraesCS7A03G0037900	Chr7A	8115358	8116697	+	8116027	Chr7A	5018976	5020302	+	5019639	0.974	0.921
gene:TraesCS7A03G0038300	Chr7A	8183400	8185152	+	8184276	Chr7A	5102122	5103873	+	5102997	0.998	0.98
gene:TraesCS7A03G0038500	Chr7A	8207938	8211349	-	8209643	Chr7A	5132874	5136336	-	5134605	0.987	0.978
gene:TraesCS7A03G0038600	Chr7A	8246254	8249389	+	8247821	Chr7A	5153161	5156296	+	5154728	1.0	0.992
gene:TraesCS7A03G0038700	Chr7A	8252788	8254596	-	8253692	Chr7A	5159954	5161762	-	5160858	1.0	0.998
gene:TraesCS7A03G0039600	Chr7A	8392590	8392778	+	8392684	Chr7A	5269295	5269483	+	5269389	1.0	0.978
gene:TraesCS7A03G0039500	Chr7A	8392181	8395198	-	8393689	Chr7A	5268885	5271942	-	5270413	1.0	0.982
gene:TraesCS7A03G0039700	Chr7A	8398645	8401230	+	8399937	Chr7A	5275801	5278386	+	5277093	1.0	0.997
gene:TraesCS7A03G0040000	Chr7A	8413816	8414663	-	8414239	Chr7A	5295245	5296089	-	5295667	0.995	0.979
gene:TraesCS7A03G0040100	Chr7A	8416437	8418697	+	8417567	Chr7A	5297834	5300101	+	5298967	1.0	0.993
gene:TraesCS7A03G0041300	Chr7A	8765956	8771484	-	8768720	Chr7A	5351810	5357339	-	5354574	1.0	0.998
gene:TraesCS7A03G0041400	Chr7A	8773031	8777173	-	8775102	Chr7A	5358973	5363115	-	5361044	1.0	0.998
gene:TraesCS7A03G0041500	Chr7A	8777742	8780742	-	8779242	Chr7A	5363684	5366684	-	5365184	1.0	1.0
gene:TraesCS7A03G0041700	Chr7A	8884574	8886768	+	8885671	Chr7A	5470500	5472682	+	5471591	0.994	0.991
gene:TraesCS7A03G0041900	Chr7A	8886782	8889674	-	8888228	Chr7A	5472696	5475664	-	5474180	0.997	0.951
gene:TraesCS7A03G0042000	Chr7A	8894178	8896509	+	8895343	Chr7A	5489019	5491449	+	5490234	1.0	0.909
gene:TraesCS7A03G0042100	Chr7A	8931580	8932227	-	8931903	Chr7A	5510850	5511497	-	5511173	1.0	0.992
gene:TraesCS7A03G0042200	Chr7A	8931580	8932227	-	8931903	Chr7A	5510850	5511497	-	5511173	1.0	0.993
gene:TraesCS7A03G0042900	Chr7A	9049554	9051183	+	9050368	Chr7A	5604446	5606075	+	5605260	1.0	0.995
gene:TraesCS7A03G0043100	Chr7A	9068681	9070066	+	9069373	Chr7A	5629527	5630905	-	5630216	0.994	0.926
gene:TraesCS7A03G0043300	Chr7A	9147513	9150814	+	9149163	Chr7A	5933632	5936946	+	5935289	1.0	0.983
