gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity	segment
gene:TraesCS5B02G115700	Chr5B	196236948	196238893	+	196237920	Chr5B	231217560	231219505	+	231218532	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B02G115900	Chr5B	196465961	196471522	+	196468741	Chr5B	231443999	231449559	+	231446779	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B02G116200	Chr5B	198027852	198029066	-	198028459	Chr5B	232971800	232973014	-	232972407	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B02G116300	Chr5B	198029550	198033049	-	198031299	Chr5B	232973498	232976999	-	232975248	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B02G116400	Chr5B	198416532	198417472	+	198417002	Chr5B	233352789	233353712	+	233353250	0.979	0.976	rearrangement:Chr5B_block2
gene:TraesCS5B02G116500	Chr5B	198416588	198421636	-	198419112	Chr5B	233352845	233357876	-	233355360	0.995	0.995	rearrangement:Chr5B_block2
gene:TraesCS5B02G119100	Chr5B	210167304	210168098	-	210167701	Chr5B	216017396	216018190	+	216017793	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G119200	Chr5B	210734411	210735556	+	210734983	Chr5B	215457553	215458698	-	215458125	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G119300	Chr5B	211145770	211147394	+	211146582	Chr5B	215038435	215040059	-	215039247	1.0	0.998	rearrangement:Chr5B_block1
gene:TraesCS5B02G119400	Chr5B	211582549	211590136	+	211586342	Chr5B	214598922	214606509	-	214602715	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G119500	Chr5B	211733944	211738654	+	211736299	Chr5B	214460452	214465147	-	214462799	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G119600	Chr5B	211739093	211739284	-	211739188	Chr5B	214459822	214460013	+	214459917	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G119700	Chr5B	212189442	212193483	+	212191462	Chr5B	214014902	214018942	-	214016922	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G119800	Chr5B	212389487	212406943	+	212398215	Chr5B	213783917	213801109	-	213792513	1.0	0.998	rearrangement:Chr5B_block1
gene:TraesCS5B02G119900	Chr5B	212629864	212634220	+	212632042	Chr5B	213525923	213530280	-	213528101	0.999	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G120000	Chr5B	212634917	212636332	-	212635624	Chr5B	213523811	213525226	+	213524518	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G120100	Chr5B	212784069	212797800	+	212790934	Chr5B	213369064	213382548	-	213375806	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G120200	Chr5B	212790249	212801266	-	212795757	Chr5B	213365901	213376391	+	213371146	1.0	0.998	rearrangement:Chr5B_block1
gene:TraesCS5B02G120300	Chr5B	213248360	213252780	+	213250570	Chr5B	212918681	212923095	-	212920888	0.998	0.998	rearrangement:Chr5B_block1
gene:TraesCS5B02G120400	Chr5B	213252280	213258565	-	213255422	Chr5B	212912897	212919181	+	212916039	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G120500	Chr5B	213471491	213478696	-	213475093	Chr5B	212706283	212713488	+	212709885	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G120600	Chr5B	214107518	214127026	+	214117272	Chr5B	212055197	212074332	-	212064764	1.0	1.0	rearrangement:Chr5B_block1
