gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	629774	634009	-	631891	1.0	0.992	rearrangement:Chr3A_block1
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	594512	598320	+	596416	0.992	0.987	rearrangement:Chr3A_block1
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	445211	445587	-	445399	0.997	0.992	rearrangement:Chr3A_block1
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	1626217	1630261	-	1628239	0.998	0.997	rearrangement:Chr3A_block1
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1635060	1637778	-	1636419	1.0	0.998	rearrangement:Chr3A_block1
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1673106	1679614	+	1676360	0.966	0.952	rearrangement:Chr3A_block1
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1685221	1688383	+	1686802	1.0	0.982	rearrangement:Chr3A_block1
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1844934	1848218	+	1846576	1.0	0.998	rearrangement:Chr3A_block1
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1873850	1875766	+	1874808	0.97	0.958	rearrangement:Chr3A_block1
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1919428	1921718	+	1920573	1.0	0.993	rearrangement:Chr3A_block1
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1966842	1969402	+	1968122	0.953	0.95	rearrangement:Chr3A_block1
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	2020854	2024215	+	2022534	1.0	1.0	rearrangement:Chr3A_block1
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	2028110	2031311	+	2029710	1.0	0.999	rearrangement:Chr3A_block1
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2394410	2394916	+	2394663	0.998	0.972	rearrangement:Chr3A_block1
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2400354	2400770	+	2400562	1.0	0.997	rearrangement:Chr3A_block1
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2301166	2301589	+	2301377	0.981	0.962	rearrangement:Chr3A_block1
gene:TraesCS3A03G0006600	Chr3A	1861996	1862403	+	1862199	Chr3A	2551323	2551730	+	2551526	1.0	0.985	rearrangement:Chr3A_block1
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2557669	2559526	+	2558597	1.0	0.979	rearrangement:Chr3A_block1
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2568416	2568893	+	2568654	1.0	0.976	rearrangement:Chr3A_block1
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2582454	2583160	+	2582807	1.0	0.974	rearrangement:Chr3A_block1
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2595839	2598094	-	2596966	0.997	0.937	rearrangement:Chr3A_block1
