gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS6B03G0013400	Chr6B	4391416	4398100	+	4394758	Chr6B	3277191	3283815	-	3280503	1.0	0.995
gene:TraesCS6B03G0013500	Chr6B	4404062	4404739	+	4404400	Chr6B	3269973	3270650	-	3270311	1.0	0.998
gene:TraesCS6B03G0013700	Chr6B	4413195	4419297	+	4416246	Chr6B	3257979	3264020	-	3260999	1.0	0.983
gene:TraesCS6B03G0013900	Chr6B	4435732	4443343	-	4439537	Chr6B	3216445	3220334	+	3218389	1.0	0.982
gene:TraesCS6B03G0014000	Chr6B	4455874	4461863	+	4458868	Chr6B	3204054	3209991	-	3207022	0.983	0.916
gene:TraesCS6B03G0015900	Chr6B	4988145	4990408	+	4989276	Chr6B	3028900	3031257	-	3030078	1.0	0.973
gene:TraesCS6B03G0016100	Chr6B	4998295	4999616	+	4998955	Chr6B	2848418	2850001	+	2849209	0.979	0.907
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	2865697	2870204	-	2867950	0.974	0.933
gene:TraesCS6B03G0017400	Chr6B	5286921	5287880	-	5287400	Chr6B	2846441	2847424	+	2846932	1.0	0.994
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	2608778	2618492	-	2613635	0.997	0.968
gene:TraesCS6B03G0019800	Chr6B	6099288	6099791	+	6099539	Chr6B	2627958	2628475	+	2628216	1.0	0.951
gene:TraesCS6B03G0021800	Chr6B	6396832	6398301	+	6397566	Chr6B	2353081	2354550	-	2353815	1.0	0.976
gene:TraesCS6B03G0021900	Chr6B	6533377	6534963	-	6534170	Chr6B	2300341	2301937	+	2301139	0.977	0.92
gene:TraesCS6B03G0022200	Chr6B	6626180	6626836	+	6626508	Chr6B	2237069	2237722	-	2237395	0.995	0.925
gene:TraesCS6B03G0022700	Chr6B	6911203	6914974	+	6913088	Chr6B	2227016	2230803	-	2228909	0.973	0.911
gene:TraesCS6B03G0022900	Chr6B	6924085	6926402	+	6925243	Chr6B	2213053	2215298	-	2214175	0.971	0.914
gene:TraesCS6B03G0023000	Chr6B	6936001	6937452	+	6936726	Chr6B	2206665	2208117	-	2207391	1.0	0.966
gene:TraesCS6B03G0023300	Chr6B	7061530	7064275	-	7062902	Chr6B	2186864	2189896	+	2188380	0.985	0.93
gene:TraesCS6B03G0023500	Chr6B	7089330	7090701	-	7090015	Chr6B	2170517	2171906	+	2171211	0.998	0.968
gene:TraesCS6B03G0023900	Chr6B	7115022	7120828	-	7117925	Chr6B	2099953	2106356	+	2103154	0.981	0.956
gene:TraesCS6B03G0024600	Chr6B	7405188	7405569	+	7405378	Chr6B	1900807	1901188	-	1900997	1.0	0.989
gene:TraesCS6B03G0024800	Chr6B	7432566	7436828	+	7434697	Chr6B	1879247	1883603	-	1881425	0.993	0.971
gene:TraesCS6B03G0024900	Chr6B	7497813	7501390	+	7499601	Chr6B	1798479	1802013	-	1800246	0.999	0.967
gene:TraesCS6B03G0025000	Chr6B	7523590	7525907	-	7524748	Chr6B	1759691	1762003	+	1760847	0.998	0.965
