gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	338655	339079	-	338867	1.0	1.0
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	504112	505951	+	505031	1.0	1.0
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	509002	509695	+	509348	1.0	1.0
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	510940	511541	-	511240	1.0	1.0
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	533258	535849	-	534553	1.0	1.0
gene:TraesCS3B03G0001000	Chr3B	375283	376618	+	375950	Chr3B	639746	641081	+	640413	1.0	1.0
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	652475	653457	+	652966	1.0	1.0
gene:TraesCS3B03G0001400	Chr3B	424653	427478	-	426065	Chr3B	689133	691958	-	690545	1.0	1.0
gene:TraesCS3B03G0001500	Chr3B	475201	476475	-	475838	Chr3B	739681	740955	-	740318	1.0	1.0
gene:TraesCS3B03G0001600	Chr3B	478359	479180	+	478769	Chr3B	742839	743660	+	743249	1.0	0.998
gene:TraesCS3B03G0001700	Chr3B	491565	493664	-	492614	Chr3B	756547	758646	-	757596	1.0	1.0
gene:TraesCS3B03G0002300	Chr3B	613726	615867	+	614796	Chr3B	878249	880390	+	879319	1.0	1.0
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	1119041	1119597	+	1119319	1.0	1.0
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	1122164	1127262	-	1124713	1.0	1.0
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	1577201	1581059	-	1579130	1.0	1.0
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	1887418	1891783	+	1889600	1.0	1.0
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	1922855	1926147	-	1924501	1.0	1.0
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1991950	1995083	-	1993516	1.0	1.0
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	2036904	2041187	-	2039045	1.0	1.0
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	2044779	2046378	+	2045578	1.0	1.0
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	2515273	2516701	+	2515987	1.0	1.0
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	2524436	2526789	-	2525612	1.0	1.0
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	2537313	2539088	-	2538200	1.0	1.0
gene:TraesCS3B03G0005500	Chr3B	2264941	2267104	-	2266022	Chr3B	2550624	2552787	-	2551705	1.0	1.0
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	2565680	2568604	-	2567142	1.0	1.0
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	2582481	2585310	-	2583895	1.0	1.0
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	2591190	2594254	-	2592722	1.0	1.0
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	2673487	2675882	-	2674684	1.0	1.0
gene:TraesCS3B03G0006200	Chr3B	2400732	2403083	-	2401907	Chr3B	2683934	2686283	-	2685108	1.0	1.0
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	2697482	2706089	+	2701785	1.0	1.0
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	2714299	2717368	+	2715833	1.0	1.0
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	2725820	2728681	+	2727250	1.0	1.0
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	2740377	2742542	+	2741459	1.0	1.0
gene:TraesCS3B03G0006900	Chr3B	2470221	2472506	+	2471363	Chr3B	2753424	2755709	+	2754566	1.0	1.0
gene:TraesCS3B03G0007000	Chr3B	2478261	2480528	+	2479394	Chr3B	2761464	2763731	+	2762597	1.0	1.0
gene:TraesCS3B03G0007300	Chr3B	2530871	2532375	+	2531623	Chr3B	2814078	2815582	+	2814830	1.0	1.0
gene:TraesCS3B03G0007400	Chr3B	2539959	2542446	+	2541202	Chr3B	2823164	2825651	+	2824407	1.0	1.0
gene:TraesCS3B03G0007600	Chr3B	2550258	2551285	-	2550771	Chr3B	2833463	2834490	-	2833976	1.0	1.0
gene:TraesCS3B03G0007800	Chr3B	2560091	2561590	+	2560840	Chr3B	2843300	2844799	+	2844049	1.0	1.0
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	2891202	2894469	+	2892835	1.0	1.0
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	2901489	2905126	+	2903307	1.0	1.0
gene:TraesCS3B03G0008200	Chr3B	2625685	2627229	+	2626457	Chr3B	2908901	2910445	+	2909673	1.0	1.0
gene:TraesCS3B03G0008300	Chr3B	2637952	2639202	+	2638577	Chr3B	2921168	2922418	+	2921793	1.0	1.0
gene:TraesCS3B03G0008400	Chr3B	2640962	2642991	+	2641976	Chr3B	2924178	2926207	+	2925192	1.0	1.0
gene:TraesCS3B03G0008500	Chr3B	2644992	2648624	+	2646808	Chr3B	2928208	2931840	+	2930024	1.0	1.0
gene:TraesCS3B03G0008700	Chr3B	2650047	2654817	+	2652432	Chr3B	2933102	2937872	+	2935487	1.0	1.0
gene:TraesCS3B03G0008900	Chr3B	3142976	3145283	+	3144129	Chr3B	3342485	3344792	+	3343638	1.0	1.0
gene:TraesCS3B03G0009200	Chr3B	3160490	3162733	+	3161611	Chr3B	3359999	3362242	+	3361120	1.0	1.0
gene:TraesCS3B03G0009700	Chr3B	3267964	3273538	-	3270751	Chr3B	3467612	3473186	-	3470399	1.0	1.0
gene:TraesCS3B03G0010000	Chr3B	3288829	3291388	-	3290108	Chr3B	3488477	3491036	-	3489756	1.0	1.0
gene:TraesCS3B03G0010400	Chr3B	3319309	3319678	-	3319493	Chr3B	3517951	3518320	-	3518135	1.0	1.0
gene:TraesCS3B03G0010500	Chr3B	3329965	3331410	-	3330687	Chr3B	3528607	3530052	-	3529329	1.0	1.0
gene:TraesCS3B03G0010600	Chr3B	3343534	3343869	-	3343701	Chr3B	3541932	3542267	-	3542099	1.0	1.0
gene:TraesCS3B03G0010700	Chr3B	3351732	3352420	+	3352076	Chr3B	3550129	3550817	+	3550473	1.0	1.0
gene:TraesCS3B03G0011100	Chr3B	3390928	3392733	-	3391830	Chr3B	3589328	3591133	-	3590230	1.0	1.0
gene:TraesCS3B03G0011200	Chr3B	3456099	3457541	+	3456820	Chr3B	3654500	3655942	+	3655221	1.0	1.0
gene:TraesCS3B03G0011700	Chr3B	3476475	3479401	+	3477938	Chr3B	3674876	3677802	+	3676339	1.0	1.0
gene:TraesCS3B03G0011800	Chr3B	3481462	3493401	+	3487431	Chr3B	3679863	3691802	+	3685832	1.0	1.0
gene:TraesCS3B03G0011900	Chr3B	3509554	3512426	-	3510990	Chr3B	3707954	3710826	-	3709390	1.0	1.0
gene:TraesCS3B03G0012000	Chr3B	3519251	3522305	+	3520778	Chr3B	3717654	3720708	+	3719181	1.0	1.0
gene:TraesCS3B03G0012100	Chr3B	3524408	3531567	-	3527987	Chr3B	3722811	3729971	-	3726391	1.0	1.0
gene:TraesCS3B03G0012200	Chr3B	3646467	3646898	+	3646682	Chr3B	3844828	3845259	+	3845043	1.0	1.0
gene:TraesCS3B03G0012700	Chr3B	3750107	3752530	+	3751318	Chr3B	3948469	3950892	+	3949680	1.0	1.0
gene:TraesCS3B03G0012800	Chr3B	3758382	3758978	-	3758680	Chr3B	3956744	3957340	-	3957042	1.0	1.0
gene:TraesCS3B03G0012900	Chr3B	3760385	3761643	-	3761014	Chr3B	3958747	3960005	-	3959376	1.0	1.0
gene:TraesCS3B03G0013100	Chr3B	3792617	3799581	-	3796099	Chr3B	3990979	3997943	-	3994461	1.0	1.0
gene:TraesCS3B03G0013400	Chr3B	3821480	3821881	+	3821680	Chr3B	4019839	4020240	+	4020039	1.0	1.0
gene:TraesCS3B03G0013500	Chr3B	3852505	3853085	+	3852795	Chr3B	4050864	4051444	+	4051154	1.0	1.0
gene:TraesCS3B03G0013600	Chr3B	3877659	3878072	+	3877865	Chr3B	4076018	4076431	+	4076224	1.0	1.0
gene:TraesCS3B03G0013700	Chr3B	3890065	3890949	+	3890507	Chr3B	4088422	4089306	+	4088864	1.0	1.0
gene:TraesCS3B03G0013800	Chr3B	3892768	3893685	+	3893226	Chr3B	4091125	4092042	+	4091583	1.0	1.0
gene:TraesCS3B03G0014100	Chr3B	3975265	3975989	+	3975627	Chr3B	4173633	4174357	+	4173995	1.0	1.0
gene:TraesCS3B03G0014200	Chr3B	3977457	3977904	+	3977680	Chr3B	4175825	4176272	+	4176048	1.0	1.0
gene:TraesCS3B03G0014300	Chr3B	3978061	3982097	+	3980079	Chr3B	4176429	4180465	+	4178447	1.0	1.0
gene:TraesCS3B03G0014400	Chr3B	3982981	3987045	-	3985013	Chr3B	4181349	4185414	-	4183381	1.0	0.999
gene:TraesCS3B03G0014500	Chr3B	4042103	4049664	+	4045883	Chr3B	4238730	4245990	+	4242360	0.999	0.999
gene:TraesCS3B03G0014700	Chr3B	4088058	4088845	-	4088451	Chr3B	4284322	4285109	-	4284715	1.0	1.0
gene:TraesCS3B03G0014800	Chr3B	4094363	4094890	-	4094626	Chr3B	4311139	4311666	-	4311402	1.0	1.0
gene:TraesCS3B03G0014900	Chr3B	4102252	4103050	+	4102651	Chr3B	4318298	4319096	+	4318697	1.0	1.0
gene:TraesCS3B03G0015000	Chr3B	4129338	4130978	-	4130158	Chr3B	4344401	4346041	-	4345221	1.0	1.0
gene:TraesCS3B03G0015500	Chr3B	4396775	4398430	+	4397602	Chr3B	4611038	4612693	+	4611865	1.0	1.0
gene:TraesCS3B03G0015700	Chr3B	4408492	4410230	-	4409361	Chr3B	4622755	4624493	-	4623624	1.0	1.0
gene:TraesCS3B03G0015800	Chr3B	4412479	4415438	-	4413958	Chr3B	4626742	4629701	-	4628221	1.0	1.0
gene:TraesCS3B03G0015900	Chr3B	4428801	4430849	+	4429825	Chr3B	4643064	4645112	+	4644088	1.0	1.0
gene:TraesCS3B03G0016000	Chr3B	4440305	4445340	+	4442822	Chr3B	4654594	4659387	+	4656990	1.0	1.0
gene:TraesCS3B03G0016300	Chr3B	4501021	4504396	-	4502708	Chr3B	4715105	4718480	-	4716792	1.0	1.0
gene:TraesCS3B03G0016800	Chr3B	4642661	4644619	+	4643640	Chr3B	4856668	4858626	+	4857647	1.0	1.0
gene:TraesCS3B03G0016900	Chr3B	4645981	4646856	+	4646418	Chr3B	4859988	4860863	+	4860425	1.0	1.0
gene:TraesCS3B03G0017100	Chr3B	4647867	4648654	+	4648260	Chr3B	4861874	4862661	+	4862267	1.0	0.998
gene:TraesCS3B03G0017200	Chr3B	4672356	4674432	+	4673394	Chr3B	4886376	4888369	+	4887372	1.0	0.998
gene:TraesCS3B03G0017300	Chr3B	4680357	4681117	+	4680737	Chr3B	4894348	4895108	+	4894728	1.0	1.0
gene:TraesCS3B03G0017600	Chr3B	4701822	4707580	-	4704701	Chr3B	4915870	4921216	-	4918543	1.0	1.0
gene:TraesCS3B03G0018000	Chr3B	4894499	4896037	+	4895268	Chr3B	5130162	5131700	+	5130931	1.0	1.0
gene:TraesCS3B03G0018100	Chr3B	4897488	4899528	-	4898508	Chr3B	5133151	5135191	-	5134171	1.0	1.0
gene:TraesCS3B03G0018200	Chr3B	4994718	4995101	+	4994909	Chr3B	5230368	5230751	+	5230559	1.0	1.0
gene:TraesCS3B03G0018300	Chr3B	4996692	4997971	+	4997331	Chr3B	5232342	5233621	+	5232981	1.0	1.0
gene:TraesCS3B03G0018800	Chr3B	5416010	5420829	-	5418419	Chr3B	7252546	7257365	-	7254955	1.0	1.0
gene:TraesCS3B03G0018900	Chr3B	5468707	5469726	+	5469216	Chr3B	7305246	7306265	+	7305755	1.0	1.0
gene:TraesCS3B03G0019600	Chr3B	5706385	5712424	+	5709404	Chr3B	7542955	7548994	+	7545974	1.0	1.0
gene:TraesCS3B03G0019700	Chr3B	5714448	5715228	+	5714838	Chr3B	7551019	7551799	+	7551409	1.0	1.0
gene:TraesCS3B03G0020300	Chr3B	5725847	5727412	-	5726629	Chr3B	7562425	7563990	-	7563207	1.0	1.0
gene:TraesCS3B03G0020400	Chr3B	5797705	5802507	+	5800106	Chr3B	7634292	7639094	+	7636693	1.0	1.0
gene:TraesCS3B03G0020500	Chr3B	5801269	5802494	+	5801881	Chr3B	7637856	7639081	+	7638468	1.0	1.0
gene:TraesCS3B03G0020700	Chr3B	5822740	5826312	-	5824526	Chr3B	7659335	7662907	-	7661121	1.0	1.0
gene:TraesCS3B03G0021000	Chr3B	5914421	5915600	-	5915010	Chr3B	7751088	7752267	-	7751677	1.0	1.0
gene:TraesCS3B03G0021500	Chr3B	5941359	5941929	-	5941644	Chr3B	7779210	7779780	-	7779495	1.0	1.0
gene:TraesCS3B03G0021600	Chr3B	5974245	5974995	-	5974620	Chr3B	7812091	7812841	-	7812466	1.0	1.0
gene:TraesCS3B03G0021900	Chr3B	5987469	5988446	-	5987957	Chr3B	7825307	7826284	-	7825795	1.0	1.0
gene:TraesCS3B03G0022600	Chr3B	6013488	6017498	-	6015493	Chr3B	7851321	7855331	-	7853326	1.0	1.0
gene:TraesCS3B03G0022700	Chr3B	6063054	6064845	+	6063949	Chr3B	7900887	7902678	+	7901782	1.0	1.0
gene:TraesCS3B03G0022800	Chr3B	6073695	6077105	+	6075400	Chr3B	7911527	7914937	+	7913232	1.0	1.0
gene:TraesCS3B03G0022900	Chr3B	6077386	6080144	-	6078765	Chr3B	7915218	7917976	-	7916597	1.0	1.0
gene:TraesCS3B03G0023400	Chr3B	6125716	6126018	+	6125867	Chr3B	7963540	7963842	+	7963691	1.0	1.0
gene:TraesCS3B03G0023700	Chr3B	6128967	6129555	-	6129261	Chr3B	7966790	7967378	-	7967084	1.0	1.0
gene:TraesCS3B03G0023800	Chr3B	6129008	6129558	-	6129283	Chr3B	7966831	7967381	-	7967106	1.0	1.0
gene:TraesCS3B03G0024400	Chr3B	6134186	6134377	-	6134281	Chr3B	7972009	7972200	-	7972104	1.0	1.0
gene:TraesCS3B03G0024300	Chr3B	6134186	6134377	-	6134281	Chr3B	7972009	7972200	-	7972104	1.0	1.0
gene:TraesCS3B03G0024600	Chr3B	6134991	6135455	-	6135223	Chr3B	7972814	7973278	-	7973046	1.0	1.0
gene:TraesCS3B03G0024500	Chr3B	6134991	6135455	-	6135223	Chr3B	7972814	7973278	-	7973046	1.0	1.0
gene:TraesCS3B03G0025400	Chr3B	6157129	6157991	+	6157560	Chr3B	7994952	7995814	+	7995383	1.0	1.0
gene:TraesCS3B03G0025500	Chr3B	6157134	6157991	+	6157562	Chr3B	7994957	7995814	+	7995385	1.0	1.0
gene:TraesCS3B03G0025600	Chr3B	6157505	6157991	+	6157748	Chr3B	7995328	7995814	+	7995571	1.0	1.0
gene:TraesCS3B03G0025900	Chr3B	6167831	6168413	+	6168122	Chr3B	8005654	8006236	+	8005945	1.0	1.0
gene:TraesCS3B03G0026000	Chr3B	6167845	6168530	+	6168187	Chr3B	8005668	8006353	+	8006010	1.0	1.0
gene:TraesCS3B03G0026300	Chr3B	6210118	6210479	+	6210298	Chr3B	8047908	8048269	+	8048088	1.0	1.0
gene:TraesCS3B03G0026700	Chr3B	6220771	6222888	-	6221829	Chr3B	8058560	8060677	-	8059618	1.0	1.0
gene:TraesCS3B03G0026800	Chr3B	6220941	6222881	-	6221911	Chr3B	8058730	8060670	-	8059700	1.0	1.0
gene:TraesCS3B03G0026900	Chr3B	6239266	6239636	+	6239451	Chr3B	8077055	8077425	+	8077240	1.0	1.0
gene:TraesCS3B03G0027000	Chr3B	6242148	6243598	+	6242873	Chr3B	8079936	8081386	+	8080661	1.0	1.0
gene:TraesCS3B03G0027100	Chr3B	6250940	6252156	+	6251548	Chr3B	8088728	8089944	+	8089336	1.0	1.0
gene:TraesCS3B03G0027300	Chr3B	6302591	6303316	-	6302953	Chr3B	8141905	8142630	-	8142267	1.0	1.0
gene:TraesCS3B03G0027400	Chr3B	6305961	6306274	+	6306117	Chr3B	8145275	8145588	+	8145431	1.0	1.0
gene:TraesCS3B03G0027600	Chr3B	6344582	6345667	-	6345124	Chr3B	8183700	8184785	-	8184242	1.0	1.0
gene:TraesCS3B03G0027700	Chr3B	6358750	6366458	+	6362604	Chr3B	8222152	8229861	+	8226006	1.0	0.999
gene:TraesCS3B03G0028100	Chr3B	6375001	6378109	-	6376555	Chr3B	8238536	8241644	-	8240090	1.0	1.0
gene:TraesCS3B03G0028200	Chr3B	6418690	6428060	+	6423375	Chr3B	8282593	8291961	+	8287277	1.0	1.0
