gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	250326	251892	-	251109	0.958	0.922	collinear
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	252239	253836	-	253037	1.0	0.998	collinear
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	629582	633520	+	631551	0.985	0.985	collinear
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	634393	638528	-	636460	1.0	0.991	collinear
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	688942	690156	+	689549	0.985	0.97	collinear
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	691577	696907	-	694242	1.0	0.992	collinear
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	707517	710762	+	709139	0.998	0.984	collinear
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	742161	742790	+	742475	1.0	0.973	collinear
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	792821	793447	-	793134	1.0	0.99	collinear
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	824614	825630	-	825122	1.0	0.974	collinear
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	846657	847046	+	846851	0.992	0.969	collinear
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	870196	871820	+	871008	1.0	0.972	collinear
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	870345	871718	-	871031	1.0	0.967	collinear
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	886231	889512	+	887871	1.0	0.994	collinear
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1083708	1085673	+	1084690	0.975	0.973	collinear
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1098145	1099065	+	1098605	1.0	0.996	collinear
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1100613	1102340	-	1101476	0.999	0.998	collinear
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1104009	1105181	+	1104595	0.996	0.922	collinear
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1221311	1223081	+	1222196	0.998	0.997	collinear
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1235177	1236220	+	1235698	0.997	0.968	collinear
