cs_chr	tgt_chr	n_anchors	mean_anchor_gap_Mb	interp_type	n_segments	mean_anchor_fraction
Aikang58	Chr1A	Chr1A	3767	0.159	linear	1	0.918
Aikang58	Chr1B	Chr1B	3337	0.21	linear	1	0.691
Aikang58	Chr1D	Chr1D	4337	0.115	linear	1	0.971
Aikang58	Chr2A	Chr2A	5056	0.155	linear	1	0.896
Aikang58	Chr2B	Chr2B	5163	0.157	linear	1	0.854
Aikang58	Chr2D	Chr2D	5421	0.119	linear	1	0.951
Aikang58	Chr3A	Chr3A	4853	0.155	linear	1	0.947
Aikang58	Chr3B	Chr3B	5376	0.158	linear	1	0.914
Aikang58	Chr3D	Chr3D	5077	0.122	linear	1	0.952
Aikang58	Chr4A	Chr4A	4112	0.181	linear	1	0.825
Aikang58	Chr4B	Chr4B	3662	0.184	linear	1	0.901
Aikang58	Chr4D	Chr4D	3510	0.146	linear	1	0.976
Aikang58	Chr5A	Chr5A	4962	0.144	linear	1	0.909
Aikang58	Chr5B	Chr5B	4925	0.145	linear	1	0.891
Aikang58	Chr5D	Chr5D	5340	0.107	linear	1	0.966
Aikang58	Chr6A	Chr6A	3726	0.167	linear	1	0.953
Aikang58	Chr6B	Chr6B	3907	0.187	linear	1	0.802
Aikang58	Chr6D	Chr6D	3826	0.129	linear	1	0.975
Aikang58	Chr7A	Chr7A	4767	0.156	linear	1	0.898
Aikang58	Chr7B	Chr7B	3745	0.203	linear	1	0.692
Aikang58	Chr7D	Chr7D	5139	0.124	linear	1	0.966
ArinaLrFor	Chr1A	Chr1A	3649	0.164	linear	1	0.906
ArinaLrFor	Chr1B	Chr1B	4176	0.167	linear	1	0.914
ArinaLrFor	Chr1D	Chr1D	4326	0.115	linear	1	0.968
ArinaLrFor	Chr2A	Chr2A	5433	0.145	linear	1	0.895
ArinaLrFor	Chr2B	Chr2B	5187	0.156	linear	1	0.836
ArinaLrFor	Chr2D	Chr2D	5030	0.128	linear	1	0.914
ArinaLrFor	Chr3A	Chr3A	4773	0.157	linear	1	0.938
ArinaLrFor	Chr3B	Chr3B	5164	0.165	linear	1	0.876
ArinaLrFor	Chr3D	Chr3D	4683	0.127	linear	1	0.95
ArinaLrFor	Chr4A	Chr4A	4053	0.186	linear	1	0.806
ArinaLrFor	Chr4B	Chr4B	3529	0.19	linear	1	0.796
ArinaLrFor	Chr4D	Chr4D	3447	0.147	linear	1	0.964
ArinaLrFor	Chr5A	Chr5A	5011	0.142	linear	1	0.879
ArinaLrFor	Chr5B	Chr5B+Chr7B	4801	0.155	linear+linear	2	0.843
ArinaLrFor	Chr5D	Chr5D	5361	0.106	linear	1	0.973
ArinaLrFor	Chr6A	Chr6A	3730	0.166	linear	1	0.952
ArinaLrFor	Chr6B	Chr6B	3700	0.198	linear	1	0.714
ArinaLrFor	Chr6D	Chr6D	3831	0.129	linear	1	0.959
ArinaLrFor	Chr7A	Chr7A	4795	0.155	linear	1	0.908
