cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr1A	1145133	159522669	Chr1A	1112835	163240908	1108	0.9958601083032491
Chr1A	161671479	177381882	Chr1A	165405595	180956951	28	0.9987857142857143
Chr1A	179530042	182122609	Chr1A	183028509	185601218	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	188389469	196932369	12	0.9999166666666667
Chr1A	200578799	202086777	Chr1A	203992670	205479814	5	1.0
Chr1A	204319371	209358469	Chr1A	207676529	212657591	7	0.9989999999999999
Chr1A	212017564	410154980	Chr1A	215219881	416547757	917	0.9957600872410033
Chr1A	412459137	420515127	Chr1A	418937625	427475622	23	0.9965652173913043
Chr1A	423163477	547507742	Chr1A	429281551	552441033	1231	0.9949999999999999
Chr1A	557425263	562118438	Chr1A	563698609	568401932	67	0.9940895522388059
Chr1A	572209871	593997588	Chr1A	578625101	600544249	315	0.9944031746031745
