cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr5B	6219225	6969188	Chr5B	604953	1363709	14	0.9997857142857144
Chr5B	211739188	214262421	Chr5B	212260374	214799262	13	0.9992307692307694
Chr5B	215881778	216846297	Chr5B	209555159	210533419	7	0.9982857142857142
Chr5B	18796	4596076	Chr5B	2659564	8902814	25	0.99988
Chr5B	6970521	149330732	Chr5B	9496183	160331122	924	0.9953138528138528
Chr5B	152509380	167292122	Chr5B	162696218	180460013	26	0.9981538461538461
Chr5B	176601296	192381573	Chr5B	183262733	207319940	26	0.9948846153846153
Chr5B	202891999	211736299	Chr5B	214802144	223557162	28	0.9973571428571429
Chr5B	219089253	236283952	Chr5B	238513194	255997369	69	0.9941304347826087
Chr5B	238316269	257532817	Chr5B	257806062	276500626	78	0.9992692307692306
Chr5B	259539413	341562322	Chr5B	278474987	361133225	498	0.997644578313253
Chr5B	343826709	383208800	Chr5B	363357034	402586179	216	0.9981666666666666
Chr5B	386333053	412688052	Chr5B	402843329	429636175	197	0.995715736040609
Chr5B	414828778	622398920	Chr5B	430931420	642622456	1979	0.994798888327438
Chr5B	625049299	629363262	Chr5B	642755467	646453767	26	0.996923076923077
Chr5B	633659865	700232848	Chr5B	646638976	716359297	778	0.9922917737789204
Chr5B	704074687	713118452	Chr5B	716654150	726331944	159	0.9926855345911949
Chr5B	700333219	701520002	Chr5B	704337947	705416594	25	0.98844
Chr5B	702478796	703783241	Chr5B	706836468	707691594	22	0.9864090909090909
