cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr3D	328640	21005427	Chr3D	6380636	27891914	442	0.997027149321267
Chr3D	27760603	33384231	Chr3D	39993503	46495909	96	0.9926041666666667
Chr3D	35818559	36180407	Chr3D	39071705	39283312	5	0.9776000000000001
Chr3D	45398732	116408326	Chr3D	57335741	132359239	607	0.9993245469522241
Chr3D	118542402	193596645	Chr3D	134481054	210067819	421	0.9990950118764846
Chr3D	196947044	200390459	Chr3D	213424925	216864462	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	219371350	219407403	4	1.0
Chr3D	206979095	213997235	Chr3D	223704560	230694886	11	0.9990909090909091
Chr3D	216425033	219568689	Chr3D	233106002	236217632	6	0.9996666666666667
Chr3D	225525420	232470513	Chr3D	242285914	249165458	13	0.9996153846153846
Chr3D	234603090	244292283	Chr3D	253722175	266348176	13	0.9997692307692309
Chr3D	246327705	257173258	Chr3D	267203068	279222216	29	0.9998275862068966
Chr3D	259434941	298593191	Chr3D	281465924	320474721	140	0.9984999999999999
Chr3D	309654306	317202090	Chr3D	328098368	335626040	41	0.9999512195121952
Chr3D	324387385	492131921	Chr3D	346332077	512906329	1384	0.9993200867052024
Chr3D	494653889	615474754	Chr3D	515900343	646345299	1581	0.9964465528146742
