cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr2B	6986612	9198299	Chr2B	4608305	7870282	52	0.9999807692307692
Chr2B	29109282	29993292	Chr2B	47892312	48768581	21	1.0
Chr2B	327769941	333044217	Chr2B	347363160	352612933	9	1.0
Chr2B	335510269	342279112	Chr2B	355050922	361735585	9	1.0
Chr2B	346670378	361286666	Chr2B	365442920	382944008	55	0.9999272727272728
Chr2B	361424474	369623454	Chr2B	388272687	396402990	27	1.0
Chr2B	375133991	379787029	Chr2B	266637003	271258791	15	1.0
Chr2B	1173040	6957562	Chr2B	7899015	14259828	132	0.9999166666666667
Chr2B	11180525	240314058	Chr2B	14345901	250858976	2053	0.9996000974184122
Chr2B	242536523	270216010	Chr2B	253065866	285798641	129	1.0
Chr2B	272550652	303097333	Chr2B	288141786	319027657	46	0.9999565217391305
Chr2B	305321036	318205778	Chr2B	321549417	334771580	16	1.0
Chr2B	320343927	326678653	Chr2B	337120853	343424487	12	1.0
Chr2B	371156865	374802272	Chr2B	383116416	386732164	26	0.9988461538461538
Chr2B	379832912	801254636	Chr2B	396605715	820151666	3381	0.9996832298136646
Chr2B	793579729	794110760	Chr2B	821512487	822031472	17	1.0
Chr2B	794410912	795068665	Chr2B	820333947	821186079	29	1.0
