cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr3B	74037	6805777	Chr3B	11140	6386810	111	0.9886216216216216
Chr3B	10012714	35821190	Chr3B	8876746	33526932	322	0.9902515527950312
Chr3B	38137652	67643869	Chr3B	35865724	65767355	264	0.9907878787878788
Chr3B	70036102	97070979	Chr3B	67869099	95238461	289	0.9959723183391004
Chr3B	99457041	202823600	Chr3B	97605400	202047373	574	0.9951045296167248
Chr3B	205225044	206704475	Chr3B	204544669	206085231	10	0.9986
Chr3B	209383926	219278363	Chr3B	208918839	218884694	81	0.994358024691358
Chr3B	223825022	226529934	Chr3B	223740640	226249334	11	0.9939090909090912
Chr3B	230843333	241641396	Chr3B	229493752	242654839	49	0.9926938775510205
Chr3B	247259756	288293953	Chr3B	248132756	290161885	195	0.9952717948717948
Chr3B	295003050	296080909	Chr3B	297002100	298129678	4	0.997
Chr3B	303571170	307711148	Chr3B	304230788	308921628	4	0.99625
Chr3B	310640808	322569052	Chr3B	312388112	325377352	16	0.996625
Chr3B	325241568	329207761	Chr3B	328854005	333396935	5	0.9974
Chr3B	333847811	344948054	Chr3B	338101206	348885654	18	0.9926111111111112
Chr3B	352247049	353405210	Chr3B	353560771	354756732	3	0.9993333333333334
Chr3B	364900352	368667322	Chr3B	366762915	370847102	14	0.9964285714285716
Chr3B	371069888	375781155	Chr3B	378160466	383009862	10	0.9959
Chr3B	378145074	416556469	Chr3B	385343258	424033772	156	0.9960320512820512
Chr3B	418922290	479798592	Chr3B	424405913	485288684	359	0.9973732590529248
Chr3B	482733323	529649040	Chr3B	489281039	536314433	263	0.9961216730038024
Chr3B	534144519	847404418	Chr3B	541194462	857243316	2551	0.994874166993336
