gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	11724946	11730343	-	11727644	1.0	1.0
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	11715158	11719447	+	11717302	1.0	0.999
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	11658934	11659416	+	11659175	1.0	0.997
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	11644098	11652066	-	11648082	0.992	0.989
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	11632509	11634223	-	11633366	1.0	0.991
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	11625202	11629909	+	11627555	0.98	0.963
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	11502435	11503561	+	11502998	0.998	0.99
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	11493825	11497210	-	11495517	0.999	0.977
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	11487305	11488153	-	11487729	0.995	0.915
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	11408767	11410712	-	11409739	0.995	0.994
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	11403993	11408057	+	11406025	1.0	0.98
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	11398882	11401187	-	11400034	1.0	0.989
gene:TraesCS2B03G0002800	Chr2B	416211	435790	-	426000	Chr2B	11359432	11387924	+	11373678	0.923	0.916
gene:TraesCS2B03G0004100	Chr2B	593205	600260	+	596732	Chr2B	11153673	11160734	-	11157203	1.0	0.99
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	10974285	10975253	-	10974769	1.0	1.0
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	10959781	10960335	-	10960058	0.92	0.907
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	10943704	10950647	-	10947175	1.0	1.0
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	10860811	10861764	+	10861287	1.0	1.0
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	10858617	10859224	+	10858920	1.0	1.0
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	10849177	10850407	-	10849792	1.0	1.0
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	10844281	10845324	+	10844802	1.0	1.0
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	10729424	10730969	+	10730196	0.997	0.976
gene:TraesCS2B03G0008500	Chr2B	1958192	1967818	-	1963005	Chr2B	10714690	10724309	+	10719499	1.0	0.998
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	10313316	10313719	+	10313517	1.0	1.0
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	10127939	10129620	+	10128779	0.998	0.994
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	10121385	10123841	+	10122613	1.0	0.998
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	10098716	10104200	-	10101458	0.999	0.995
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	10083501	10084238	+	10083869	1.0	0.991
gene:TraesCS2B03G0010800	Chr2B	2882010	2883720	-	2882865	Chr2B	9875738	9877452	+	9876595	1.0	0.994
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	9853792	9856826	-	9855309	1.0	0.984
gene:TraesCS2B03G0011000	Chr2B	2916973	2932515	-	2924744	Chr2B	9838126	9848792	+	9843459	0.976	0.968
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	9803530	9803970	-	9803750	1.0	1.0
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	7656846	7657733	+	7657289	1.0	0.99
gene:TraesCS2B03G0011900	Chr2B	3212333	3217189	-	3214761	Chr2B	8772306	8777172	+	8774739	0.998	0.992
gene:TraesCS2B03G0012000	Chr2B	3233211	3235901	+	3234556	Chr2B	8758547	8761237	-	8759892	1.0	0.996
gene:TraesCS2B03G0012100	Chr2B	3287024	3288556	-	3287790	Chr2B	8748777	8750309	+	8749543	0.999	0.988
gene:TraesCS2B03G0012600	Chr2B	3595745	3613268	+	3604506	Chr2B	8720254	8735694	-	8727974	0.996	0.976
gene:TraesCS2B03G0012700	Chr2B	3630724	3631650	-	3631187	Chr2B	8604391	8605317	+	8604854	1.0	0.998
gene:TraesCS2B03G0012800	Chr2B	3632392	3635151	-	3633771	Chr2B	8601025	8603795	+	8602410	1.0	0.99
gene:TraesCS2B03G0012900	Chr2B	3685456	3686983	-	3686219	Chr2B	8523803	8525330	+	8524566	1.0	0.999
