cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr4B	233162	86155240	Chr4B	227143	84836208	798	0.997046365914787
Chr4B	88370406	155154630	Chr4B	87050845	157850557	377	0.9993209549071619
Chr4B	161318293	164642854	Chr4B	160774228	164125336	6	1.0
Chr4B	167236891	207224234	Chr4B	166384690	206456573	181	0.9990276243093923
Chr4B	212453315	226695727	Chr4B	211688253	230213253	37	0.9991621621621622
Chr4B	291502685	291547670	Chr4B	301771505	301815924	4	0.99875
Chr4B	294688008	296591676	Chr4B	304988054	306858534	4	0.998
Chr4B	299196258	300568638	Chr4B	309477736	310769520	3	0.9996666666666667
Chr4B	357330117	428374125	Chr4B	371353166	441846088	335	0.9955462686567161
Chr4B	430804721	673727606	Chr4B	444228667	689633816	1804	0.9955715077605322
