gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	13968683	13970784	-	13969733	1.0	0.939
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	13798503	13810225	+	13804364	0.979	0.915
gene:TraesCS1B03G0012500	Chr1B	3769497	3771294	-	3770395	Chr1B	10625097	10626815	-	10625956	1.0	0.957
gene:TraesCS1B03G0014300	Chr1B	4243347	4262131	+	4252739	Chr1B	10376878	10394082	-	10385480	0.969	0.903
gene:TraesCS1B03G0015200	Chr1B	4393285	4396599	+	4394942	Chr1B	9475733	9478863	+	9477298	1.0	0.952
gene:TraesCS1B03G0015600	Chr1B	4508006	4514125	-	4511065	Chr1B	9742918	9748799	-	9745858	1.0	0.971
gene:TraesCS1B03G0015900	Chr1B	4532575	4540073	-	4536324	Chr1B	9938614	9946363	-	9942488	0.986	0.927
gene:TraesCS1B03G0016300	Chr1B	4938236	4939656	-	4938946	Chr1B	9434515	9435935	+	9435225	0.999	0.935
gene:TraesCS1B03G0018400	Chr1B	5269024	5271973	-	5270498	Chr1B	9310268	9313212	+	9311740	1.0	0.958
gene:TraesCS1B03G0020700	Chr1B	5612307	5615571	+	5613939	Chr1B	8528751	8531897	-	8530324	0.98	0.928
gene:TraesCS1B03G0023100	Chr1B	6212886	6215721	-	6214303	Chr1B	7025077	7027909	+	7026493	0.985	0.922
gene:TraesCS1B03G0027900	Chr1B	6922415	6926399	+	6924407	Chr1B	7019707	7023676	+	7021691	0.987	0.936
gene:TraesCS1B03G0032100	Chr1B	8076414	8076845	-	8076629	Chr1B	7335870	7336301	-	7336085	1.0	0.923
gene:TraesCS1B03G0034200	Chr1B	8519980	8527072	+	8523526	Chr1B	8457763	8464852	+	8461307	0.966	0.921
gene:TraesCS1B03G0035000	Chr1B	8710149	8712378	+	8711263	Chr1B	6516048	6518722	+	6517385	1.0	0.928
gene:TraesCS1B03G0035700	Chr1B	8775326	8781500	+	8778413	Chr1B	6432259	6438623	-	6435441	0.995	0.959
gene:TraesCS1B03G0036900	Chr1B	9221024	9223309	+	9222166	Chr1B	5255298	5257866	+	5256582	0.976	0.903
gene:TraesCS1B03G0038000	Chr1B	9375472	9376307	-	9375889	Chr1B	4549151	4549986	+	4549568	1.0	0.946
gene:TraesCS1B03G0038200	Chr1B	9386698	9389358	-	9388028	Chr1B	4512737	4515410	+	4514073	0.999	0.94
gene:TraesCS1B03G0038900	Chr1B	9596767	9602349	+	9599558	Chr1B	4406713	4411624	+	4409168	0.981	0.936
gene:TraesCS1B03G0039600	Chr1B	9683032	9685542	+	9684287	Chr1B	4481018	4483546	+	4482282	1.0	0.937
gene:TraesCS1B03G0041200	Chr1B	10093955	10096755	+	10095355	Chr1B	3058071	3060905	+	3059488	0.998	0.94
gene:TraesCS1B03G0041800	Chr1B	10161526	10163430	+	10162478	Chr1B	2603552	2605456	+	2604504	1.0	0.966
gene:TraesCS1B03G0042300	Chr1B	10227066	10228079	-	10227572	Chr1B	2854207	2855232	-	2854719	1.0	0.917
gene:TraesCS1B03G0042400	Chr1B	10232241	10236228	-	10234234	Chr1B	3558887	3562695	+	3560791	0.964	0.905
gene:TraesCS1B03G0043300	Chr1B	10496325	10503200	+	10499762	Chr1B	2609575	2616669	-	2613122	0.994	0.949
gene:TraesCS1B03G0044800	Chr1B	10638363	10641651	-	10640007	Chr1B	2468597	2472695	+	2470646	0.978	0.937
gene:TraesCS1B03G0045000	Chr1B	10646033	10648577	-	10647305	Chr1B	2463584	2465946	+	2464765	0.971	0.924
gene:TraesCS1B03G0045500	Chr1B	10737663	10740370	-	10739016	Chr1B	2178254	2181010	-	2179632	0.993	0.939
gene:TraesCS1B03G0047800	Chr1B	11744428	11746681	+	11745554	Chr1B	2013269	2015778	-	2014523	1.0	0.928
gene:TraesCS1B03G0048500	Chr1B	12155898	12157261	+	12156579	Chr1B	1959400	1960748	-	1960074	0.997	0.91
gene:TraesCS1B03G0049600	Chr1B	12608888	12609961	+	12609424	Chr1B	1677553	1678618	-	1678085	0.989	0.922
gene:TraesCS1B03G0052000	Chr1B	13261342	13261557	-	13261449	Chr1B	1531092	1531307	-	1531199	1.0	0.935
gene:TraesCS1B03G0053900	Chr1B	13509180	13509422	+	13509301	Chr1B	1528357	1528599	+	1528478	0.995	0.93
gene:TraesCS1B03G0056300	Chr1B	14065926	14066168	+	14066047	Chr1B	1568019	1568261	+	1568140	1.0	0.921
gene:TraesCS1B03G0056400	Chr1B	14068724	14068939	-	14068831	Chr1B	7370913	7371127	-	7371020	0.995	0.916
gene:TraesCS1B03G0057700	Chr1B	14791130	14792757	-	14791943	Chr1B	1361395	1363022	+	1362208	0.997	0.946
gene:TraesCS1B03G0058100	Chr1B	14905984	14913993	+	14909988	Chr1B	1278743	1286482	-	1282612	0.993	0.926
gene:TraesCS1B03G0058400	Chr1B	14947192	14948329	-	14947760	Chr1B	1017062	1018592	+	1017827	0.992	0.927
gene:TraesCS1B03G0059600	Chr1B	15431893	15432748	-	15432320	Chr1B	1424138	1425336	-	1424737	0.995	0.933
gene:TraesCS1B03G0060700	Chr1B	15681611	15683469	-	15682540	Chr1B	910212	912033	+	911122	0.988	0.932
gene:TraesCS1B03G0061600	Chr1B	15869185	15870367	+	15869776	Chr1B	777847	779011	+	778429	1.0	0.954
gene:TraesCS1B03G0061900	Chr1B	15893423	15904711	-	15899067	Chr1B	686650	698136	+	692393	0.984	0.929
gene:TraesCS1B03G0062400	Chr1B	16016684	16022024	-	16019354	Chr1B	579908	585122	+	582515	0.979	0.905
gene:TraesCS1B03G0064500	Chr1B	16377824	16383870	+	16380847	Chr1B	14235876	14240973	-	14238424	0.978	0.904
gene:TraesCS1B03G0067600	Chr1B	17167924	17169799	-	17168861	Chr1B	15096591	15098438	-	15097514	0.969	0.9
gene:TraesCS1B03G0070500	Chr1B	17623441	17623674	+	17623557	Chr1B	15138440	15138673	+	15138556	0.995	0.906
gene:TraesCS1B03G0072600	Chr1B	18163824	18164407	+	18164115	Chr1B	15259020	15259603	+	15259311	1.0	0.916
gene:TraesCS1B03G0072800	Chr1B	18172686	18177502	-	18175094	Chr1B	15529350	15534067	-	15531708	1.0	0.954
gene:TraesCS1B03G0074500	Chr1B	18549014	18558370	+	18553692	Chr1B	16625266	16627355	+	16626310	0.968	0.915
gene:TraesCS1B03G0074700	Chr1B	18562233	18564420	-	18563326	Chr1B	16632800	16634938	-	16633869	0.973	0.901
gene:TraesCS1B03G0075200	Chr1B	18605532	18609418	+	18607475	Chr1B	16753134	16756962	+	16755048	0.992	0.951
gene:TraesCS1B03G0079900	Chr1B	19854206	19858699	+	19856452	Chr1B	17192774	17197018	-	17194896	0.99	0.925
gene:TraesCS1B03G0083800	Chr1B	21351843	21353182	+	21352512	Chr1B	17412112	17413447	-	17412779	1.0	0.941
gene:TraesCS1B03G0086600	Chr1B	22837636	22842306	-	22839971	Chr1B	18810055	18815300	+	18812677	0.965	0.922
gene:TraesCS1B03G0087000	Chr1B	22925956	22929071	+	22927513	Chr1B	19179830	19183144	+	19181487	0.995	0.931
gene:TraesCS1B03G0091300	Chr1B	24857935	24858606	-	24858270	Chr1B	15016354	15017027	-	15016690	1.0	0.936
gene:TraesCS1B03G0091800	Chr1B	24998580	24998890	-	24998735	Chr1B	14520900	14521214	+	14521057	1.0	0.981
gene:TraesCS1B03G0095600	Chr1B	26299560	26302855	+	26301207	Chr1B	20965424	20969777	+	20967600	0.984	0.925
gene:TraesCS1B03G0097400	Chr1B	26754914	26756814	-	26755864	Chr1B	21676981	21678854	+	21677917	0.982	0.937
gene:TraesCS1B03G0098000	Chr1B	26936048	26937158	-	26936603	Chr1B	21438003	21439083	+	21438543	0.972	0.917
gene:TraesCS1B03G0098600	Chr1B	27080015	27082865	+	27081440	Chr1B	21846238	21849030	-	21847634	0.971	0.913
gene:TraesCS1B03G0102600	Chr1B	28421659	28422783	+	28422221	Chr1B	25224958	25226078	+	25225518	0.996	0.912
gene:TraesCS1B03G0104100	Chr1B	28683191	28684699	-	28683945	Chr1B	25171917	25173428	+	25172672	1.0	0.935
gene:TraesCS1B03G0105500	Chr1B	28975989	28976108	-	28976048	Chr1B	25364382	25364501	+	25364441	1.0	0.991
gene:TraesCS1B03G0107600	Chr1B	30015555	30017237	-	30016396	Chr1B	26492585	26494267	-	26493426	0.998	0.909
gene:TraesCS1B03G0108100	Chr1B	30156990	30159840	-	30158415	Chr1B	26533216	26536032	-	26534624	0.985	0.92
gene:TraesCS1B03G0108600	Chr1B	30293907	30296751	-	30295329	Chr1B	26615178	26618038	-	26616608	0.982	0.901
gene:TraesCS1B03G0109500	Chr1B	30477093	30477908	+	30477500	Chr1B	27305330	27306135	+	27305732	0.984	0.921
gene:TraesCS1B03G0109700	Chr1B	30613784	30614670	+	30614227	Chr1B	27756005	27756889	+	27756447	0.979	0.923
gene:TraesCS1B03G0109900	Chr1B	30661561	30675569	+	30668565	Chr1B	27833515	27847428	+	27840471	0.995	0.936
gene:TraesCS1B03G0113300	Chr1B	33319214	33319528	+	33319371	Chr1B	28440657	28440975	+	28440816	1.0	0.937
gene:TraesCS1B03G0116400	Chr1B	34152907	34155958	+	34154432	Chr1B	29556146	29559152	+	29557649	1.0	0.947
gene:TraesCS1B03G0117900	Chr1B	34937219	34945362	+	34941290	Chr1B	30418938	30424778	+	30421858	0.994	0.945
gene:TraesCS1B03G0119300	Chr1B	35281185	35282576	-	35281880	Chr1B	30604209	30605612	-	30604910	0.999	0.935
gene:TraesCS1B03G0119400	Chr1B	35295585	35297909	-	35296747	Chr1B	30739096	30741414	+	30740255	0.991	0.928
gene:TraesCS1B03G0120200	Chr1B	36123434	36124003	-	36123718	Chr1B	30953069	30953638	-	30953353	1.0	0.901
gene:TraesCS1B03G0121000	Chr1B	36178458	36183415	-	36180936	Chr1B	31155665	31160470	-	31158067	0.984	0.909
gene:TraesCS1B03G0121200	Chr1B	36185816	36192331	-	36189073	Chr1B	31163944	31169763	-	31166853	0.953	0.917
gene:TraesCS1B03G0124900	Chr1B	40615164	40619188	-	40617176	Chr1B	33955221	33959247	-	33957234	0.999	0.951
gene:TraesCS1B03G0128900	Chr1B	42088726	42092159	+	42090442	Chr1B	34451024	34454463	+	34452743	0.989	0.921
gene:TraesCS1B03G0129400	Chr1B	42604448	42606962	+	42605705	Chr1B	34792936	34795417	+	34794176	0.968	0.904
gene:TraesCS1B03G0131300	Chr1B	43605601	43606101	-	43605851	Chr1B	35124435	35124929	+	35124682	0.97	0.911
gene:TraesCS1B03G0132600	Chr1B	43947271	43949538	+	43948404	Chr1B	35954251	35956523	+	35955387	0.975	0.915
gene:TraesCS1B03G0134200	Chr1B	44073636	44074561	-	44074098	Chr1B	36102103	36103016	-	36102559	0.97	0.906
gene:TraesCS1B03G0134300	Chr1B	44100137	44102110	+	44101123	Chr1B	14909895	14911758	-	14910826	0.998	0.927
gene:TraesCS1B03G0136000	Chr1B	44547758	44554148	+	44550953	Chr1B	36466332	36473165	+	36469748	0.997	0.941
gene:TraesCS1B03G0136100	Chr1B	44561861	44566021	+	44563941	Chr1B	36474335	36478935	+	36476635	0.98	0.918
gene:TraesCS1B03G0138400	Chr1B	45447127	45450887	-	45449007	Chr1B	37266473	37270369	-	37268421	0.973	0.938
gene:TraesCS1B03G0138600	Chr1B	45453621	45459411	-	45456516	Chr1B	37273886	37280045	-	37276965	0.991	0.95
gene:TraesCS1B03G0139000	Chr1B	45812919	45813852	-	45813385	Chr1B	37611511	37612468	-	37611989	0.986	0.928
gene:TraesCS1B03G0141100	Chr1B	46360550	46361206	+	46360878	Chr1B	38330239	38330895	+	38330567	1.0	0.902
gene:TraesCS1B03G0141200	Chr1B	46406918	46408081	+	46407499	Chr1B	38334911	38336085	+	38335498	0.996	0.916
gene:TraesCS1B03G0141600	Chr1B	46578454	46582604	+	46580529	Chr1B	38399035	38403161	+	38401098	0.993	0.93
gene:TraesCS1B03G0143700	Chr1B	47877698	47887933	+	47882815	Chr1B	40056021	40065402	+	40060711	0.979	0.921
gene:TraesCS1B03G0145400	Chr1B	48668857	48674312	-	48671584	Chr1B	40220481	40225945	-	40223213	0.99	0.947
gene:TraesCS1B03G0147500	Chr1B	50425660	50429452	-	50427556	Chr1B	40647414	40651159	-	40649286	0.95	0.915
gene:TraesCS1B03G0152000	Chr1B	52418802	52420346	+	52419574	Chr1B	41489357	41490895	-	41490126	0.995	0.922
gene:TraesCS1B03G0152200	Chr1B	52422476	52424467	+	52423471	Chr1B	41485171	41487174	-	41486172	1.0	0.948
gene:TraesCS1B03G0152300	Chr1B	52426282	52428285	+	52427283	Chr1B	41481223	41483226	-	41482224	1.0	0.969
gene:TraesCS1B03G0153000	Chr1B	52750771	52754065	-	52752418	Chr1B	41619813	41623099	+	41621456	0.965	0.918
gene:TraesCS1B03G0157100	Chr1B	54209988	54210916	-	54210452	Chr1B	42407151	42408053	-	42407602	0.959	0.901
gene:TraesCS1B03G0163500	Chr1B	55177752	55187839	-	55182795	Chr1B	43138571	43149036	-	43143803	0.998	0.959
gene:TraesCS1B03G0163600	Chr1B	55231541	55236564	+	55234052	Chr1B	43225155	43229901	+	43227528	0.995	0.946
gene:TraesCS1B03G0164300	Chr1B	55479971	55482838	-	55481404	Chr1B	43789940	43792780	+	43791360	0.99	0.944
gene:TraesCS1B03G0164400	Chr1B	55500189	55502537	+	55501363	Chr1B	43608082	43610372	-	43609227	0.974	0.919
gene:TraesCS1B03G0165000	Chr1B	55691912	55693668	-	55692790	Chr1B	44070273	44071948	-	44071110	1.0	0.95
gene:TraesCS1B03G0165400	Chr1B	56065838	56069815	+	56067826	Chr1B	44369150	44373810	+	44371480	0.984	0.952
gene:TraesCS1B03G0166700	Chr1B	56388973	56391207	+	56390090	Chr1B	44518719	44520878	+	44519798	0.987	0.916
gene:TraesCS1B03G0172700	Chr1B	58401137	58406039	+	58403588	Chr1B	46058974	46063896	-	46061435	0.988	0.916
gene:TraesCS1B03G0172800	Chr1B	58406936	58412487	+	58409711	Chr1B	46052329	46058046	-	46055187	0.995	0.935
gene:TraesCS1B03G0175300	Chr1B	58866327	58867576	-	58866951	Chr1B	45255566	45256867	+	45256216	0.987	0.904
gene:TraesCS1B03G0176400	Chr1B	59626991	59631152	-	59629071	Chr1B	44949936	44953560	+	44951748	0.99	0.944
gene:TraesCS1B03G0178200	Chr1B	60505251	60506005	+	60505628	Chr1B	44941647	44942395	-	44942021	1.0	0.951
gene:TraesCS1B03G0180400	Chr1B	61462229	61463463	+	61462846	Chr1B	47917816	47919054	-	47918435	0.998	0.916
gene:TraesCS1B03G0181700	Chr1B	61555662	61556817	-	61556239	Chr1B	47971167	47972325	-	47971746	0.993	0.924
gene:TraesCS1B03G0182300	Chr1B	61633099	61633891	-	61633495	Chr1B	47909932	47910721	+	47910326	0.995	0.902
gene:TraesCS1B03G0182400	Chr1B	61802565	61808117	+	61805341	Chr1B	48461300	48466924	+	48464112	0.97	0.922
gene:TraesCS1B03G0182500	Chr1B	61808995	61814430	-	61811712	Chr1B	48467851	48473277	-	48470564	1.0	0.977
gene:TraesCS1B03G0183200	Chr1B	61992141	61992872	-	61992506	Chr1B	48699674	48700407	-	48700040	1.0	0.923
gene:TraesCS1B03G0183700	Chr1B	62368015	62371751	-	62369883	Chr1B	48993693	48997374	+	48995533	0.99	0.942
gene:TraesCS1B03G0183900	Chr1B	62372098	62372783	-	62372440	Chr1B	48992672	48993347	+	48993009	1.0	0.955
gene:TraesCS1B03G0183800	Chr1B	62371946	62378503	+	62375224	Chr1B	48985959	48993498	-	48989728	0.996	0.967
gene:TraesCS1B03G0184400	Chr1B	62464751	62466120	+	62465435	Chr1B	48813707	48815114	-	48814410	0.982	0.931
gene:TraesCS1B03G0184900	Chr1B	62482366	62491805	+	62487085	Chr1B	48804318	48811438	-	48807878	0.998	0.969
gene:TraesCS1B03G0186700	Chr1B	62859187	62860098	+	62859642	Chr1B	49420990	49421845	+	49421417	0.938	0.91
gene:TraesCS1B03G0186900	Chr1B	62864011	62866238	-	62865124	Chr1B	49425527	49427757	-	49426642	0.971	0.918
gene:TraesCS1B03G0188600	Chr1B	63195773	63196690	+	63196231	Chr1B	49719807	49720797	+	49720302	0.996	0.912
gene:TraesCS1B03G0189400	Chr1B	63512791	63513963	+	63513377	Chr1B	49946701	49947876	+	49947288	0.994	0.908
gene:TraesCS1B03G0192600	Chr1B	64243160	64248776	+	64245968	Chr1B	50646039	50650961	+	50648500	0.991	0.912
gene:TraesCS1B03G0192900	Chr1B	64518614	64523230	-	64520922	Chr1B	50870919	50875697	-	50873308	0.998	0.954
gene:TraesCS1B03G0193100	Chr1B	64781291	64783965	-	64782628	Chr1B	51440055	51442292	-	51441173	0.993	0.92
gene:TraesCS1B03G0194000	Chr1B	65166582	65168279	-	65167430	Chr1B	52030770	52032472	-	52031621	0.978	0.9
gene:TraesCS1B03G0194200	Chr1B	65198413	65199834	+	65199123	Chr1B	52146173	52147603	-	52146888	0.995	0.949
gene:TraesCS1B03G0198100	Chr1B	67325353	67330386	-	67327869	Chr1B	53582431	53587356	-	53584893	0.97	0.9
gene:TraesCS1B03G0199000	Chr1B	67467560	67470394	+	67468977	Chr1B	53683797	53685632	+	53684714	0.977	0.937
gene:TraesCS1B03G0199300	Chr1B	67691677	67696142	+	67693909	Chr1B	53801197	53805768	+	53803482	0.988	0.923
gene:TraesCS1B03G0199400	Chr1B	67696907	67699569	+	67698238	Chr1B	53860392	53862928	+	53861660	0.962	0.913
gene:TraesCS1B03G0199800	Chr1B	67763162	67763710	+	67763436	Chr1B	54443658	54444253	+	54443955	1.0	0.974
gene:TraesCS1B03G0202400	Chr1B	68471193	68471477	+	68471335	Chr1B	56296991	56297305	-	56297148	1.0	1.0
gene:TraesCS1B03G0202700	Chr1B	68836695	68840527	+	68838611	Chr1B	56430298	56433963	+	56432130	0.98	0.926
gene:TraesCS1B03G0203100	Chr1B	68875798	68876734	-	68876266	Chr1B	56488408	56489330	-	56488869	0.969	0.926
gene:TraesCS1B03G0203300	Chr1B	68971729	68976954	+	68974341	Chr1B	56601041	56606358	+	56603699	0.996	0.936
gene:TraesCS1B03G0203600	Chr1B	69396592	69397203	+	69396897	Chr1B	57008269	57008881	+	57008575	1.0	0.924
gene:TraesCS1B03G0203700	Chr1B	69540598	69540998	+	69540798	Chr1B	56915036	56915436	+	56915236	1.0	0.949
gene:TraesCS1B03G0203800	Chr1B	69590119	69590865	+	69590492	Chr1B	56902044	56902784	+	56902414	0.987	0.91
gene:TraesCS1B03G0203900	Chr1B	69669561	69670317	+	69669939	Chr1B	56931945	56932698	+	56932321	0.993	0.932
gene:TraesCS1B03G0204300	Chr1B	69739817	69743724	+	69741770	Chr1B	57166963	57170850	+	57168906	0.989	0.93
gene:TraesCS1B03G0205900	Chr1B	71110615	71116136	+	71113375	Chr1B	57957187	57962718	+	57959952	0.986	0.93
gene:TraesCS1B03G0206600	Chr1B	71308834	71312690	-	71310762	Chr1B	58124368	58128240	+	58126304	0.992	0.936
gene:TraesCS1B03G0207900	Chr1B	71648390	71653252	-	71650821	Chr1B	58778149	58783307	-	58780728	0.995	0.956
gene:TraesCS1B03G0210300	Chr1B	72248564	72259408	-	72253986	Chr1B	59738543	59749544	-	59744043	0.994	0.932
gene:TraesCS1B03G0211600	Chr1B	72790179	72796977	-	72793578	Chr1B	60799225	60806162	+	60802693	1.0	0.944
gene:TraesCS1B03G0212900	Chr1B	73210267	73219956	+	73215111	Chr1B	60968999	60979631	+	60974315	0.996	0.958
gene:TraesCS1B03G0213300	Chr1B	73310603	73310833	-	73310718	Chr1B	61065708	61065944	-	61065826	0.987	0.9
gene:TraesCS1B03G0213500	Chr1B	73450005	73453502	-	73451753	Chr1B	61167247	61170740	-	61168993	0.999	0.971
gene:TraesCS1B03G0213800	Chr1B	73835735	73851818	+	73843776	Chr1B	61497673	61513196	+	61505434	0.998	0.969
gene:TraesCS1B03G0214500	Chr1B	74506269	74508367	+	74507318	Chr1B	62496999	62499044	+	62498021	0.991	0.935
gene:TraesCS1B03G0215500	Chr1B	74707743	74710544	+	74709143	Chr1B	62544501	62547253	+	62545877	0.967	0.912
gene:TraesCS1B03G0216300	Chr1B	75294987	75299579	+	75297283	Chr1B	62745940	62750435	+	62748187	0.973	0.927
gene:TraesCS1B03G0216400	Chr1B	75299975	75303283	+	75301629	Chr1B	62750832	62753981	+	62752406	0.989	0.95
gene:TraesCS1B03G0216900	Chr1B	75579781	75581908	+	75580844	Chr1B	62839059	62841127	+	62840093	1.0	0.96
gene:TraesCS1B03G0217600	Chr1B	75657378	75662146	+	75659762	Chr1B	62858030	62862840	+	62860435	0.985	0.951
gene:TraesCS1B03G0217900	Chr1B	75922443	75926115	+	75924279	Chr1B	62879020	62882694	+	62880857	0.986	0.902
gene:TraesCS1B03G0218300	Chr1B	75943762	75946519	-	75945140	Chr1B	62883938	62886638	-	62885288	0.958	0.9
gene:TraesCS1B03G0218600	Chr1B	76061475	76082197	+	76071836	Chr1B	63176679	63196212	+	63186445	0.976	0.941
gene:TraesCS1B03G0219400	Chr1B	76457931	76460584	+	76459257	Chr1B	63469745	63472198	+	63470971	0.988	0.952
gene:TraesCS1B03G0219500	Chr1B	76462199	76464019	-	76463109	Chr1B	63473863	63475676	-	63474769	0.983	0.94
gene:TraesCS1B03G0222300	Chr1B	80018379	80026194	+	80022286	Chr1B	64066764	64074494	-	64070629	0.993	0.962
gene:TraesCS1B03G0222600	Chr1B	80040075	80041891	+	80040983	Chr1B	64057488	64059321	-	64058404	0.991	0.923
gene:TraesCS1B03G0225900	Chr1B	86500048	86500344	-	86500196	Chr1B	73279136	73279432	-	73279284	1.0	0.989
gene:TraesCS1B03G0226600	Chr1B	86536615	86536992	+	86536803	Chr1B	73242678	73243055	+	73242866	1.0	0.988
gene:TraesCS1B03G0227000	Chr1B	86636731	86637027	-	86636879	Chr1B	73241539	73241835	-	73241687	1.0	0.973
gene:TraesCS1B03G0229300	Chr1B	88989829	88992978	-	88991403	Chr1B	65172252	65175446	-	65173849	0.997	0.959
gene:TraesCS1B03G0232000	Chr1B	90338701	90339466	-	90339083	Chr1B	65962918	65963679	-	65963298	0.98	0.918
gene:TraesCS1B03G0232900	Chr1B	90751462	90752903	-	90752182	Chr1B	65990564	65991994	-	65991279	0.97	0.914
gene:TraesCS1B03G0233100	Chr1B	91201609	91206757	+	91204183	Chr1B	66351640	66356435	+	66354037	0.986	0.935
gene:TraesCS1B03G0235600	Chr1B	93698201	93700687	+	93699444	Chr1B	66709485	66711962	+	66710723	0.983	0.943
gene:TraesCS1B03G0239300	Chr1B	97088668	97089840	-	97089254	Chr1B	67905765	67906946	-	67906355	1.0	0.934
gene:TraesCS1B03G0241000	Chr1B	98142824	98146283	+	98144553	Chr1B	68842262	68845725	+	68843993	0.989	0.936
gene:TraesCS1B03G0241100	Chr1B	98145160	98147472	-	98146316	Chr1B	68844581	68847071	-	68845826	0.998	0.943
gene:TraesCS1B03G0243500	Chr1B	98793737	98794603	+	98794170	Chr1B	69060140	69061003	+	69060571	0.995	0.91
gene:TraesCS1B03G0244200	Chr1B	99132445	99132897	+	99132671	Chr1B	69219098	69219550	+	69219324	1.0	0.962
gene:TraesCS1B03G0244500	Chr1B	99548609	99554794	+	99551701	Chr1B	69847900	69854071	+	69850985	0.979	0.944
gene:TraesCS1B03G0244600	Chr1B	100165995	100171050	+	100168522	Chr1B	70172832	70177898	-	70175365	0.974	0.924
gene:TraesCS1B03G0245000	Chr1B	100259776	100262963	+	100261369	Chr1B	70156514	70159675	-	70158094	0.967	0.927
gene:TraesCS1B03G0245100	Chr1B	100265738	100268422	-	100267080	Chr1B	70101313	70103981	+	70102647	0.986	0.913
gene:TraesCS1B03G0245300	Chr1B	100436921	100438739	-	100437830	Chr1B	72548680	72550477	+	72549578	0.969	0.918
gene:TraesCS1B03G0245500	Chr1B	100455198	100462884	-	100459041	Chr1B	72546007	72548058	+	72547032	1.0	0.92
gene:TraesCS1B03G0246600	Chr1B	100689326	100690330	-	100689828	Chr1B	78956987	78957988	-	78957487	0.991	0.944
gene:TraesCS1B03G0248200	Chr1B	101080219	101085904	+	101083061	Chr1B	80319922	80325469	+	80322695	0.958	0.915
gene:TraesCS1B03G0248800	Chr1B	101222732	101224645	+	101223688	Chr1B	81045350	81047263	+	81046306	1.0	0.959
gene:TraesCS1B03G0248900	Chr1B	101225408	101232083	-	101228745	Chr1B	81047579	81054225	-	81050902	0.989	0.949
gene:TraesCS1B03G0251900	Chr1B	101939571	101956177	+	101947874	Chr1B	82243485	82256012	+	82249748	0.993	0.957
