gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity	segment
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	803474	807728	+	805601	1.0	1.0	collinear
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	831025	834842	-	832933	1.0	1.0	collinear
gene:TraesCS3A03G0000300	Chr3A	96529	96813	+	96671	Chr3A	873880	874164	+	874022	1.0	1.0	collinear
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	947874	948251	+	948062	1.0	1.0	collinear
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	1492990	1497037	-	1495013	1.0	1.0	collinear
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1501918	1504636	-	1503277	1.0	1.0	collinear
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1518423	1525005	+	1521714	1.0	1.0	collinear
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1533755	1536825	+	1535290	1.0	1.0	collinear
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1723597	1726883	+	1725240	1.0	1.0	collinear
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1752687	1754485	+	1753586	1.0	1.0	collinear
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1799801	1802091	+	1800946	1.0	1.0	collinear
gene:TraesCS3A03G0003900	Chr3A	1064790	1066982	+	1065886	Chr3A	1833756	1835948	+	1834852	1.0	1.0	collinear
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1844257	1846928	+	1845592	1.0	1.0	collinear
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	1908596	1911957	+	1910276	1.0	1.0	collinear
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	1885875	1889076	+	1887475	1.0	1.0	collinear
gene:TraesCS3A03G0004700	Chr3A	1428190	1428489	-	1428339	Chr3A	2191245	2191544	-	2191394	1.0	1.0	collinear
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2372047	2372551	+	2372299	1.0	1.0	collinear
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2377112	2377528	+	2377320	1.0	1.0	collinear
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2431519	2431878	+	2431698	1.0	1.0	collinear
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2449724	2450155	+	2449939	1.0	1.0	collinear
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2475229	2476150	+	2475689	1.0	0.998	collinear
gene:TraesCS3A03G0005900	Chr3A	1800445	1803196	-	1801820	Chr3A	2563526	2566277	-	2564901	1.0	1.0	collinear
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2568309	2568795	-	2568552	1.0	1.0	collinear
gene:TraesCS3A03G0006600	Chr3A	1861996	1862403	+	1862199	Chr3A	2625078	2625485	+	2625281	1.0	1.0	collinear
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2635498	2637355	+	2636426	1.0	1.0	collinear
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2644597	2645074	+	2644835	1.0	1.0	collinear
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2651917	2652519	+	2652218	1.0	1.0	collinear
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2738758	2739464	+	2739111	1.0	1.0	collinear
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2749286	2751523	-	2750404	1.0	1.0	collinear
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	2756317	2757059	+	2756688	1.0	1.0	collinear
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2774083	2777537	+	2775810	1.0	1.0	collinear
gene:TraesCS3A03G0008500	Chr3A	2013683	2017892	-	2015787	Chr3A	2778846	2783055	-	2780950	1.0	1.0	collinear
gene:TraesCS3A03G0008700	Chr3A	2225872	2226467	+	2226169	Chr3A	2990458	2991053	+	2990755	1.0	1.0	collinear
gene:TraesCS3A03G0008900	Chr3A	2507366	2507736	+	2507551	Chr3A	3269672	3270042	+	3269857	1.0	1.0	collinear
gene:TraesCS3A03G0009000	Chr3A	2524157	2524527	+	2524342	Chr3A	3286463	3286833	+	3286648	1.0	1.0	collinear
gene:TraesCS3A03G0009100	Chr3A	2692803	2693503	+	2693153	Chr3A	3452301	3453001	+	3452651	1.0	1.0	collinear
gene:TraesCS3A03G0009500	Chr3A	2986222	2986840	+	2986531	Chr3A	3742443	3743061	+	3742752	1.0	1.0	collinear
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	3759262	3759844	+	3759553	1.0	1.0	collinear
gene:TraesCS3A03G0010200	Chr3A	3503928	3504623	+	3504275	Chr3A	4257045	4257740	+	4257392	1.0	1.0	collinear
gene:TraesCS3A03G0010300	Chr3A	3516427	3516797	+	3516612	Chr3A	4269544	4269914	+	4269729	1.0	1.0	collinear
gene:TraesCS3A03G0010400	Chr3A	3528309	3528679	+	3528494	Chr3A	4281426	4281796	+	4281611	1.0	1.0	collinear
gene:TraesCS3A03G0010900	Chr3A	4550825	4551422	+	4551123	Chr3A	5294666	5295263	+	5294964	1.0	1.0	collinear
gene:TraesCS3A03G0011000	Chr3A	4580518	4580888	+	4580703	Chr3A	5324359	5324729	+	5324544	1.0	1.0	collinear
gene:TraesCS3A03G0011100	Chr3A	4580518	4580888	+	4580703	Chr3A	5324359	5324729	+	5324544	1.0	1.0	collinear
gene:TraesCS3A03G0011400	Chr3A	5573411	5574099	+	5573755	Chr3A	6304622	6305310	+	6304966	1.0	1.0	collinear
gene:TraesCS3A03G0012000	Chr3A	6071257	6073396	-	6072326	Chr3A	6799297	6801436	-	6800366	1.0	1.0	collinear
gene:TraesCS3A03G0012100	Chr3A	6164579	6164949	+	6164764	Chr3A	6892665	6893035	+	6892850	1.0	1.0	collinear
gene:TraesCS3A03G0013800	Chr3A	6965742	6973314	-	6969528	Chr3A	7690356	7697928	-	7694142	1.0	1.0	collinear
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	7923133	7923870	-	7923501	1.0	1.0	collinear
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	7928987	7929759	-	7929373	1.0	1.0	collinear
gene:TraesCS3A03G0014500	Chr3A	7235692	7236321	+	7236006	Chr3A	7963583	7964212	+	7963897	1.0	1.0	collinear
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	7999109	8000372	-	7999740	1.0	1.0	collinear
gene:TraesCS3A03G0014700	Chr3A	7285296	7286069	-	7285682	Chr3A	8013187	8013960	-	8013573	1.0	1.0	collinear
gene:TraesCS3A03G0014800	Chr3A	7323919	7329828	+	7326873	Chr3A	8051813	8057722	+	8054767	1.0	1.0	collinear
gene:TraesCS3A03G0015200	Chr3A	7342556	7344335	-	7343445	Chr3A	8070449	8072228	-	8071338	1.0	1.0	collinear
gene:TraesCS3A03G0015300	Chr3A	7348215	7349429	-	7348822	Chr3A	8076108	8077322	-	8076715	1.0	1.0	collinear
gene:TraesCS3A03G0015600	Chr3A	7363585	7366969	+	7365277	Chr3A	8091478	8094863	+	8093170	1.0	1.0	collinear
gene:TraesCS3A03G0015800	Chr3A	7380064	7383852	-	7381958	Chr3A	8107954	8111742	-	8109848	1.0	1.0	collinear
