gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS3D02G007700	Chr3D	2718295	2718750	+	2718522	Chr3D	1825014	1825469	-	1825241	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G007800	Chr3D	2720422	2720769	+	2720595	Chr3D	1822995	1823342	-	1823168	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G007900	Chr3D	2749638	2749994	+	2749816	Chr3D	1793770	1794126	-	1793948	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G008000	Chr3D	2753359	2753920	+	2753639	Chr3D	1790067	1790628	-	1790347	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G008100	Chr3D	2773343	2773867	+	2773605	Chr3D	1770373	1770897	-	1770635	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G008200	Chr3D	2879304	2881646	-	2880475	Chr3D	1665793	1668135	+	1666964	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G008300	Chr3D	2909397	2911605	-	2910501	Chr3D	1636415	1638623	+	1637519	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G008400	Chr3D	2967474	2969505	-	2968489	Chr3D	1579183	1581214	+	1580198	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G008500	Chr3D	2975372	2980480	-	2977926	Chr3D	1568598	1573706	+	1571152	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G008600	Chr3D	2980895	2984483	-	2982689	Chr3D	1564595	1568183	+	1566389	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G008700	Chr3D	3011970	3015359	+	3013664	Chr3D	1534024	1537413	-	1535718	1.0	1.0	rearrangement:Chr3D_block1
