cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	251224	143277059	1429	0.9998873337998601
Chr4D	143939177	159173700	Chr4D	145938615	161143236	18	0.9997222222222223
Chr4D	163710731	183649096	Chr4D	165681894	186209826	27	0.9998518518518519
Chr4D	188969484	192971731	Chr4D	192125449	196119804	6	0.9998333333333332
Chr4D	195239705	198785582	Chr4D	198382711	201919727	7	1.0
Chr4D	201663396	212424003	Chr4D	205228633	216626297	27	1.0
Chr4D	214566503	228344802	Chr4D	218764444	232534902	23	0.999
Chr4D	230503918	238850566	Chr4D	234697179	243010553	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	245300785	254141093	18	1.0
Chr4D	251744642	256746015	Chr4D	256711319	261705842	7	0.999
Chr4D	259082246	261473317	Chr4D	264029161	266413913	6	1.0
Chr4D	264155329	268258812	Chr4D	269092251	273181249	7	1.0
Chr4D	270831155	284417863	Chr4D	275754576	289308707	19	0.9978421052631579
Chr4D	286726699	329466878	Chr4D	291609462	334560101	223	0.9996816143497758
Chr4D	331779306	375686787	Chr4D	336864849	380930900	303	0.9998613861386138
Chr4D	377775997	410310201	Chr4D	383056017	418803498	236	0.9998813559322035
Chr4D	412602740	514856841	Chr4D	421588682	526197944	1195	0.999621757322176
