cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr1A	55218	161541694	Chr1A	48973	161673959	1235	0.9975829959514171
Chr1A	163678239	179426534	Chr1A	163844871	179587789	31	0.9990967741935485
Chr1A	181647298	184244993	Chr1A	181684563	184258760	5	0.9996
Chr1A	187212146	195578524	Chr1A	187230096	195633295	11	0.9997272727272727
Chr1A	202719482	204217307	Chr1A	202808370	204297601	5	0.9987999999999999
Chr1A	206439950	211446295	Chr1A	206516612	211499985	8	0.9998750000000001
Chr1A	214015968	411777219	Chr1A	214009155	416103207	917	0.9964394765539804
Chr1A	414061309	422384517	Chr1A	418474249	427186360	23	0.9965652173913043
Chr1A	425019660	549266979	Chr1A	428995644	552552143	1266	0.9975639810426542
Chr1A	559407333	564322974	Chr1A	563978762	568754693	67	0.9939402985074626
Chr1A	575760323	598556974	Chr1A	579183504	603774058	311	0.9943794212218648
