gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	935184	939658	+	937421	1.0	0.994
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	963122	966947	-	965034	1.0	0.993
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	1109335	1109712	+	1109523	1.0	0.994
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	1668922	1672967	-	1670944	0.998	0.997
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1677766	1680484	-	1679125	1.0	0.998
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1715601	1722108	+	1718854	0.966	0.952
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1727715	1730877	+	1729296	1.0	0.982
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1887319	1890603	+	1888961	1.0	0.998
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1916121	1917986	+	1917053	0.97	0.958
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1961641	1963931	+	1962786	1.0	0.993
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	2005959	2008632	+	2007295	0.998	0.983
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	2025427	2028788	+	2027107	1.0	0.999
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	2047544	2050745	+	2049144	1.0	0.999
gene:TraesCS3A03G0004700	Chr3A	1428190	1428489	-	1428339	Chr3A	2252980	2253279	-	2253129	1.0	1.0
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2492792	2493299	+	2493045	1.0	0.984
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2499133	2499549	+	2499341	1.0	1.0
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2544738	2545094	+	2544916	0.991	0.991
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2582733	2583159	+	2582946	0.981	0.96
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2593396	2594317	+	2593856	1.0	0.991
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2741851	2742337	-	2742094	1.0	0.996
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2877975	2879832	+	2878903	1.0	0.99
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2888190	2888667	+	2888428	1.0	0.995
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2894627	2895229	+	2894928	1.0	0.993
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	3098611	3100854	-	3099732	1.0	0.954
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	3114433	3115175	+	3114804	0.998	0.989
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	3120766	3124222	+	3122494	1.0	0.994
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	3368146	3368883	-	3368514	1.0	0.995
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	3373960	3374739	-	3374349	1.0	0.987
gene:TraesCS3A03G0014500	Chr3A	7235692	7236321	+	7236006	Chr3A	3392983	3393612	+	3393297	1.0	0.98
