gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity	segment
gene:TraesCS7A03G0000300	Chr7A	241763	245662	-	243712	Chr7A	6616849	6620830	-	6618839	1.0	0.992	collinear
gene:TraesCS7A03G0000400	Chr7A	249969	253391	+	251680	Chr7A	6625128	6628504	+	6626816	0.959	0.955	collinear
gene:TraesCS7A03G0001000	Chr7A	287782	289092	+	288437	Chr7A	6647438	6648734	+	6648086	1.0	0.997	collinear
gene:TraesCS7A03G0003000	Chr7A	636996	649433	-	643214	Chr7A	6842338	6854773	-	6848555	1.0	0.997	collinear
gene:TraesCS7A03G0003300	Chr7A	658982	671984	-	665483	Chr7A	6865360	6878363	-	6871861	1.0	0.999	collinear
gene:TraesCS7A03G0003400	Chr7A	751650	755043	-	753346	Chr7A	6958017	6961410	-	6959713	1.0	1.0	collinear
gene:TraesCS7A03G0003500	Chr7A	776562	777005	-	776783	Chr7A	6982922	6983365	-	6983143	1.0	1.0	collinear
gene:TraesCS7A03G0004100	Chr7A	965060	971771	+	968415	Chr7A	7171452	7178163	+	7174807	1.0	1.0	collinear
gene:TraesCS7A03G0004300	Chr7A	1116397	1117068	+	1116732	Chr7A	7322590	7323261	+	7322925	1.0	1.0	collinear
gene:TraesCS7A03G0004500	Chr7A	1168399	1170394	+	1169396	Chr7A	7361305	7363300	+	7362302	1.0	0.999	collinear
gene:TraesCS7A03G0004800	Chr7A	1288480	1289699	+	1289089	Chr7A	7471336	7472555	+	7471945	1.0	1.0	collinear
gene:TraesCS7A03G0004900	Chr7A	1292673	1293108	-	1292890	Chr7A	7475529	7475964	-	7475746	1.0	1.0	collinear
gene:TraesCS7A03G0005000	Chr7A	1295626	1310738	-	1303182	Chr7A	7478482	7493594	-	7486038	1.0	0.999	collinear
gene:TraesCS7A03G0005100	Chr7A	1331278	1332098	-	1331688	Chr7A	7513591	7514411	-	7514001	1.0	1.0	collinear
gene:TraesCS7A03G0005200	Chr7A	1335552	1337332	-	1336442	Chr7A	7517865	7519645	-	7518755	1.0	1.0	collinear
gene:TraesCS7A03G0005400	Chr7A	1385966	1392029	+	1388997	Chr7A	7568096	7573756	+	7570926	1.0	1.0	collinear
gene:TraesCS7A03G0005500	Chr7A	1419975	1425182	+	1422578	Chr7A	7601506	7606713	+	7604109	1.0	1.0	collinear
gene:TraesCS7A03G0005700	Chr7A	1432182	1436354	+	1434268	Chr7A	7613713	7617885	+	7615799	1.0	1.0	collinear
gene:TraesCS7A03G0005800	Chr7A	1454642	1455418	+	1455030	Chr7A	7636172	7636948	+	7636560	1.0	1.0	collinear
gene:TraesCS7A03G0005900	Chr7A	1474660	1477341	+	1476000	Chr7A	7655692	7658374	+	7657033	1.0	0.995	collinear
gene:TraesCS7A03G0006400	Chr7A	1511767	1523016	-	1517391	Chr7A	7693090	7704340	-	7698715	1.0	1.0	collinear
gene:TraesCS7A03G0006500	Chr7A	1536839	1539713	+	1538276	Chr7A	7717935	7720805	+	7719370	0.998	0.997	collinear
gene:TraesCS7A03G0006900	Chr7A	1705137	1706808	+	1705972	Chr7A	7918909	7920581	+	7919745	1.0	0.998	collinear
gene:TraesCS7A03G0007000	Chr7A	1709690	1715064	+	1712377	Chr7A	7923463	7928717	+	7926090	0.999	0.987	collinear
gene:TraesCS7A03G0007200	Chr7A	1727345	1733016	+	1730180	Chr7A	7951390	7957065	+	7954227	1.0	0.996	collinear
gene:TraesCS7A03G0007300	Chr7A	1733546	1738771	-	1736158	Chr7A	7957595	7962880	-	7960237	1.0	0.984	collinear
gene:TraesCS7A03G0007400	Chr7A	1757255	1763142	-	1760198	Chr7A	7986794	7992743	-	7989768	0.969	0.966	collinear
gene:TraesCS7A03G0007800	Chr7A	1991641	1995052	-	1993346	Chr7A	8223514	8226858	-	8225186	0.955	0.903	collinear
gene:TraesCS7A03G0007900	Chr7A	1999166	2001559	+	2000362	Chr7A	8311015	8313288	+	8312151	0.999	0.928	collinear
gene:TraesCS7A03G0008000	Chr7A	2002174	2006210	-	2004192	Chr7A	8313906	8317928	-	8315917	0.986	0.981	collinear
gene:TraesCS7A03G0008800	Chr7A	2119023	2128730	+	2123876	Chr7A	8356281	8366204	+	8361242	0.998	0.987	collinear
gene:TraesCS7A03G0010100	Chr7A	2684032	2686882	-	2685457	Chr7A	8932720	8935564	-	8934142	0.996	0.961	collinear
gene:TraesCS7A03G0010400	Chr7A	2735543	2735899	+	2735721	Chr7A	8809766	8810122	+	8809944	1.0	0.969	collinear
gene:TraesCS7A03G0013200	Chr7A	3126732	3132139	-	3129435	Chr7A	8908522	8913918	-	8911220	0.98	0.912	collinear
gene:TraesCS7A03G0016000	Chr7A	3663911	3665431	-	3664671	Chr7A	8423159	8424691	-	8423925	1.0	0.98	collinear
gene:TraesCS7A03G0016200	Chr7A	3702171	3706803	+	3704487	Chr7A	8471161	8475792	+	8473476	0.994	0.954	collinear
gene:TraesCS7A03G0016700	Chr7A	3898594	3902526	+	3900560	Chr7A	9963498	9967358	+	9965428	0.998	0.988	collinear
gene:TraesCS7A03G0017300	Chr7A	3958659	3963485	-	3961072	Chr7A	9998912	10003662	-	10001287	0.977	0.971	collinear
gene:TraesCS7A03G0017400	Chr7A	3964572	3969793	-	3967182	Chr7A	10005300	10010539	-	10007919	1.0	0.988	collinear
gene:TraesCS7A03G0017500	Chr7A	3969939	3972006	+	3970972	Chr7A	10010685	10012743	+	10011714	1.0	0.997	collinear
gene:TraesCS7A03G0017700	Chr7A	3977724	3980995	-	3979359	Chr7A	10018462	10021801	-	10020131	1.0	0.997	collinear
gene:TraesCS7A03G0017900	Chr7A	4025082	4030195	-	4027638	Chr7A	10051367	10056273	-	10053820	0.947	0.935	collinear
gene:TraesCS7A03G0018100	Chr7A	4100967	4104780	-	4102873	Chr7A	10083925	10087726	-	10085825	1.0	0.992	collinear
gene:TraesCS7A03G0018600	Chr7A	4132285	4134938	-	4133611	Chr7A	10109298	10111953	-	10110625	1.0	0.964	collinear
gene:TraesCS7A03G0018700	Chr7A	4138504	4139672	+	4139088	Chr7A	10115506	10116672	+	10116089	1.0	0.985	collinear
gene:TraesCS7A03G0018900	Chr7A	4184804	4189871	-	4187337	Chr7A	10161944	10167015	-	10164479	1.0	0.989	collinear
gene:TraesCS7A03G0019200	Chr7A	4325829	4328918	-	4327373	Chr7A	10239659	10242706	-	10241182	0.998	0.992	collinear
gene:TraesCS7A03G0019300	Chr7A	4371114	4374524	-	4372819	Chr7A	10260169	10263608	-	10261888	1.0	0.993	collinear
gene:TraesCS7A03G0019500	Chr7A	4446713	4449380	-	4448046	Chr7A	10318307	10320974	-	10319640	1.0	0.989	collinear
gene:TraesCS7A03G0019700	Chr7A	4547141	4552873	-	4550007	Chr7A	10414519	10420245	-	10417382	0.999	0.994	collinear
