cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	63067	138476523	1406	0.999068278805121
Chr4D	143579930	155648423	Chr4D	141131470	153099688	16	0.9961875
Chr4D	163412513	183387226	Chr4D	160790173	180638310	27	0.9998888888888889
Chr4D	188710899	192736636	Chr4D	187169168	191170462	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	193433769	196962310	7	0.9997142857142858
Chr4D	201443437	212157624	Chr4D	200176213	210857862	28	0.9993571428571428
Chr4D	214312396	228145178	Chr4D	212986786	226719275	23	0.9998260869565219
Chr4D	230482531	238626311	Chr4D	228905929	237230325	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	239523598	247584005	19	0.9996315789473683
Chr4D	251524682	256552996	Chr4D	250155367	255145217	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	257459368	259839751	6	1.0
Chr4D	263946972	268074619	Chr4D	262517341	266601387	7	0.9977142857142857
Chr4D	270654719	329311457	Chr4D	269168910	327566168	243	0.998991769547325
Chr4D	331638064	375735889	Chr4D	329874892	373781211	301	0.99956146179402
Chr4D	377828182	410407878	Chr4D	375847586	408600757	235	0.998808510638298
Chr4D	412715801	509853899	Chr4D	411062511	508856710	1153	0.9988907198612316
Chr4D	505700667	507006408	Chr4D	510910013	512214746	24	0.9999583333333334
