gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS2A02G000100	Chr2A	249837	258387	+	254112	Chr2A	253525	262075	+	257800	1.0	1.0	collinear
gene:TraesCS2A02G000200	Chr2A	258830	262973	-	260901	Chr2A	262518	266652	-	264585	0.997	0.997	collinear
gene:TraesCS2A02G000300	Chr2A	272124	273067	-	272595	Chr2A	275816	276759	-	276287	1.0	0.998	collinear
gene:TraesCS2A02G000400	Chr2A	278821	289215	+	284018	Chr2A	282513	292579	+	287546	1.0	1.0	collinear
gene:TraesCS2A02G000500	Chr2A	326106	327106	-	326606	Chr2A	329470	330470	-	329970	1.0	1.0	collinear
gene:TraesCS2A02G000600	Chr2A	389168	391345	+	390256	Chr2A	392267	394444	+	393355	1.0	1.0	collinear
gene:TraesCS2A02G000700	Chr2A	396124	400932	-	398528	Chr2A	399214	404177	-	401695	0.995	0.993	collinear
gene:TraesCS2A02G000800	Chr2A	473496	474573	-	474034	Chr2A	475285	476360	-	475822	1.0	0.998	collinear
gene:TraesCS2A02G000900	Chr2A	500410	504019	+	502214	Chr2A	502188	505797	+	503992	1.0	0.999	collinear
gene:TraesCS2A02G001000	Chr2A	512885	516471	+	514678	Chr2A	514663	518249	+	516456	1.0	1.0	collinear
gene:TraesCS2A02G001100	Chr2A	525386	528729	+	527057	Chr2A	526996	530339	+	528667	1.0	1.0	collinear
gene:TraesCS2A02G001200	Chr2A	529346	533102	-	531224	Chr2A	530956	534708	-	532832	1.0	1.0	collinear
gene:TraesCS2A02G001300	Chr2A	533300	536209	+	534754	Chr2A	537290	540199	+	538744	1.0	1.0	collinear
gene:TraesCS2A02G001400	Chr2A	562911	565826	-	564368	Chr2A	566621	569536	-	568078	1.0	1.0	collinear
gene:TraesCS2A02G001500	Chr2A	580888	585420	-	583154	Chr2A	584598	589130	-	586864	1.0	1.0	collinear
gene:TraesCS2A02G001600	Chr2A	658359	660448	+	659403	Chr2A	660465	662554	+	661509	1.0	1.0	collinear
gene:TraesCS2A02G001700	Chr2A	662867	665222	+	664044	Chr2A	664266	666621	+	665443	1.0	0.997	collinear
gene:TraesCS2A02G001800	Chr2A	715377	716198	+	715787	Chr2A	716197	717018	+	716607	1.0	0.997	collinear
gene:TraesCS2A02G001900	Chr2A	746916	747789	+	747352	Chr2A	748038	748911	+	748474	1.0	1.0	collinear
gene:TraesCS2A02G002000	Chr2A	819919	820675	+	820297	Chr2A	821065	821821	+	821443	1.0	0.996	collinear
gene:TraesCS2A02G002100	Chr2A	1163741	1165344	-	1164542	Chr2A	1228310	1229913	-	1229111	1.0	1.0	collinear
gene:TraesCS2A02G002400	Chr2A	1364422	1365450	-	1364936	Chr2A	1423053	1424081	-	1423567	1.0	1.0	collinear
gene:TraesCS2A02G002500	Chr2A	1370229	1381768	-	1375998	Chr2A	1428860	1440457	-	1434658	1.0	0.973	collinear
gene:TraesCS2A02G002600	Chr2A	1608666	1609163	+	1608914	Chr2A	1664952	1665449	+	1665200	1.0	1.0	collinear
gene:TraesCS2A02G002700	Chr2A	1685582	1687293	+	1686437	Chr2A	1764219	1765930	+	1765074	1.0	0.999	collinear
gene:TraesCS2A02G003000	Chr2A	1857935	1863412	-	1860673	Chr2A	1808360	1813629	-	1810994	1.0	1.0	collinear
gene:TraesCS2A02G003100	Chr2A	1871479	1877682	+	1874580	Chr2A	1821698	1827796	+	1824747	1.0	1.0	collinear
gene:TraesCS2A02G003200	Chr2A	2226935	2231232	+	2229083	Chr2A	2171668	2175965	+	2173816	1.0	0.999	collinear
gene:TraesCS2A02G003400	Chr2A	2273380	2274666	-	2274023	Chr2A	3071396	3072682	-	3072039	1.0	0.997	collinear
gene:TraesCS2A02G003600	Chr2A	2321343	2325578	+	2323460	Chr2A	3116644	3120879	+	3118761	1.0	0.999	collinear
gene:TraesCS2A02G003700	Chr2A	2331523	2337129	+	2334326	Chr2A	3126824	3132430	+	3129627	1.0	0.999	collinear
gene:TraesCS2A02G003800	Chr2A	2352114	2353022	-	2352568	Chr2A	3147415	3148323	-	3147869	1.0	1.0	collinear
gene:TraesCS2A02G004100	Chr2A	2366335	2367372	+	2366853	Chr2A	3161808	3162845	+	3162326	1.0	1.0	collinear
gene:TraesCS2A02G003900	Chr2A	2355896	2382397	+	2369146	Chr2A	3151175	3177870	+	3164522	1.0	0.999	collinear
gene:TraesCS2A02G004200	Chr2A	2373231	2377514	-	2375372	Chr2A	3168704	3172987	-	3170845	1.0	1.0	collinear
gene:TraesCS2A02G004300	Chr2A	2377872	2379498	+	2378685	Chr2A	3173345	3174971	+	3174158	1.0	1.0	collinear
gene:TraesCS2A02G004400	Chr2A	2402808	2403208	+	2403008	Chr2A	3198038	3198438	+	3198238	1.0	1.0	collinear
gene:TraesCS2A02G004500	Chr2A	2405864	2407866	+	2406865	Chr2A	3201094	3203096	+	3202095	1.0	1.0	collinear
gene:TraesCS2A02G004600	Chr2A	2463117	2466740	-	2464928	Chr2A	3258370	3261993	-	3260181	1.0	1.0	collinear
gene:TraesCS2A02G004700	Chr2A	2476815	2481845	-	2479330	Chr2A	3271673	3276703	-	3274188	1.0	1.0	collinear
gene:TraesCS2A02G004800	Chr2A	2481972	2487182	+	2484577	Chr2A	3276830	3282040	+	3279435	1.0	1.0	collinear
gene:TraesCS2A02G004900	Chr2A	2488830	2495245	-	2492037	Chr2A	3283685	3289893	-	3286789	0.956	0.955	collinear
gene:TraesCS2A02G005000	Chr2A	2637762	2653834	+	2645798	Chr2A	3814324	3830067	-	3822195	0.999	0.994	collinear
