cs_chr	SY_Mattis_tgt_chr	n_anchors	SY_Mattis_mean_anchor_gap_Mb	SY_Mattis_interp_type	n_segments	SY_Mattis_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A	4042	0.085	linear+linear+linear+linear	4	0.949
Chr1B	Chr1B+Chr1B	4196	0.098	linear+linear	2	0.914
Chr1D	Chr1D+Chr1D	4340	0.088	linear+linear	2	0.969
Chr2A	Chr2A+Chr2A	5063	0.318	linear+pchip_inverted	2	0.902
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5338	0.535	linear+pchip_inverted+linear+linear+linear+linear	6	0.905
Chr2D	Chr2D	5444	0.121	linear	1	0.948
Chr3A	Chr3A+Chr3A+Chr3A	4950	0.114	linear+linear+linear	3	0.963
Chr3B	Chr3B+Chr3B	5346	0.136	linear+linear	2	0.907
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	4815	0.118	linear+linear+linear+linear	4	0.954
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	4145	0.225	linear+linear+linear+linear	4	0.909
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B+Chr4B	3702	0.207	linear+linear+pchip_inverted+linear+linear	5	0.959
Chr4D	Chr4D	3437	0.147	linear	1	0.964
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5159	0.102	linear+linear+linear+linear	4	0.943
Chr5B	Chr5B+Chr7B+Chr5B+Chr5B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4976	0.082	linear+linear+linear+linear+linear+pchip_inverted+linear+linear+pchip+linear	10	0.856
Chr5D	Chr5D+Chr5D+Chr5D	5405	0.101	linear+linear+linear	3	0.978
Chr6A	Chr6A	3792	0.164	linear	1	0.956
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3996	0.234	linear+linear+linear+pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip+pchip+pchip_inverted+pchip_inverted+linear	12	0.878
Chr6D	Chr6D	3731	0.132	linear	1	0.952
Chr7A	Chr7A+Chr7A+Chr7A	5091	0.136	linear+linear+linear	3	0.951
Chr7B	Chr5B+Chr7B+Chr5B+Chr5B+Chr7B+Chr7B+Chr7B	4397	5.358	linear+linear+linear+linear+linear+linear+linear	7	0.915
Chr7D	Chr7D	5185	0.124	linear	1	0.968
