gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity	segment
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	263104	264670	-	263887	0.958	0.922	collinear
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	265017	266614	-	265815	1.0	0.998	collinear
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	665079	669017	+	667048	0.985	0.985	collinear
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	669890	674025	-	671957	1.0	0.991	collinear
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	724350	725564	+	724957	0.985	0.97	collinear
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	726985	732315	-	729650	1.0	0.992	collinear
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	745314	748559	+	746936	0.998	0.984	collinear
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	779739	780368	+	780053	1.0	0.973	collinear
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	829741	830367	-	830054	1.0	0.99	collinear
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	861534	862550	-	862042	1.0	0.974	collinear
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	883390	883779	+	883584	0.992	0.969	collinear
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	906851	908475	+	907663	1.0	0.972	collinear
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	907000	908373	-	907686	1.0	0.967	collinear
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	922560	925841	+	924200	1.0	0.994	collinear
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1118473	1120438	+	1119455	0.975	0.973	collinear
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1132307	1133227	+	1132767	1.0	0.996	collinear
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1134775	1136502	-	1135638	0.999	0.998	collinear
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1138171	1139343	+	1138757	0.996	0.922	collinear
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1254620	1256390	+	1255505	0.998	0.997	collinear
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1267848	1268891	+	1268369	0.997	0.968	collinear
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	1285618	1287556	+	1286587	0.98	0.968	collinear
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	1381330	1383240	+	1382285	1.0	0.994	collinear
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	1387534	1387920	-	1387727	0.977	0.972	collinear
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	1430363	1433085	+	1431724	1.0	0.995	collinear
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	1440145	1443365	+	1441755	0.98	0.924	collinear
gene:TraesCS4B03G0003800	Chr4B	1685750	1687075	+	1686412	Chr4B	2054994	2056297	+	2055645	0.969	0.944	collinear
gene:TraesCS4B03G0004200	Chr4B	1757457	1761476	+	1759466	Chr4B	2106295	2110320	+	2108307	1.0	0.999	collinear
gene:TraesCS4B03G0004300	Chr4B	1762923	1767453	+	1765188	Chr4B	2111767	2116172	+	2113969	1.0	1.0	collinear
gene:TraesCS4B03G0004400	Chr4B	1769850	1774224	+	1772037	Chr4B	2118424	2122798	+	2120611	1.0	0.999	collinear
gene:TraesCS4B03G0004500	Chr4B	1775068	1779099	+	1777083	Chr4B	2123642	2127673	+	2125657	1.0	0.999	collinear
gene:TraesCS4B03G0004900	Chr4B	1839220	1843075	+	1841147	Chr4B	2187839	2191694	+	2189766	1.0	1.0	collinear
gene:TraesCS4B03G0005300	Chr4B	2021348	2025490	-	2023419	Chr4B	2226627	2230694	-	2228660	0.988	0.971	collinear
gene:TraesCS4B03G0005400	Chr4B	2134054	2136160	+	2135107	Chr4B	2723698	2725804	+	2724751	1.0	0.997	collinear
gene:TraesCS4B03G0006400	Chr4B	2318788	2320128	-	2319458	Chr4B	2922083	2923423	-	2922753	1.0	1.0	collinear
gene:TraesCS4B03G0006600	Chr4B	2361690	2362465	-	2362077	Chr4B	2965047	2965822	-	2965434	1.0	0.998	collinear
gene:TraesCS4B03G0007000	Chr4B	2416943	2418089	+	2417516	Chr4B	3020296	3021442	+	3020869	1.0	0.999	collinear
gene:TraesCS4B03G0007500	Chr4B	2443066	2488821	+	2465943	Chr4B	3046443	3092220	+	3069331	1.0	1.0	collinear
gene:TraesCS4B03G0007800	Chr4B	3611489	3612627	+	3612058	Chr4B	4511802	4512814	-	4512308	1.0	0.988	collinear
