cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr6D	2818136	5402999	Chr6D	14374	2525189	63	0.9905555555555554
Chr6D	43783	2651606	Chr6D	2761663	5811721	56	0.9993928571428572
Chr6D	5570943	27630303	Chr6D	6188449	29759597	398	0.9986457286432161
Chr6D	32741204	38579793	Chr6D	34733975	42792032	94	0.9996170212765957
Chr6D	41537060	46120294	Chr6D	45818833	50458594	67	0.9991343283582088
Chr6D	49876700	56759409	Chr6D	57285188	64867066	59	0.9984745762711864
Chr6D	64544097	186375773	Chr6D	73314598	195689036	950	0.9991568421052631
Chr6D	188380630	235958205	Chr6D	197671604	244441710	75	0.9998533333333331
Chr6D	238222872	248745870	Chr6D	246905775	257407399	15	0.9994000000000001
Chr6D	253451229	261093398	Chr6D	262101590	269741488	12	0.9999166666666667
Chr6D	263489417	302615547	Chr6D	272135931	313012951	144	0.9988888888888887
Chr6D	304859324	436495956	Chr6D	315240697	446445761	1033	0.9994811229428847
Chr6D	439160889	495303957	Chr6D	449108223	506518486	956	0.9968117154811715
