gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	658026	660993	+	659509	0.998	0.988
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	656127	658014	+	657070	0.999	0.992
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	448263	454875	+	451569	0.999	0.969
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	403189	404751	+	403970	0.995	0.972
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	842036	847230	+	844633	0.999	0.989
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	879966	884368	+	882167	0.972	0.941
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	1533883	1535945	-	1534914	1.0	0.969
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	1604236	1604841	-	1604538	1.0	0.993
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	1666967	1668983	+	1667975	0.997	0.993
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	1729271	1730178	+	1729724	0.961	0.958
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	1737612	1741972	-	1739792	1.0	0.998
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	1757157	1761803	+	1759480	1.0	0.998
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	1770226	1771272	-	1770749	1.0	0.993
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	1777281	1777668	+	1777474	1.0	1.0
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	1785091	1785588	-	1785339	1.0	0.996
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	1787577	1788551	+	1788064	0.987	0.959
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	1808235	1815141	+	1811688	1.0	0.99
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	1821080	1825503	-	1823291	1.0	0.992
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	1834789	1841060	+	1837924	0.995	0.974
