gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS4B02G000100	Chr4B	1	459	+	230	Chr4B	298158	298616	-	298387	1.0	1.0	collinear
gene:TraesCS4B02G000200	Chr4B	230189	233429	+	231809	Chr4B	576816	580056	+	578436	1.0	1.0	collinear
gene:TraesCS4B02G000300	Chr4B	233604	235207	-	234405	Chr4B	580231	581834	-	581032	1.0	1.0	collinear
gene:TraesCS4B02G000400	Chr4B	235554	237151	-	236352	Chr4B	582181	583778	-	582979	1.0	1.0	collinear
gene:TraesCS4B02G000500	Chr4B	536859	540040	-	538449	Chr4B	1857460	1860641	+	1859050	1.0	1.0	collinear
gene:TraesCS4B02G000600	Chr4B	556850	559568	-	558209	Chr4B	1837932	1840650	+	1839291	1.0	1.0	collinear
gene:TraesCS4B02G000700	Chr4B	593305	593700	+	593502	Chr4B	1804031	1804426	-	1804228	1.0	1.0	collinear
gene:TraesCS4B02G000800	Chr4B	606792	608698	-	607745	Chr4B	1789030	1790936	+	1789983	1.0	1.0	collinear
gene:TraesCS4B02G000900	Chr4B	621192	623232	-	622212	Chr4B	1774737	1776777	+	1775757	1.0	1.0	collinear
gene:TraesCS4B02G001000	Chr4B	639894	640937	-	640415	Chr4B	1757032	1758075	+	1757553	1.0	1.0	collinear
gene:TraesCS4B02G001100	Chr4B	652667	654439	-	653553	Chr4B	1743755	1745527	+	1744641	1.0	1.0	collinear
gene:TraesCS4B02G001200	Chr4B	804929	806039	-	805484	Chr4B	1596871	1597981	+	1597426	1.0	1.0	collinear
gene:TraesCS4B02G001300	Chr4B	807708	809435	+	808571	Chr4B	1593475	1595202	-	1594338	1.0	1.0	collinear
gene:TraesCS4B02G001400	Chr4B	811058	811978	-	811518	Chr4B	1590932	1591852	+	1591392	1.0	1.0	collinear
gene:TraesCS4B02G001500	Chr4B	824217	826230	-	825223	Chr4B	1577043	1579056	+	1578049	1.0	1.0	collinear
gene:TraesCS4B02G001600	Chr4B	1046619	1049898	-	1048258	Chr4B	1351287	1354566	+	1352926	1.0	1.0	collinear
gene:TraesCS4B02G001700	Chr4B	1055642	1057009	+	1056325	Chr4B	1344119	1345486	-	1344802	1.0	1.0	collinear
gene:TraesCS4B02G001800	Chr4B	1055540	1057158	-	1056349	Chr4B	1343970	1345588	+	1344779	1.0	1.0	collinear
gene:TraesCS4B02G001900	Chr4B	1080301	1080693	-	1080497	Chr4B	1320488	1320880	+	1320684	1.0	1.0	collinear
gene:TraesCS4B02G002000	Chr4B	1101906	1102898	+	1102402	Chr4B	1298281	1299273	-	1298777	1.0	1.0	collinear
gene:TraesCS4B02G002100	Chr4B	1135933	1136559	+	1136246	Chr4B	1265535	1266161	-	1265848	1.0	1.0	collinear
gene:TraesCS4B02G002200	Chr4B	1198805	1199422	-	1199113	Chr4B	1203346	1203963	+	1203654	1.0	1.0	collinear
gene:TraesCS4B02G002300	Chr4B	1243148	1246366	-	1244757	Chr4B	1156455	1159673	+	1158064	1.0	1.0	collinear
gene:TraesCS4B02G002400	Chr4B	1257749	1263057	+	1260403	Chr4B	1140638	1145946	-	1143292	1.0	1.0	collinear
gene:TraesCS4B02G002500	Chr4B	1264008	1265225	-	1264616	Chr4B	1138470	1139687	+	1139078	1.0	1.0	collinear
gene:TraesCS4B02G002600	Chr4B	1316142	1320257	+	1318199	Chr4B	1084043	1088158	-	1086100	1.0	1.0	collinear
gene:TraesCS4B02G002700	Chr4B	1321134	1325121	-	1323127	Chr4B	1079179	1083166	+	1081172	1.0	1.0	collinear
gene:TraesCS4B02G002800	Chr4B	1696842	1698167	+	1697504	Chr4B	2688313	2689638	+	2688975	1.0	1.0	collinear
gene:TraesCS4B02G002900	Chr4B	1768549	1772568	+	1770558	Chr4B	2759469	2763488	+	2761478	1.0	1.0	collinear
gene:TraesCS4B02G003000	Chr4B	1774015	1778545	+	1776280	Chr4B	2764935	2769338	+	2767136	1.0	1.0	collinear
gene:TraesCS4B02G003100	Chr4B	1780942	1785316	+	1783129	Chr4B	2771581	2775955	+	2773768	1.0	1.0	collinear
gene:TraesCS4B02G003200	Chr4B	1786160	1790191	+	1788175	Chr4B	2776799	2780830	+	2778814	1.0	1.0	collinear
gene:TraesCS4B02G003300	Chr4B	1851740	1855595	+	1853667	Chr4B	2840937	2844792	+	2842864	1.0	1.0	collinear
gene:TraesCS4B02G003400	Chr4B	1981182	1985634	-	1983408	Chr4B	2968692	2973144	-	2970918	1.0	1.0	collinear
gene:TraesCS4B02G003500	Chr4B	2035618	2039760	-	2037689	Chr4B	3022862	3027004	-	3024933	1.0	1.0	collinear
gene:TraesCS4B02G003600	Chr4B	2148325	2150431	+	2149378	Chr4B	3240099	3242205	+	3241152	1.0	1.0	collinear
gene:TraesCS4B02G003700	Chr4B	2335092	2336432	-	2335762	Chr4B	3424869	3426209	-	3425539	1.0	1.0	collinear
gene:TraesCS4B02G003800	Chr4B	2379393	2380168	-	2379780	Chr4B	3467794	3468569	-	3468181	1.0	1.0	collinear
