gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	SY_Mattis_tgt_strand	SY_Mattis_tgt_midpoint	SY_Mattis_coverage	SY_Mattis_identity	segment
gene:TraesCS7A02G000100	Chr7A	238043	241215	+	239629	Chr7A	237313	240485	+	238899	1.0	1.0	collinear
gene:TraesCS7A02G000200	Chr7A	242359	246258	-	244308	Chr7A	241629	245526	-	243577	1.0	1.0	collinear
gene:TraesCS7A02G000300	Chr7A	250565	253987	+	252276	Chr7A	249830	253252	+	251541	1.0	0.999	collinear
gene:TraesCS7A02G000400	Chr7A	289316	290626	+	289971	Chr7A	287359	288672	+	288015	1.0	1.0	collinear
gene:TraesCS7A02G000600	Chr7A	331413	332217	+	331815	Chr7A	328803	329607	+	329205	1.0	1.0	collinear
gene:TraesCS7A02G000700	Chr7A	342962	346248	-	344605	Chr7A	339693	342979	-	341336	1.0	1.0	collinear
gene:TraesCS7A02G000800	Chr7A	463692	465671	-	464681	Chr7A	458390	460369	-	459379	1.0	1.0	collinear
gene:TraesCS7A02G000900	Chr7A	631804	635718	+	633761	Chr7A	634018	637931	+	635974	1.0	0.999	collinear
gene:TraesCS7A02G000936	Chr7A	643174	655611	-	649392	Chr7A	645386	657823	-	651604	1.0	0.999	collinear
gene:TraesCS7A02G001000	Chr7A	665160	680522	-	672841	Chr7A	667372	680498	-	673935	1.0	1.0	collinear
gene:TraesCS7A02G001100	Chr7A	760723	764116	-	762419	Chr7A	760305	763698	-	762001	1.0	1.0	collinear
gene:TraesCS7A02G001121	Chr7A	785611	786054	-	785832	Chr7A	785125	785568	-	785346	1.0	1.0	collinear
gene:TraesCS7A02G001200	Chr7A	976470	983181	+	979825	Chr7A	973637	980348	+	976992	1.0	1.0	collinear
gene:TraesCS7A02G001300	Chr7A	1128397	1129068	+	1128732	Chr7A	1125094	1125765	+	1125429	1.0	1.0	collinear
gene:TraesCS7A02G001400	Chr7A	1180399	1182394	+	1181396	Chr7A	1163991	1165986	+	1164988	1.0	0.999	collinear
gene:TraesCS7A02G001500	Chr7A	1273203	1274422	+	1273812	Chr7A	1263129	1264348	+	1263738	1.0	1.0	collinear
gene:TraesCS7A02G001600	Chr7A	1277396	1277831	-	1277613	Chr7A	1267322	1267757	-	1267539	1.0	1.0	collinear
gene:TraesCS7A02G001700	Chr7A	1280349	1295461	-	1287905	Chr7A	1270275	1285294	-	1277784	1.0	0.999	collinear
gene:TraesCS7A02G001800	Chr7A	1316001	1316821	-	1316411	Chr7A	1305282	1306102	-	1305692	1.0	1.0	collinear
gene:TraesCS7A02G001900	Chr7A	1320275	1322055	-	1321165	Chr7A	1309556	1311336	-	1310446	1.0	1.0	collinear
gene:TraesCS7A02G002600	Chr7A	1521562	1524436	+	1522999	Chr7A	1365648	1368522	+	1367085	1.0	1.0	collinear
gene:TraesCS7A02G002700	Chr7A	1690697	1692368	+	1691532	Chr7A	1540940	1542611	+	1541775	1.0	1.0	collinear
gene:TraesCS7A02G002800	Chr7A	1695250	1700497	+	1697873	Chr7A	1545493	1550636	+	1548064	1.0	0.996	collinear
gene:TraesCS7A02G003000	Chr7A	1712778	1718449	+	1715613	Chr7A	1555035	1560608	+	1557821	0.984	0.975	collinear
gene:TraesCS7A02G003100	Chr7A	1718979	1724204	-	1721591	Chr7A	1561138	1566384	-	1563761	1.0	0.995	collinear
gene:TraesCS7A02G003200	Chr7A	1742688	1748575	-	1745631	Chr7A	1583855	1589850	-	1586852	1.0	0.994	collinear
gene:TraesCS7A02G003300	Chr7A	1780541	1782994	-	1781767	Chr7A	1708235	1710688	-	1709461	1.0	1.0	collinear
gene:TraesCS7A02G003500	Chr7A	1841972	1847563	-	1844767	Chr7A	1728829	1734420	-	1731624	0.999	0.992	collinear
gene:TraesCS7A02G003700	Chr7A	1856666	1859059	+	1857862	Chr7A	1740913	1743235	+	1742074	0.999	0.932	collinear
gene:TraesCS7A02G003800	Chr7A	1859674	1863710	-	1861692	Chr7A	1743853	1747882	-	1745867	0.992	0.985	collinear
gene:TraesCS7A02G004400	Chr7A	2551358	2554208	-	2552783	Chr7A	2300769	2303759	+	2302264	0.995	0.92	collinear
gene:TraesCS7A02G004900	Chr7A	2673772	2678182	+	2675977	Chr7A	2460568	2464880	+	2462724	0.957	0.939	collinear
gene:TraesCS7A02G007500	Chr7A	3411625	3416122	+	3413873	Chr7A	2491293	2495777	-	2493535	0.987	0.933	collinear
gene:TraesCS7A02G007882	Chr7A	3570736	3573905	-	3572320	Chr7A	2237894	2241065	-	2239479	1.0	0.997	collinear
gene:TraesCS7A02G007900	Chr7A	3580873	3585505	+	3583189	Chr7A	2248274	2252900	+	2250587	0.976	0.951	collinear
gene:TraesCS7A02G008400	Chr7A	3803493	3807856	-	3805674	Chr7A	2886023	2890037	-	2888030	0.947	0.947	collinear
gene:TraesCS7A02G008500	Chr7A	3839735	3844561	-	3842148	Chr7A	2921833	2926659	-	2924246	1.0	1.0	collinear
gene:TraesCS7A02G008600	Chr7A	3845648	3850869	-	3848258	Chr7A	2927746	2932971	-	2930358	1.0	0.998	collinear
gene:TraesCS7A02G008700	Chr7A	3851015	3853082	+	3852048	Chr7A	2933117	2935184	+	2934150	1.0	1.0	collinear
gene:TraesCS7A02G008800	Chr7A	3858931	3862202	-	3860566	Chr7A	2940954	2944225	-	2942589	1.0	0.999	collinear
gene:TraesCS7A02G008900	Chr7A	3906483	3911596	-	3909039	Chr7A	2988311	2993438	-	2990874	1.0	0.991	collinear
gene:TraesCS7A02G009100	Chr7A	3982822	3986635	-	3984728	Chr7A	3054280	3058095	-	3056187	1.0	0.972	collinear
gene:TraesCS7A02G009200	Chr7A	4014507	4017160	-	4015833	Chr7A	3108745	3111402	-	3110073	1.0	0.985	collinear
gene:TraesCS7A02G009300	Chr7A	4020726	4021894	+	4021310	Chr7A	3114917	3116086	+	3115501	1.0	0.985	collinear
gene:TraesCS7A02G009400	Chr7A	4067455	4072522	-	4069988	Chr7A	3161795	3167318	-	3164556	1.0	0.993	collinear
gene:TraesCS7A02G009500	Chr7A	4206019	4209108	-	4207563	Chr7A	3274751	3277799	-	3276275	0.998	0.991	collinear
gene:TraesCS7A02G009600	Chr7A	4251676	4255084	-	4253380	Chr7A	3295194	3298582	-	3296888	0.999	0.985	collinear
gene:TraesCS7A02G009700	Chr7A	4327689	4330356	-	4329022	Chr7A	3347153	3349802	-	3348477	1.0	0.98	collinear
gene:TraesCS7A02G009800	Chr7A	4429532	4435570	-	4432551	Chr7A	3404297	3408222	-	3406259	0.971	0.966	collinear
gene:TraesCS7A02G009900	Chr7A	4472189	4483221	-	4477705	Chr7A	3439220	3448913	-	3444066	0.984	0.982	collinear
gene:TraesCS7A02G010000	Chr7A	4528469	4531271	-	4529870	Chr7A	3523986	3534720	-	3529353	1.0	0.996	collinear
gene:TraesCS7A02G010100	Chr7A	4555704	4559858	-	4557781	Chr7A	3559180	3563418	-	3561299	1.0	0.997	collinear
gene:TraesCS7A02G010200	Chr7A	4625252	4629547	+	4627399	Chr7A	3609738	3613975	+	3611856	0.977	0.968	collinear
gene:TraesCS7A02G010300	Chr7A	4685333	4687935	-	4686634	Chr7A	3677387	3679906	-	3678646	0.958	0.955	collinear
gene:TraesCS7A02G010400	Chr7A	4742410	4745345	+	4743877	Chr7A	3745992	3748696	+	3747344	0.914	0.91	collinear
gene:TraesCS7A02G010800	Chr7A	4891028	4897792	+	4894410	Chr7A	4107408	4113934	+	4110671	0.926	0.9	collinear
gene:TraesCS7A02G012100	Chr7A	5351283	5354030	-	5352656	Chr7A	4262991	4265738	-	4264364	1.0	0.994	collinear
gene:TraesCS7A02G012200	Chr7A	5361951	5364742	+	5363346	Chr7A	4273648	4276434	+	4275041	0.997	0.996	collinear
gene:TraesCS7A02G012300	Chr7A	5365931	5367761	-	5366846	Chr7A	4277668	4279498	-	4278583	1.0	0.999	collinear
gene:TraesCS7A02G012400	Chr7A	5419326	5421181	+	5420253	Chr7A	4392795	4394644	-	4393719	1.0	0.918	collinear
gene:TraesCS7A02G012800	Chr7A	5614038	5616410	-	5615224	Chr7A	4036923	4039582	+	4038252	1.0	0.909	collinear
gene:TraesCS7A02G013532	Chr7A	6165203	6169759	+	6167481	Chr7A	4433347	4437899	+	4435623	0.998	0.967	collinear
gene:TraesCS7A02G013600	Chr7A	6276854	6277858	+	6277356	Chr7A	4458683	4459687	+	4459185	1.0	0.982	collinear
gene:TraesCS7A02G013800	Chr7A	6302330	6305228	-	6303779	Chr7A	4564525	4567420	-	4565972	1.0	0.977	collinear
gene:TraesCS7A02G014000	Chr7A	6325342	6328861	-	6327101	Chr7A	4581493	4584982	-	4583237	1.0	0.995	collinear
gene:TraesCS7A02G014100	Chr7A	6330481	6333318	+	6331899	Chr7A	4586602	4589448	+	4588025	1.0	0.997	collinear
gene:TraesCS7A02G014200	Chr7A	6334277	6338101	-	6336189	Chr7A	4590406	4594229	-	4592317	0.997	0.989	collinear
gene:TraesCS7A02G014600	Chr7A	6495347	6500530	-	6497938	Chr7A	4709090	4714251	-	4711670	0.994	0.987	collinear
gene:TraesCS7A02G014700	Chr7A	6503047	6509696	+	6506371	Chr7A	4715392	4721729	+	4718560	0.996	0.952	collinear
gene:TraesCS7A02G015000	Chr7A	6535850	6544814	-	6540332	Chr7A	4783162	4792270	-	4787716	0.993	0.979	collinear
gene:TraesCS7A02G015100	Chr7A	6595334	6598800	+	6597067	Chr7A	4855773	4859225	+	4857499	0.996	0.964	collinear
gene:TraesCS7A02G015900	Chr7A	6802504	6803997	+	6803250	Chr7A	4910040	4911545	+	4910792	0.997	0.968	collinear
gene:TraesCS7A02G016000	Chr7A	6845713	6849482	-	6847597	Chr7A	4926057	4929660	-	4927858	1.0	0.989	collinear
gene:TraesCS7A02G016100	Chr7A	6863811	6867372	+	6865591	Chr7A	5062711	5066255	+	5064483	0.993	0.982	collinear
gene:TraesCS7A02G016200	Chr7A	6882679	6884497	+	6883588	Chr7A	5079227	5081034	+	5080130	0.993	0.96	collinear
gene:TraesCS7A02G017400	Chr7A	7583834	7586155	-	7584994	Chr7A	5880682	5883003	-	5881842	1.0	0.997	collinear
gene:TraesCS7A02G017500	Chr7A	7586504	7592996	-	7589750	Chr7A	5883356	5889845	-	5886600	0.998	0.993	collinear
gene:TraesCS7A02G017600	Chr7A	7593222	7597690	+	7595456	Chr7A	5890081	5894536	+	5892308	0.975	0.954	collinear
gene:TraesCS7A02G017700	Chr7A	7598040	7600527	+	7599283	Chr7A	5894885	5897371	+	5896128	0.999	0.997	collinear
gene:TraesCS7A02G017800	Chr7A	7628704	7630503	+	7629603	Chr7A	5933963	5935762	+	5934862	1.0	0.997	collinear
gene:TraesCS7A02G017900	Chr7A	7634073	7635412	+	7634742	Chr7A	5939304	5940630	+	5939967	0.974	0.922	collinear
gene:TraesCS7A02G018100	Chr7A	7702333	7704085	+	7703209	Chr7A	6022561	6024312	+	6023436	0.998	0.98	collinear
gene:TraesCS7A02G018200	Chr7A	7727287	7730698	-	7728992	Chr7A	6053267	6056729	-	6054998	0.987	0.978	collinear
