gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS7D02G000100	Chr7D	207994	212443	-	210218	Chr7D	1761525	1765974	+	1763749	1.0	1.0	collinear
gene:TraesCS7D02G000200	Chr7D	242065	245782	+	243923	Chr7D	1728183	1731900	-	1730041	1.0	1.0	collinear
gene:TraesCS7D02G000300	Chr7D	337014	337852	+	337433	Chr7D	1635944	1636782	-	1636363	1.0	1.0	collinear
gene:TraesCS7D02G000400	Chr7D	365927	369790	-	367858	Chr7D	1604381	1608245	+	1606313	1.0	0.995	collinear
gene:TraesCS7D02G000500	Chr7D	371892	373182	-	372537	Chr7D	1600989	1602279	+	1601634	1.0	1.0	collinear
gene:TraesCS7D02G000600	Chr7D	478788	482688	-	480738	Chr7D	1492128	1496028	+	1494078	1.0	1.0	collinear
gene:TraesCS7D02G000700	Chr7D	708561	711512	-	710036	Chr7D	1262480	1265430	+	1263955	1.0	1.0	collinear
gene:TraesCS7D02G000800	Chr7D	981342	987541	-	984441	Chr7D	970377	976576	+	973476	1.0	1.0	collinear
gene:TraesCS7D02G000900	Chr7D	1014669	1018126	-	1016397	Chr7D	939628	943085	+	941356	1.0	1.0	collinear
gene:TraesCS7D02G001000	Chr7D	1076583	1077770	-	1077176	Chr7D	880791	881978	+	881384	1.0	1.0	collinear
gene:TraesCS7D02G001100	Chr7D	1088627	1091627	-	1090127	Chr7D	867104	870080	+	868592	0.992	0.99	collinear
gene:TraesCS7D02G001200	Chr7D	1125501	1138472	-	1131986	Chr7D	818751	833351	+	826051	1.0	1.0	collinear
gene:TraesCS7D02G001300	Chr7D	1185845	1187461	-	1186653	Chr7D	770683	772299	+	771491	1.0	1.0	collinear
gene:TraesCS7D02G001400	Chr7D	1257398	1258902	-	1258150	Chr7D	700035	701539	+	700787	1.0	1.0	collinear
gene:TraesCS7D02G001500	Chr7D	1259904	1265300	-	1262602	Chr7D	694010	699033	+	696521	1.0	1.0	collinear
gene:TraesCS7D02G001600	Chr7D	1307798	1322611	+	1315204	Chr7D	637679	651495	-	644587	1.0	1.0	collinear
gene:TraesCS7D02G001700	Chr7D	1325206	1326414	+	1325810	Chr7D	633876	635084	-	634480	1.0	1.0	collinear
gene:TraesCS7D02G001800	Chr7D	1357522	1362976	+	1360249	Chr7D	597453	602949	-	600201	1.0	1.0	collinear
gene:TraesCS7D02G001900	Chr7D	1414178	1419505	-	1416841	Chr7D	541329	547895	+	544612	1.0	1.0	collinear
gene:TraesCS7D02G002000	Chr7D	1464750	1466388	+	1465569	Chr7D	405520	407158	-	406339	1.0	1.0	collinear
gene:TraesCS7D02G002100	Chr7D	1519335	1520528	-	1519931	Chr7D	351433	352626	+	352029	1.0	1.0	collinear
gene:TraesCS7D02G002200	Chr7D	1526751	1528100	-	1527425	Chr7D	343861	345210	+	344535	1.0	1.0	collinear
gene:TraesCS7D02G002300	Chr7D	1534747	1535478	-	1535112	Chr7D	336448	337179	+	336813	1.0	1.0	collinear
gene:TraesCS7D02G002400	Chr7D	1545803	1551340	-	1548571	Chr7D	320795	326317	+	323556	0.992	0.992	collinear
gene:TraesCS7D02G002500	Chr7D	1570744	1572074	+	1571409	Chr7D	300217	301547	-	300882	1.0	1.0	collinear
gene:TraesCS7D02G002600	Chr7D	1704704	1711943	+	1708323	Chr7D	164492	171725	-	168108	1.0	1.0	collinear
gene:TraesCS7D02G002700	Chr7D	1751649	1754214	-	1752931	Chr7D	122422	124987	+	123704	1.0	0.999	collinear
gene:TraesCS7D02G002900	Chr7D	1936973	1942310	+	1939641	Chr7D	2200602	2205939	+	2203270	1.0	1.0	collinear
gene:TraesCS7D02G003000	Chr7D	1959040	1964911	+	1961975	Chr7D	2222312	2228183	+	2225247	1.0	1.0	collinear
gene:TraesCS7D02G003100	Chr7D	1965031	1970237	-	1967634	Chr7D	2228303	2233509	-	2230906	1.0	1.0	collinear
gene:TraesCS7D02G003200	Chr7D	1973142	1981328	+	1977235	Chr7D	2236414	2244600	+	2240507	1.0	0.999	collinear
gene:TraesCS7D02G003300	Chr7D	1986645	1992835	-	1989740	Chr7D	2249917	2256115	-	2253016	1.0	1.0	collinear
gene:TraesCS7D02G003400	Chr7D	1998582	1999994	-	1999288	Chr7D	2261774	2263186	-	2262480	1.0	1.0	collinear
gene:TraesCS7D02G003500	Chr7D	2036060	2038960	-	2037510	Chr7D	2299036	2301936	-	2300486	1.0	1.0	collinear
gene:TraesCS7D02G003600	Chr7D	2047752	2049425	-	2048588	Chr7D	2310523	2312196	-	2311359	1.0	1.0	collinear
