cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr4A	82701	52611541	Chr4A	516360	52806682	561	0.99648128342246
Chr4A	57165163	63549177	Chr4A	57515823	63965588	58	0.9946551724137931
Chr4A	69832858	76424103	Chr4A	69822051	76390542	47	0.9943191489361701
Chr4A	81276884	130504034	Chr4A	81648709	130505837	279	0.9950967741935484
Chr4A	132701921	192628546	Chr4A	132558735	192098183	258	0.9986976744186046
Chr4A	195391805	220022826	Chr4A	194842300	219360874	43	0.9998837209302327
Chr4A	222107768	222562036	Chr4A	221461591	221913542	3	1.0
Chr4A	225313869	227091476	Chr4A	224533614	226289264	4	1.0
Chr4A	229493172	242884659	Chr4A	228700138	242028958	21	0.999952380952381
Chr4A	329170186	334268011	Chr4A	329647614	334858712	6	0.9994999999999999
Chr4A	338745706	350244063	Chr4A	339286518	350652832	23	0.9997826086956522
Chr4A	352270324	353874280	Chr4A	352775488	354370917	4	0.99975
Chr4A	356554191	359638234	Chr4A	356981600	360030832	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	362477093	366004491	5	0.9997999999999999
Chr4A	373805571	387104269	Chr4A	374112883	387321776	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	389438734	391064259	3	1.0
Chr4A	395027325	398506001	Chr4A	395161895	398608009	6	0.9998333333333335
Chr4A	400757887	401303656	Chr4A	400858367	401412459	3	0.999
Chr4A	407610912	420517232	Chr4A	407657640	420555396	17	0.9988823529411763
Chr4A	422761993	508494353	Chr4A	422785833	508109143	413	0.9982978208232446
Chr4A	510639254	641610833	Chr4A	510226283	640834939	1473	0.9972023082145282
Chr4A	661969797	668337297	Chr4A	658643612	665609539	80	0.9985875
Chr4A	686530004	728352260	Chr4A	684747028	730249941	365	0.9904328767123287
Chr4A	732512167	744537908	Chr4A	730949654	743034045	145	0.9901586206896552
