cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr3D	111986	7605347	Chr3D	230302	10411341	89	0.9396966292134831
Chr3D	10347994	33389752	Chr3D	11972222	33834471	220	0.9729045454545454
Chr3D	35935134	116955327	Chr3D	34537715	114755630	712	0.9955800561797754
Chr3D	119094314	145655212	Chr3D	116874916	143391457	160	0.9996
Chr3D	147725835	194192900	Chr3D	145346601	191642691	261	0.9995747126436783
Chr3D	197544325	200969144	Chr3D	194963758	198384999	5	0.9998000000000001
Chr3D	203187169	203224239	Chr3D	200791032	200827089	4	1.0
Chr3D	207531742	214535149	Chr3D	205083849	212043416	11	0.9990000000000001
Chr3D	216957444	220088873	Chr3D	214456500	217543101	6	1.0
Chr3D	226016244	232933791	Chr3D	223616488	230527788	13	0.9946153846153846
Chr3D	235055553	258632836	Chr3D	232640074	256114265	42	0.9995952380952382
Chr3D	260879965	492833467	Chr3D	258358372	489036918	1665	0.9990534534534534
Chr3D	495347019	618485109	Chr3D	491543421	610246177	1568	0.9981141581632654
