gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	7683739	7689704	-	7686721	0.995	0.992	collinear
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	7682074	7683547	-	7682810	0.969	0.963	collinear
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	7673648	7674638	-	7674143	1.0	0.991	collinear
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	6854181	6855974	-	6855077	1.0	0.997	collinear
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	6584967	6588179	+	6586573	1.0	0.999	collinear
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	6450306	6450671	+	6450488	1.0	0.972	collinear
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	6395935	6396417	-	6396176	1.0	0.997	collinear
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	6363356	6371800	-	6367578	0.994	0.993	collinear
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	6349218	6349564	-	6349391	1.0	1.0	collinear
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	40320	40499	+	40409	1.0	1.0	collinear
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	86381	87370	-	86875	1.0	1.0	collinear
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	485780	487284	-	486532	1.0	1.0	collinear
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	557089	558285	-	557687	1.0	1.0	collinear
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	668090	673019	-	670554	1.0	1.0	collinear
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	803011	807260	-	805135	1.0	0.999	collinear
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	824277	828499	+	826388	1.0	1.0	collinear
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	829506	834499	+	832002	1.0	1.0	collinear
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	841337	847139	-	844238	1.0	1.0	collinear
