cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr5B	186034621	192775085	Chr5B	172332844	179070131	13	0.9974615384615384
Chr5B	211641956	221447719	Chr5B	195451411	205217507	42	0.9987857142857144
Chr5B	18593	105009711	Chr5B	801777	108732696	757	0.9961294583883752
Chr5B	107203883	150623157	Chr5B	108848189	151898771	237	0.9973755274261604
Chr5B	153027140	156551532	Chr5B	154079621	157684282	8	0.998875
Chr5B	158568371	169148558	Chr5B	159569323	171533747	18	0.9971111111111112
Chr5B	178978447	184749689	Chr5B	180352166	186645840	9	0.9956666666666665
Chr5B	193712534	194129805	Chr5B	193720080	194147301	3	0.9986666666666667
Chr5B	206148489	211468188	Chr5B	205383994	210720673	11	0.9984545454545457
Chr5B	222313523	239465934	Chr5B	219810145	236963536	70	0.9963285714285713
Chr5B	241488361	344742710	Chr5B	238768278	341053681	573	0.9975392670157066
Chr5B	346985936	386215007	Chr5B	343270456	382504331	214	0.996948598130841
Chr5B	389314561	415604247	Chr5B	382784079	408730870	199	0.9968844221105527
Chr5B	417734794	714671459	Chr5B	409179105	702296197	3023	0.9946109824677473
