cs_chr	Renan_v2_tgt_chr	n_anchors	Renan_v2_mean_anchor_gap_Mb	Renan_v2_interp_type	n_segments	Renan_v2_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	3741	0.449	linear+linear	2	0.848
Chr1B	Chr1B+Chr1B+Chr1B	3932	0.177	linear+linear+linear	3	0.859
Chr1D	Chr1D	3947	0.126	linear	1	0.88
Chr2A	Chr2A+Chr2A+Chr2A	4778	0.641	linear+linear+pchip_inverted	3	0.853
Chr2B	Chr2B+Chr2B	5127	0.099	linear+linear	2	0.856
Chr2D	Chr2D+Chr2D+Chr2D+Chr2D	4760	0.071	linear+linear+linear+linear	4	0.851
Chr3A	Chr3A+Chr3A+Chr3A	4694	1.336	linear+linear+linear	3	0.899
Chr3B	Chr3B+Chr3B	5082	0.54	linear+linear	2	0.862
Chr3D	Chr3D	4862	0.127	linear	1	0.911
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4205	0.32	linear+pchip_inverted+linear+linear+linear+linear	6	0.883
Chr4B	Chr4B	3315	0.203	linear	1	0.728
Chr4D	Chr4D	3262	0.158	linear	1	0.909
Chr5A	Chr5A+Chr5A+Chr5A	4923	0.204	linear+linear+linear	3	0.895
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	4834	0.245	linear+linear+linear+linear+linear+linear	6	0.866
Chr5D	Chr5D	5054	0.113	linear	1	0.906
Chr6A	Chr6A	3498	0.178	linear	1	0.872
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3842	0.323	linear+linear+linear+pchip_inverted+pchip_inverted+linear+linear	7	0.832
Chr6D	Chr6D	3526	0.14	linear	1	0.89
Chr7A	Chr7A+Chr7A+Chr7A	4718	0.144	linear+pchip_inverted+pchip_inverted	3	0.879
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4025	0.535	linear+linear+linear+linear+linear+linear+linear	7	0.849
Chr7D	Chr7D+Chr7D	4684	0.094	linear+linear	2	0.872
