cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr6D	1761179	164765103	Chr6D	459	190290427	1602	0.9989868913857678
Chr6D	166779487	169629333	Chr6D	192272910	195108368	15	0.9999333333333333
Chr6D	181704846	214550301	Chr6D	196637121	228491576	45	0.9997555555555556
Chr6D	216846232	227401287	Chr6D	229973706	240469811	15	0.9988666666666667
Chr6D	232122220	239805311	Chr6D	245172328	252803103	12	0.9940000000000001
Chr6D	242219199	277266767	Chr6D	255197512	290520666	135	0.9984296296296297
Chr6D	299900566	346074522	Chr6D	291018779	336917789	309	0.9997831715210356
Chr6D	352354060	355242742	Chr6D	336999728	339865038	27	0.9995555555555555
Chr6D	387882988	415028218	Chr6D	340021723	367106969	258	0.9994108527131781
Chr6D	417690848	436374034	Chr6D	369765547	392258426	267	0.999367041198502
Chr6D	439797003	473516145	Chr6D	394043735	430649528	619	0.9954248788368338
