gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	1013287	1014931	+	1014109	0.997	0.903
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	267164	268328	-	267746	0.986	0.967
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	261034	264309	+	262671	0.961	0.92
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	255547	259650	+	257598	0.996	0.994
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	176772	183885	-	180328	0.989	0.972
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	171957	173847	-	172902	1.0	0.986
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	166027	166915	+	166471	1.0	0.994
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	142175	155092	+	148633	1.0	0.989
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	37800	40180	-	38990	1.0	0.999
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	34162	37018	+	35590	0.992	0.983
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	29656	32781	+	31218	1.0	0.996
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	19767	26008	+	22887	0.993	0.991
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	1471919	1475029	-	1473474	0.998	0.977
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	1330871	1342371	+	1336621	0.992	0.969
gene:TraesCS1B03G0011200	Chr1B	3399421	3412856	+	3406138	Chr1B	867587	880697	-	874142	0.996	0.99
gene:TraesCS1B03G0012000	Chr1B	3468064	3472241	+	3470152	Chr1B	807514	811763	-	809638	1.0	1.0
gene:TraesCS1B03G0012400	Chr1B	3758383	3758664	-	3758523	Chr1B	1490733	1491014	-	1490873	1.0	1.0
gene:TraesCS1B03G0012500	Chr1B	3769497	3771294	-	3770395	Chr1B	1501847	1503644	-	1502745	1.0	1.0
gene:TraesCS1B03G0012600	Chr1B	3850544	3853244	+	3851894	Chr1B	1583588	1586293	+	1584940	1.0	1.0
gene:TraesCS1B03G0013100	Chr1B	4073976	4076964	+	4075470	Chr1B	1809358	1812346	+	1810852	1.0	0.992
gene:TraesCS1B03G0013400	Chr1B	4086402	4088303	+	4087352	Chr1B	1821585	1823486	+	1822535	1.0	0.999
gene:TraesCS1B03G0013500	Chr1B	4098786	4101519	+	4100152	Chr1B	1833973	1836706	+	1835339	1.0	0.999
gene:TraesCS1B03G0013600	Chr1B	4115135	4122936	+	4119035	Chr1B	1852707	1860508	+	1856607	1.0	1.0
gene:TraesCS1B03G0013700	Chr1B	4127051	4129028	+	4128039	Chr1B	1864623	1866600	+	1865611	1.0	1.0
gene:TraesCS1B03G0013800	Chr1B	4133585	4137066	+	4135325	Chr1B	1871535	1875016	+	1873275	1.0	1.0
gene:TraesCS1B03G0013900	Chr1B	4138167	4140263	-	4139215	Chr1B	1876117	1878213	-	1877165	1.0	1.0
gene:TraesCS1B03G0014000	Chr1B	4143564	4145402	+	4144483	Chr1B	1881514	1883352	+	1882433	1.0	1.0
gene:TraesCS1B03G0014100	Chr1B	4155606	4159084	+	4157345	Chr1B	1893567	1897045	+	1895306	1.0	1.0
gene:TraesCS1B03G0014300	Chr1B	4243347	4262131	+	4252739	Chr1B	1981931	2000990	+	1991460	1.0	1.0
gene:TraesCS1B03G0014400	Chr1B	4273438	4279469	+	4276453	Chr1B	2012307	2018338	+	2015322	1.0	1.0
gene:TraesCS1B03G0014700	Chr1B	4286188	4287595	+	4286891	Chr1B	2025055	2026462	+	2025758	1.0	1.0
gene:TraesCS1B03G0014800	Chr1B	4297718	4300858	+	4299288	Chr1B	2036727	2039867	+	2038297	1.0	1.0
gene:TraesCS1B03G0015000	Chr1B	4331657	4334956	+	4333306	Chr1B	2071374	2074673	+	2073023	1.0	1.0
