cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr7B	34838	849113	Chr7B	8640616	9448545	21	0.996
Chr7B	6750309	8993722	Chr7B	381512	2677053	26	0.9956538461538462
Chr7B	155467825	169470795	Chr7B	169520495	182145630	69	0.9940289855072465
Chr7B	172575428	278933515	Chr7B	184932784	290774601	410	0.9985731707317073
Chr7B	281386105	293981562	Chr7B	293195389	307224020	20	0.99895
Chr7B	297390309	307364806	Chr7B	315125004	324986517	19	0.9998421052631581
Chr7B	312814982	340640628	Chr7B	158750876	352673738	97	0.9974536082474227
Chr7B	342994491	357646983	Chr7B	341864591	365365854	16	0.999625
Chr7B	1021120	6393401	Chr7B	3031761	8460634	70	0.9936714285714286
Chr7B	9751889	154814815	Chr7B	9897852	158172146	1092	0.9974642857142857
Chr7B	295082068	296338725	Chr7B	300362637	301300648	3	0.9996666666666667
Chr7B	310413787	312442469	Chr7B	312277313	314255366	5	0.9996
Chr7B	337929275	339223535	Chr7B	340150935	341360776	3	1.0
Chr7B	357994137	389109218	Chr7B	355752922	391027537	133	0.9990676691729321
Chr7B	391956637	405970176	Chr7B	393880275	407787765	52	0.9995384615384615
Chr7B	408568404	419042240	Chr7B	410353560	420901639	45	0.9998666666666667
Chr7B	421064524	541167218	Chr7B	422913608	542390532	765	0.9972980392156863
Chr7B	543188151	562991388	Chr7B	544385032	564002048	110	0.9989818181818182
Chr7B	565055644	736138668	Chr7B	566023778	737795031	1313	0.9940182787509518
Chr7B	738144856	745356617	Chr7B	739793359	746717647	54	0.979574074074074
Chr7B	749332248	750123563	Chr7B	747220440	748576033	13	0.9611538461538461
Chr7B	667070906	668031241	Chr7B	674051776	674988355	13	0.9996923076923078
Chr7B	741985958	742590334	Chr7B	749031829	749617690	16	0.997375
