gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	9569294	9570181	+	9569737	1.0	0.99
gene:TraesCS2B03G0012600	Chr2B	3595745	3613268	+	3604506	Chr2B	10424867	10442396	-	10433631	1.0	1.0
gene:TraesCS2B03G0012700	Chr2B	3630724	3631650	-	3631187	Chr2B	10406482	10407408	+	10406945	1.0	1.0
gene:TraesCS2B03G0012800	Chr2B	3632392	3635151	-	3633771	Chr2B	10402981	10405740	+	10404360	1.0	1.0
gene:TraesCS2B03G0012900	Chr2B	3685456	3686983	-	3686219	Chr2B	10351153	10352680	+	10351916	1.0	1.0
gene:TraesCS2B03G0013100	Chr2B	3855432	3862083	+	3858757	Chr2B	10176062	10182723	-	10179392	1.0	1.0
gene:TraesCS2B03G0013300	Chr2B	3877680	3878447	+	3878063	Chr2B	10159654	10160421	-	10160037	1.0	1.0
gene:TraesCS2B03G0013400	Chr2B	3880027	3880452	+	3880239	Chr2B	10157649	10158074	-	10157861	1.0	1.0
gene:TraesCS2B03G0013700	Chr2B	3956480	3957106	-	3956793	Chr2B	10080994	10081620	+	10081307	1.0	1.0
gene:TraesCS2B03G0013900	Chr2B	3959709	3961547	-	3960628	Chr2B	10076553	10078391	+	10077472	1.0	1.0
gene:TraesCS2B03G0014300	Chr2B	4031007	4035278	-	4033142	Chr2B	10002722	10006993	+	10004857	1.0	1.0
gene:TraesCS2B03G0014500	Chr2B	4057416	4065064	-	4061240	Chr2B	9972934	9980585	+	9976759	1.0	1.0
gene:TraesCS2B03G0015000	Chr2B	4111148	4113262	-	4112205	Chr2B	9924732	9926846	+	9925789	1.0	1.0
gene:TraesCS2B03G0015100	Chr2B	4116808	4124611	-	4120709	Chr2B	9913382	9921186	+	9917284	1.0	1.0
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	8931051	8932238	+	8931644	1.0	0.998
gene:TraesCS2B03G0015400	Chr2B	4921039	4925322	-	4923180	Chr2B	8927955	8932238	+	8930096	1.0	0.998
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	8634154	8637597	-	8635875	1.0	1.0
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	8620808	8622574	+	8621691	1.0	1.0
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	8619444	8619845	+	8619644	1.0	1.0
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	8611566	8613226	+	8612396	1.0	1.0
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	8588576	8590722	-	8589649	1.0	0.999
gene:TraesCS2B03G0016900	Chr2B	5071624	5076306	+	5073965	Chr2B	8572572	8577254	-	8574913	1.0	1.0
gene:TraesCS2B03G0017200	Chr2B	5133457	5135141	-	5134299	Chr2B	8513737	8515421	+	8514579	1.0	1.0
gene:TraesCS2B03G0017300	Chr2B	5224896	5229545	+	5227220	Chr2B	8419305	8423958	-	8421631	1.0	0.998
gene:TraesCS2B03G0017500	Chr2B	5236031	5237507	+	5236769	Chr2B	8411381	8412857	-	8412119	1.0	1.0
gene:TraesCS2B03G0017600	Chr2B	5295192	5296900	-	5296046	Chr2B	8352501	8354209	+	8353355	1.0	1.0
gene:TraesCS2B03G0017700	Chr2B	5393429	5393683	+	5393556	Chr2B	8255744	8255998	-	8255871	1.0	1.0
gene:TraesCS2B03G0018100	Chr2B	5448721	5450259	+	5449490	Chr2B	8199157	8200695	-	8199926	1.0	1.0
gene:TraesCS2B03G0018300	Chr2B	5465459	5467015	-	5466237	Chr2B	8182383	8183939	+	8183161	1.0	1.0
gene:TraesCS2B03G0018400	Chr2B	5488231	5490367	+	5489299	Chr2B	8159031	8161167	-	8160099	1.0	1.0
gene:TraesCS2B03G0018500	Chr2B	5500410	5504869	+	5502639	Chr2B	8144570	8149029	-	8146799	1.0	0.999
gene:TraesCS2B03G0018600	Chr2B	5525526	5527171	-	5526348	Chr2B	8122265	8123910	+	8123087	1.0	1.0
gene:TraesCS2B03G0018700	Chr2B	5530391	5532332	+	5531361	Chr2B	8117104	8119045	-	8118074	1.0	1.0
gene:TraesCS2B03G0018800	Chr2B	5613315	5614067	-	5613691	Chr2B	8035320	8036072	+	8035696	1.0	1.0
gene:TraesCS2B03G0018900	Chr2B	5619058	5620657	+	5619857	Chr2B	8028730	8030329	-	8029529	1.0	1.0
gene:TraesCS2B03G0019000	Chr2B	5640833	5641228	+	5641030	Chr2B	8008195	8008590	-	8008392	1.0	1.0
gene:TraesCS2B03G0019100	Chr2B	5644403	5648377	-	5646390	Chr2B	8001046	8005020	+	8003033	1.0	1.0
gene:TraesCS2B03G0019200	Chr2B	5654103	5657492	+	5655797	Chr2B	7991935	7995324	-	7993629	1.0	1.0
