cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr7B	343118388	344172727	Chr7B	353877291	354916915	5	1.0
Chr7B	352166805	361784297	Chr7B	344094931	353665741	11	0.9996363636363637
Chr7B	34602	183070778	Chr7B	40803	183248450	1347	0.9968864142538976
Chr7B	186156096	293144785	Chr7B	186033498	292246780	406	0.9986871921182265
Chr7B	295582888	308002245	Chr7B	294665727	308771543	20	0.9997
Chr7B	311571913	321770729	Chr7B	317156065	326949254	19	0.9998947368421053
Chr7B	327149605	342648507	Chr7B	327886077	343461965	33	0.9997878787878789
Chr7B	362128535	393308791	Chr7B	358124403	394317303	133	0.998842105263158
Chr7B	396179589	410599513	Chr7B	397167334	411180532	52	0.9998076923076924
Chr7B	413179671	423778078	Chr7B	413756982	424346088	45	0.999688888888889
Chr7B	425791676	545780843	Chr7B	426337078	547813699	770	0.9979831168831169
Chr7B	547795684	567561512	Chr7B	549809685	569526119	111	0.9990450450450451
Chr7B	569603774	754852458	Chr7B	571548321	759356973	1403	0.9933328581610834
Chr7B	761472082	763602391	Chr7B	759823874	762709100	22	0.962318181818182
Chr7B	673602826	674939210	Chr7B	681208628	682495859	13	0.9997692307692309
Chr7B	754942551	756980467	Chr7B	763211291	765613777	32	0.97928125
