gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity
gene:TraesCS5A03G0000400	Chr5A	215597	216821	+	216209	Chr5A	8241597	8242822	-	8242209	1.0	1.0
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	7844157	7850108	-	7847132	0.997	0.994
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	7842468	7843965	-	7843216	0.984	0.976
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	7833979	7834929	-	7834454	1.0	0.991
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	7339693	7341477	-	7340585	1.0	0.994
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	7083980	7087100	+	7085540	0.998	0.993
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	6800344	6800709	+	6800526	1.0	0.969
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	6719426	6719914	-	6719670	1.0	0.985
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	6694895	6703339	-	6699117	0.994	0.992
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	6674069	6674415	-	6674242	1.0	0.991
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	6561578	6561757	-	6561667	1.0	1.0
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	6515587	6516576	+	6516081	1.0	1.0
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	6111393	6112897	+	6112145	1.0	1.0
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	6040196	6041392	+	6040794	1.0	1.0
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	5786961	5791210	+	5789085	1.0	0.999
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	5765409	5769628	-	5767518	0.998	0.998
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	5759409	5764402	-	5761905	1.0	1.0
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	5746878	5752682	+	5749780	1.0	1.0
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	5696704	5699743	+	5698223	1.0	1.0
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	5472662	5474229	+	5473445	1.0	0.999
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	5467788	5468714	-	5468251	1.0	0.997
gene:TraesCS5A03G0006500	Chr5A	3315802	3317881	-	3316841	Chr5A	5463447	5465476	+	5464461	1.0	0.995
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	5459385	5463171	+	5461278	0.991	0.972
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	5456922	5457416	-	5457169	1.0	0.997
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	5451189	5453492	-	5452340	1.0	0.999
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	5446745	5448381	+	5447563	0.992	0.985
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	5406733	5408500	+	5407616	0.998	0.988
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	5364893	5369092	+	5366992	0.94	0.94
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	5286129	5287747	-	5286938	1.0	1.0
gene:TraesCS5A03G0008000	Chr5A	3769384	3773677	+	3771530	Chr5A	5148728	5153020	-	5150874	1.0	0.998
gene:TraesCS5A03G0008100	Chr5A	3774296	3777820	-	3776058	Chr5A	5144574	5148109	+	5146341	1.0	0.997
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	5119222	5125527	+	5122374	0.985	0.983
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	5007874	5011303	-	5009588	0.994	0.99
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	4905103	4912545	-	4908824	1.0	1.0
