gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity	segment
gene:TraesCS2A02G000100	Chr2A	249837	258387	+	254112	Chr2A	791357119	791365669	+	791361394	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G000200	Chr2A	258830	262973	-	260901	Chr2A	791366112	791370255	-	791368183	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G000300	Chr2A	272124	273067	-	272595	Chr2A	791379414	791380357	-	791379885	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G000400	Chr2A	278821	289215	+	284018	Chr2A	791386111	791396189	+	791391150	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G000500	Chr2A	326106	327106	-	326606	Chr2A	791433081	791434081	-	791433581	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G000600	Chr2A	389168	391345	+	390256	Chr2A	791495818	791497995	+	791496906	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G000700	Chr2A	396124	400932	-	398528	Chr2A	791502777	791507566	-	791505171	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G000800	Chr2A	473496	474573	-	474034	Chr2A	791578683	791579758	-	791579220	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G000900	Chr2A	500410	504019	+	502214	Chr2A	791605588	791609197	+	791607392	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001000	Chr2A	512885	516471	+	514678	Chr2A	791618041	791621627	+	791619834	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001100	Chr2A	525386	528729	+	527057	Chr2A	791630387	791633730	+	791632058	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001200	Chr2A	529346	533102	-	531224	Chr2A	791634347	791638099	-	791636223	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001300	Chr2A	533300	536209	+	534754	Chr2A	791638297	791641206	+	791639751	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001400	Chr2A	562911	565826	-	564368	Chr2A	791667619	791670534	-	791669076	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001500	Chr2A	580888	585420	-	583154	Chr2A	791685596	791690128	-	791687862	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001600	Chr2A	658359	660448	+	659403	Chr2A	791836627	791838716	+	791837671	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001700	Chr2A	662867	665222	+	664044	Chr2A	791841135	791843490	+	791842312	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001800	Chr2A	715377	716198	+	715787	Chr2A	791893074	791893895	+	791893484	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G001900	Chr2A	746916	747789	+	747352	Chr2A	791924916	791925789	+	791925352	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G002000	Chr2A	819919	820675	+	820297	Chr2A	791997916	791998672	+	791998294	1.0	0.996	rearrangement:Chr2A_block2
gene:TraesCS2A02G002100	Chr2A	1163741	1165344	-	1164542	Chr2A	792363604	792365207	-	792364405	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G002400	Chr2A	1364422	1365450	-	1364936	Chr2A	792558647	792559684	-	792559165	1.0	0.99	rearrangement:Chr2A_block2
gene:TraesCS2A02G002500	Chr2A	1370229	1381768	-	1375998	Chr2A	792564494	792576113	-	792570303	1.0	0.965	rearrangement:Chr2A_block2
gene:TraesCS2A02G002600	Chr2A	1608666	1609163	+	1608914	Chr2A	792943102	792943599	+	792943350	1.0	0.995	rearrangement:Chr2A_block2
gene:TraesCS2A02G002700	Chr2A	1685582	1687293	+	1686437	Chr2A	793080021	793081732	+	793080876	1.0	0.999	rearrangement:Chr2A_block2
gene:TraesCS2A02G002800	Chr2A	1776596	1778573	+	1777584	Chr2A	793170169	793172146	+	793171157	1.0	1.0	rearrangement:Chr2A_block2
