cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr6A	3704677	9284385	Chr6A	2565302	6704083	59	0.9761186440677964
Chr6A	12818581	165560133	Chr6A	8142540	163336433	1265	0.9940387351778656
Chr6A	169123596	174751019	Chr6A	166869415	172483531	30	0.9995666666666668
Chr6A	177010402	237636332	Chr6A	174742982	234803624	204	0.9989460784313726
Chr6A	243810148	244731119	Chr6A	240925114	241763068	3	0.9946666666666668
Chr6A	251103689	255370132	Chr6A	248032358	252246598	8	0.997375
Chr6A	257566273	264313435	Chr6A	254751403	262085104	21	0.994857142857143
Chr6A	266482395	275860435	Chr6A	264283545	273821216	22	0.998
Chr6A	278883582	290338890	Chr6A	277724747	288604400	15	0.9974666666666668
Chr6A	293863739	319731587	Chr6A	292517241	319453712	28	0.998
Chr6A	323819925	326827584	Chr6A	323585727	326564216	8	0.9975
Chr6A	328915123	332571498	Chr6A	328695608	332318616	6	0.9968333333333332
Chr6A	334687288	346665213	Chr6A	334360668	346633947	16	0.9978125
Chr6A	349035941	349057392	Chr6A	349035796	349060069	3	0.999
Chr6A	354380382	355885891	Chr6A	354423618	355897651	4	0.997
Chr6A	357954045	528672379	Chr6A	357912680	527728371	853	0.9986307151230952
Chr6A	531482801	622584375	Chr6A	527760803	621893702	1105	0.9933891402714934
