gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS4A02G059000	Chr4A	54106535	54110051	-	54108293	Chr4A	67249108	67252624	+	67250866	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G059100	Chr4A	54404601	54406169	-	54405385	Chr4A	66962237	66963805	+	66963021	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A02G059200	Chr4A	55377186	55380060	-	55378623	Chr4A	65963849	65966719	+	65965284	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059300	Chr4A	55389614	55398958	-	55394286	Chr4A	65944767	65952996	+	65948881	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A02G059400	Chr4A	55572600	55575346	+	55573973	Chr4A	65740170	65742916	-	65741543	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059500	Chr4A	55912521	55919370	+	55915945	Chr4A	65374722	65381570	-	65378146	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G059600	Chr4A	56143732	56145991	+	56144861	Chr4A	65161661	65163918	-	65162789	1.0	0.995	rearrangement:Chr4A_block1
gene:TraesCS4A02G059700	Chr4A	56251413	56254420	-	56252916	Chr4A	65045852	65048858	+	65047355	0.999	0.995	rearrangement:Chr4A_block1
gene:TraesCS4A02G059800	Chr4A	56260273	56262853	+	56261563	Chr4A	65037126	65039704	-	65038415	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059900	Chr4A	56266262	56271389	-	56268825	Chr4A	65028590	65033716	+	65031153	0.999	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G060000	Chr4A	56471847	56483645	-	56477746	Chr4A	64815792	64827397	+	64821594	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060100	Chr4A	56496985	56501161	-	56499073	Chr4A	64798453	64802638	+	64800545	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G060200	Chr4A	56501607	56506002	-	56503804	Chr4A	64793613	64798007	+	64795810	0.999	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060300	Chr4A	56509445	56511293	-	56510369	Chr4A	64788322	64790170	+	64789246	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G060400	Chr4A	57163130	57167196	+	57165163	Chr4A	64074573	64078639	-	64076606	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G060500	Chr4A	57407998	57410036	+	57409017	Chr4A	63840522	63842559	-	63841540	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060600	Chr4A	57434580	57435348	+	57434964	Chr4A	63815770	63816538	-	63816154	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G060700	Chr4A	57517094	57521065	+	57519079	Chr4A	63730402	63734374	-	63732388	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A02G060800	Chr4A	57812929	57815478	+	57814203	Chr4A	63427876	63430425	-	63429150	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G060900	Chr4A	58110287	58111967	-	58111127	Chr4A	63106413	63108093	+	63107253	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G061000	Chr4A	58112129	58115919	-	58114024	Chr4A	63102461	63106251	+	63104356	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G076800	Chr4A	75832041	75841630	+	75836835	Chr4A	70537973	70547558	-	70542765	1.0	0.999	rearrangement:Chr4A_block1
