gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity	segment
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	473367	478491	-	475929	1.0	1.0	collinear
gene:TraesCS5B03G0000800	Chr5B	85900	87414	-	86657	Chr5B	398932	400446	+	399689	1.0	1.0	collinear
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	271843	277630	-	274736	1.0	1.0	collinear
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	268157	271294	+	269725	1.0	0.999	collinear
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	7192377	7192700	+	7192538	1.0	1.0	collinear
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	901067	905590	-	903328	1.0	1.0	collinear
gene:TraesCS5B03G0001700	Chr5B	1104112	1106464	+	1105288	Chr5B	802748	805100	-	803924	1.0	1.0	collinear
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	796937	798790	+	797863	1.0	1.0	collinear
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	696775	699705	-	698240	1.0	1.0	collinear
gene:TraesCS5B03G0002100	Chr5B	1405738	1406672	+	1406205	Chr5B	491546	492480	-	492013	1.0	1.0	collinear
gene:TraesCS5B03G0002200	Chr5B	1420063	1425391	-	1422727	Chr5B	3424905	3430234	-	3427569	1.0	0.999	collinear
gene:TraesCS5B03G0002300	Chr5B	1427312	1431238	+	1429275	Chr5B	3432155	3436081	+	3434118	1.0	1.0	collinear
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	4086107	4086469	-	4086288	1.0	1.0	collinear
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	4087241	4087780	+	4087510	1.0	1.0	collinear
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	4223884	4229811	+	4226847	1.0	1.0	collinear
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	4273353	4274091	+	4273722	1.0	1.0	collinear
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	4278577	4291146	+	4284861	1.0	1.0	collinear
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	4664908	4666094	-	4665501	1.0	1.0	collinear
gene:TraesCS5B03G0003900	Chr5B	2728736	2729284	+	2729010	Chr5B	4691701	4692249	+	4691975	1.0	1.0	collinear
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	5680503	5682008	+	5681255	1.0	1.0	collinear
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	5602796	5604243	+	5603519	1.0	1.0	collinear
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	5413589	5415067	-	5414328	1.0	1.0	collinear
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	5381680	5385649	+	5383664	1.0	1.0	collinear
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	5371238	5375034	-	5373136	1.0	1.0	collinear
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	5359528	5364312	-	5361920	1.0	0.999	collinear
gene:TraesCS5B03G0004800	Chr5B	4221282	4227412	-	4224347	Chr5B	5846229	5849308	-	5847768	0.913	0.913	collinear
gene:TraesCS5B03G0005300	Chr5B	4269528	4272513	-	4271020	Chr5B	5895108	5898093	-	5896600	1.0	1.0	collinear
gene:TraesCS5B03G0005500	Chr5B	4505697	4508188	+	4506942	Chr5B	6451844	6454335	-	6453089	1.0	0.999	collinear
