cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr2B	10698	8565441	Chr2B	1277288	9677060	131	0.9947251908396947
Chr2B	11225645	123101136	Chr2B	9799275	126629004	1094	0.9930685557586837
Chr2B	129392470	202904971	Chr2B	127788248	201343554	559	0.9960447227191414
Chr2B	205644786	240314058	Chr2B	201473107	236394992	203	0.9972857142857143
Chr2B	242536523	270216010	Chr2B	238898211	271958963	127	0.9991653543307087
Chr2B	272550652	303097333	Chr2B	274164563	305198824	45	0.9989111111111111
Chr2B	305321036	318205778	Chr2B	307452610	320284932	15	0.9999333333333333
Chr2B	320343927	333044217	Chr2B	322416283	335089209	20	0.9999
Chr2B	335510269	342279112	Chr2B	337577056	344189749	9	1.0
Chr2B	346670378	348088579	Chr2B	347714140	351815898	3	1.0
Chr2B	361424474	374802272	Chr2B	366183319	379718955	52	0.9990192307692308
Chr2B	380259266	793530997	Chr2B	382210313	795457737	3062	0.9948242978445461
Chr2B	796348035	801220480	Chr2B	795758876	801877765	22	0.9559545454545456
