cs_chr	MOV_tgt_chr	n_anchors	MOV_mean_anchor_gap_Mb	MOV_interp_type	n_segments	MOV_mean_anchor_fraction
Chr1A	Chr1A	3849	0.155	linear	1	0.92
Chr1B	Chr1B	3609	0.193	linear	1	0.773
Chr1D	Chr1D	2980	0.163	linear	1	0.688
Chr2A	Chr2A	5047	0.156	linear	1	0.782
Chr2B	Chr2B	4646	0.173	linear	1	0.765
Chr2D	Chr2D	5078	0.128	linear	1	0.762
Chr3A	Chr3A	4698	0.161	linear	1	0.879
Chr3B	Chr3B	4558	0.187	linear	1	0.752
Chr3D	Chr3D	4253	0.143	linear	1	0.785
Chr4A	Chr4A	3759	0.199	linear	1	0.753
Chr4B	Chr4B	3103	0.217	linear	1	0.739
Chr4D	Chr4D	3159	0.163	linear	1	0.713
Chr5A	Chr5A	4957	0.143	linear	1	0.904
Chr5B	Chr5B	3886	0.184	linear	1	0.708
Chr5D	Chr5D	4719	0.12	linear	1	0.83
Chr6A	Chr6A	3308	0.188	linear	1	0.814
Chr6B	Chr6B	3099	0.236	linear	1	0.606
Chr6D	Chr6D	3309	0.149	linear	1	0.83
Chr7A	Chr7A	4516	0.165	linear	1	0.858
Chr7B	Chr7B	3934	0.194	linear	1	0.843
Chr7D	Chr7D	4732	0.136	pchip	1	0.765
