cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr1A	6422782	8343318	Chr1A	1489393	3368051	53	0.9990377358490568
Chr1A	14255279	15193469	Chr1A	10461471	11330222	18	0.9984444444444445
Chr1A	55218	6223963	Chr1A	34725	7406396	92	0.9959130434782608
Chr1A	8613957	159522669	Chr1A	7461405	159747146	1006	0.9958141153081511
Chr1A	161671479	177432536	Chr1A	161899468	177369009	29	0.9990000000000001
Chr1A	179530042	182122609	Chr1A	179436384	182018218	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	184814186	193339297	12	0.9998333333333335
Chr1A	200578799	202086777	Chr1A	200494942	201985836	5	0.9954000000000001
Chr1A	204319371	209358469	Chr1A	204198619	209183641	7	0.9995714285714286
Chr1A	212017564	410154980	Chr1A	211729602	412198603	916	0.9962008733624454
Chr1A	412459137	420515127	Chr1A	414571580	423011802	23	0.9965652173913043
Chr1A	423163477	566689222	Chr1A	424824649	567949744	1532	0.9958687989556136
Chr1A	571653810	576562079	Chr1A	572510204	577560395	94	0.9955531914893616
Chr1A	579836876	593997588	Chr1A	581483779	595034461	170	0.9880352941176471
Chr1A	567973445	571577995	Chr1A	577626295	581259145	48	0.9898958333333333
Chr1A	576612421	579680334	Chr1A	569273572	572459811	46	0.9993260869565218
