cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr2B	21238	8769595	Chr2B	2403408	11012000	149	0.9962147651006712
Chr2B	11180525	202920401	Chr2B	11138329	205910647	1666	0.9940894357743097
Chr2B	205644786	240314058	Chr2B	206009273	239530085	203	0.9930886699507391
Chr2B	242536523	270216010	Chr2B	241977997	274710385	128	0.9992343750000001
Chr2B	272550652	303097333	Chr2B	277053028	307588730	45	0.9997777777777779
Chr2B	305321036	318205778	Chr2B	309634942	322643451	16	0.9989375
Chr2B	320343927	333044217	Chr2B	324779858	337400719	21	0.999952380952381
Chr2B	335510269	342279112	Chr2B	339838912	346525314	9	0.9998888888888889
Chr2B	346670378	361286666	Chr2B	349897605	367116457	55	0.9992909090909091
Chr2B	367683323	374802272	Chr2B	367289846	374346934	38	0.9988684210526316
Chr2B	379832912	701490798	Chr2B	380737996	691504878	2055	0.9943557177615572
Chr2B	703623662	794077870	Chr2B	691932734	783429260	803	0.9801095890410959
Chr2B	796348035	801220480	Chr2B	778020468	785230378	24	0.951375
