gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	1567628	1568245	-	1567936	0.99	0.948	collinear
gene:TraesCS3D02G000500	Chr3D	390450	391973	-	391211	Chr3D	1526703	1528191	+	1527447	0.96	0.902	collinear
gene:TraesCS3D02G000800	Chr3D	494126	496511	+	495318	Chr3D	1437678	1439925	-	1438801	0.993	0.927	collinear
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	1216545	1218014	-	1217279	0.991	0.933	collinear
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	1198178	1202531	+	1200354	0.966	0.912	collinear
gene:TraesCS3D02G001800	Chr3D	853402	855095	+	854248	Chr3D	1090777	1092461	-	1091619	0.994	0.953	collinear
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	1080356	1085493	+	1082924	0.988	0.91	collinear
gene:TraesCS3D02G002000	Chr3D	925863	930264	-	928063	Chr3D	992129	996613	+	994371	0.97	0.92	collinear
gene:TraesCS3D02G002300	Chr3D	1109698	1110822	+	1110260	Chr3D	530133	531239	-	530686	1.0	0.955	collinear
gene:TraesCS3D02G010800	Chr3D	4010575	4011386	-	4010980	Chr3D	1903588	1904399	-	1903993	1.0	0.976	collinear
gene:TraesCS3D02G010900	Chr3D	4012104	4013109	+	4012606	Chr3D	1905116	1906122	+	1905619	0.998	0.962	collinear
gene:TraesCS3D02G011300	Chr3D	4072004	4075626	-	4073815	Chr3D	2005037	2008381	-	2006709	0.978	0.91	collinear
gene:TraesCS3D02G011500	Chr3D	4111863	4112845	+	4112354	Chr3D	2017166	2018146	+	2017656	1.0	0.96	collinear
gene:TraesCS3D02G011600	Chr3D	4134343	4135412	+	4134877	Chr3D	2238039	2239220	+	2238629	1.0	0.942	collinear
gene:TraesCS3D02G011800	Chr3D	4166848	4169864	-	4168356	Chr3D	2008148	2011311	+	2009729	0.997	0.906	collinear
gene:TraesCS3D02G012000	Chr3D	4179986	4182963	-	4181474	Chr3D	2263273	2266225	-	2264749	0.976	0.93	collinear
gene:TraesCS3D02G012100	Chr3D	4186858	4196619	+	4191738	Chr3D	2270264	2274509	+	2272386	1.0	0.961	collinear
