cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr5A	693435	60528080	Chr5A	3957443	67319160	536	0.996009328358209
Chr5A	63377052	151734470	Chr5A	70551496	158111798	404	0.9990816831683169
Chr5A	155555039	159534199	Chr5A	161963082	166097854	13	0.9998461538461539
Chr5A	161914114	180994113	Chr5A	168448675	187774072	37	0.9997027027027027
Chr5A	183430057	185651119	Chr5A	190189613	192389490	4	1.0
Chr5A	191038029	199222973	Chr5A	197702207	205816268	16	0.9986875
Chr5A	203479442	222599127	Chr5A	210075486	229223080	33	0.9999090909090909
Chr5A	224689467	237370335	Chr5A	231297571	244567637	28	0.9998928571428571
Chr5A	245959193	248536470	Chr5A	251189402	256859710	7	1.0
Chr5A	258775970	388640539	Chr5A	265828766	394796188	638	0.9991771159874608
Chr5A	393253490	398191503	Chr5A	399251932	404132015	47	0.9988723404255319
Chr5A	402540994	423746112	Chr5A	408554523	429551671	113	0.9969911504424779
Chr5A	426537435	709675600	Chr5A	431125825	717697879	3249	0.9960212373037859
