gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS6B03G0593900	Chr6B	315777179	315781147	+	315779163	Chr6B	293853176	293857351	-	293855263	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0594300	Chr6B	315840491	315847186	-	315843838	Chr6B	293786539	293793229	+	293789884	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0595200	Chr6B	315892575	315894487	-	315893531	Chr6B	293739292	293741204	+	293740248	1.0	0.998	rearrangement:Chr6B_block2
gene:TraesCS6B03G0595800	Chr6B	316439995	316445835	+	316442915	Chr6B	293194555	293200163	-	293197359	1.0	0.999	rearrangement:Chr6B_block2
gene:TraesCS6B03G0597200	Chr6B	317515294	317516947	+	317516120	Chr6B	292286908	292288557	-	292287732	0.996	0.994	rearrangement:Chr6B_block2
gene:TraesCS6B03G0598100	Chr6B	317705917	317716141	-	317711029	Chr6B	292087575	292097782	+	292092678	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0599000	Chr6B	319312246	319327408	+	319319827	Chr6B	290438548	290453817	-	290446182	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0599700	Chr6B	320264793	320265803	-	320265298	Chr6B	289479616	289480626	+	289480121	1.0	0.998	rearrangement:Chr6B_block1
gene:TraesCS6B03G0599900	Chr6B	320441860	320442408	-	320442134	Chr6B	289302263	289302811	+	289302537	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0600200	Chr6B	320695303	320739777	-	320717540	Chr6B	288992559	289037389	+	289014974	1.0	0.998	rearrangement:Chr6B_block1
gene:TraesCS6B03G0600400	Chr6B	321420033	321424444	-	321422238	Chr6B	288295656	288300065	+	288297860	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0601000	Chr6B	321794041	321797167	+	321795604	Chr6B	287923026	287926152	-	287924589	1.0	0.998	rearrangement:Chr6B_block1
gene:TraesCS6B03G0601100	Chr6B	322596489	322601998	-	322599243	Chr6B	287105868	287111381	+	287108624	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0601300	Chr6B	322745448	322750206	-	322747827	Chr6B	286884840	286889598	-	286887219	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0617000	Chr6B	340375048	340406066	+	340390557	Chr6B	322268471	322299497	-	322283984	1.0	0.999	rearrangement:Chr6B_block3
gene:TraesCS6B03G0617700	Chr6B	341351245	341354394	-	341352819	Chr6B	321358483	321361634	+	321360058	1.0	0.996	rearrangement:Chr6B_block3
gene:TraesCS6B03G0618200	Chr6B	341737424	341746108	+	341741766	Chr6B	320974791	320983773	-	320979282	1.0	1.0	rearrangement:Chr6B_block3
gene:TraesCS6B03G0618800	Chr6B	343135143	343140743	+	343137943	Chr6B	319481880	319487456	-	319484668	1.0	1.0	rearrangement:Chr6B_block3
gene:TraesCS6B03G0619100	Chr6B	344106928	344113984	+	344110456	Chr6B	318472718	318479773	-	318476245	1.0	0.998	rearrangement:Chr6B_block3
gene:TraesCS6B03G0619300	Chr6B	344120405	344129516	-	344124960	Chr6B	318457179	318466290	+	318461734	1.0	1.0	rearrangement:Chr6B_block3
gene:TraesCS6B03G0619400	Chr6B	344625984	344631070	-	344628527	Chr6B	317962117	317967298	+	317964707	1.0	0.998	rearrangement:Chr6B_block3
gene:TraesCS6B03G0619700	Chr6B	344738512	344766054	+	344752283	Chr6B	317822280	317854244	-	317838262	1.0	0.999	rearrangement:Chr6B_block3
gene:TraesCS6B03G0620000	Chr6B	344837059	344844949	+	344841004	Chr6B	317742922	317751294	-	317747108	1.0	1.0	rearrangement:Chr6B_block3
gene:TraesCS6B03G0620200	Chr6B	344914861	344918894	-	344916877	Chr6B	317668510	317673020	+	317670765	1.0	0.972	rearrangement:Chr6B_block3
gene:TraesCS6B03G0628000	Chr6B	352630831	352637972	-	352634401	Chr6B	397642339	397649194	+	397645766	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0628700	Chr6B	353728457	353730966	+	353729711	Chr6B	396566153	396568662	-	396567407	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0629000	Chr6B	354034934	354037072	-	354036003	Chr6B	396256524	396258674	+	396257599	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0630000	Chr6B	355172036	355175738	+	355173887	Chr6B	395064724	395068427	-	395066575	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0630900	Chr6B	355490160	355505200	+	355497680	Chr6B	394749866	394764698	-	394757282	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0631300	Chr6B	356232874	356235346	+	356234110	Chr6B	394033869	394036341	-	394035105	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0632100	Chr6B	356745434	356749811	-	356747622	Chr6B	393518699	393523076	+	393520887	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0633100	Chr6B	357550305	357555532	-	357552918	Chr6B	392713101	392718328	+	392715714	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0633700	Chr6B	358099501	358105535	-	358102518	Chr6B	392160958	392166992	+	392163975	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0634000	Chr6B	358710199	358714509	-	358712354	Chr6B	391553842	391558152	+	391555997	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0634300	Chr6B	358855469	358860398	+	358857933	Chr6B	391406875	391411804	-	391409339	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0634500	Chr6B	358867468	358868330	+	358867899	Chr6B	391399228	391400090	-	391399659	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0634700	Chr6B	358874828	358875872	-	358875350	Chr6B	391391452	391392496	+	391391974	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0634900	Chr6B	358902528	358902839	+	358902683	Chr6B	391370970	391371281	-	391371125	1.0	0.996	rearrangement:Chr6B_block5
gene:TraesCS6B03G0636000	Chr6B	359462158	359465952	-	359464055	Chr6B	390849784	390853581	+	390851682	1.0	0.998	rearrangement:Chr6B_block5
gene:TraesCS6B03G0636100	Chr6B	359789006	359789554	+	359789280	Chr6B	390525788	390526336	-	390526062	1.0	0.997	rearrangement:Chr6B_block5
gene:TraesCS6B03G0636200	Chr6B	359804396	359810132	-	359807264	Chr6B	390505208	390510944	+	390508076	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0636900	Chr6B	360319840	360322239	+	360321039	Chr6B	389986049	389988466	-	389987257	1.0	0.992	rearrangement:Chr6B_block5
gene:TraesCS6B03G0637100	Chr6B	360322023	360322223	-	360322123	Chr6B	389986065	389986265	+	389986165	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0637200	Chr6B	360327181	360330395	+	360328788	Chr6B	389977893	389981107	-	389979500	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0637300	Chr6B	360430634	360432489	+	360431561	Chr6B	389875283	389877138	-	389876210	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0637600	Chr6B	360738200	360746728	+	360742464	Chr6B	389556796	389565324	-	389561060	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0637700	Chr6B	360760291	360765503	-	360762897	Chr6B	389538025	389543237	+	389540631	1.0	0.999	rearrangement:Chr6B_block5
gene:TraesCS6B03G0638500	Chr6B	361228741	361235176	-	361231958	Chr6B	389076904	389083339	+	389080121	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0639300	Chr6B	361920219	361923485	+	361921852	Chr6B	388396065	388399331	-	388397698	1.0	1.0	rearrangement:Chr6B_block5
gene:TraesCS6B03G0639400	Chr6B	362077382	362081227	-	362079304	Chr6B	388228052	388231905	+	388229978	1.0	0.974	rearrangement:Chr6B_block5
gene:TraesCS6B03G0642700	Chr6B	367049090	367060357	-	367054723	Chr6B	381255545	381266811	+	381261178	1.0	0.999	rearrangement:Chr6B_block4
gene:TraesCS6B03G0643800	Chr6B	367905232	367908113	-	367906672	Chr6B	380397860	380400741	+	380399300	1.0	0.995	rearrangement:Chr6B_block4
gene:TraesCS6B03G0643900	Chr6B	368213217	368218321	+	368215769	Chr6B	380072976	380078082	-	380075529	1.0	1.0	rearrangement:Chr6B_block4
gene:TraesCS6B03G0644500	Chr6B	369499139	369505388	+	369502263	Chr6B	378777259	378783623	-	378780441	1.0	0.998	rearrangement:Chr6B_block4
gene:TraesCS6B03G0644700	Chr6B	369827726	369828021	+	369827873	Chr6B	378447035	378447330	-	378447182	1.0	1.0	rearrangement:Chr6B_block4
gene:TraesCS6B03G0645700	Chr6B	371513944	371514792	+	371514368	Chr6B	376748843	376749691	-	376749267	1.0	0.995	rearrangement:Chr6B_block4
gene:TraesCS6B03G0646500	Chr6B	372308254	372341287	-	372324770	Chr6B	375629457	375662738	+	375646097	1.0	0.998	rearrangement:Chr6B_block4
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	5542338	5543293	+	5542815	1.0	0.949	collinear
gene:TraesCS6B03G0002500	Chr6B	746313	747823	-	747068	Chr6B	3256643	3258153	+	3257398	1.0	0.984	collinear
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	3236374	3238931	+	3237652	0.999	0.984	collinear
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	4967294	4979428	+	4973361	1.0	0.992	collinear
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	5009159	5013788	+	5011473	0.999	0.995	collinear
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	5147219	5208465	-	5177842	1.0	0.999	collinear
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	5213296	5215793	-	5214544	1.0	0.999	collinear
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	5476972	5478812	+	5477892	1.0	0.997	collinear
gene:TraesCS6B03G0008900	Chr6B	2844462	2845888	-	2845175	Chr6B	3197558	3198993	-	3198275	0.999	0.908	collinear
gene:TraesCS6B03G0010200	Chr6B	3324499	3325296	+	3324897	Chr6B	2155848	2156644	+	2156246	0.998	0.972	collinear
gene:TraesCS6B03G0010600	Chr6B	3668366	3668803	-	3668584	Chr6B	2654634	2655071	+	2654852	1.0	0.984	collinear
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	5578108	5579063	+	5578585	1.0	0.945	collinear
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	5588709	5589635	+	5589172	1.0	0.984	collinear
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	5593195	5597606	-	5595400	1.0	0.998	collinear
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	5607319	5611588	+	5609453	1.0	0.954	collinear
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	5613564	5614553	-	5614058	0.99	0.947	collinear
gene:TraesCS6B03G0012200	Chr6B	4101789	4102203	+	4101996	Chr6B	5621024	5621438	+	5621231	1.0	1.0	collinear
gene:TraesCS6B03G0013100	Chr6B	4365827	4370767	+	4368297	Chr6B	5915060	5919810	+	5917435	0.998	0.991	collinear
gene:TraesCS6B03G0013400	Chr6B	4391416	4398100	+	4394758	Chr6B	5940085	5946769	+	5943427	1.0	0.998	collinear
gene:TraesCS6B03G0013500	Chr6B	4404062	4404739	+	4404400	Chr6B	5952732	5953409	+	5953070	1.0	0.997	collinear
gene:TraesCS6B03G0013700	Chr6B	4413195	4419297	+	4416246	Chr6B	5976943	5982899	+	5979921	0.948	0.946	collinear
gene:TraesCS6B03G0013900	Chr6B	4435732	4443343	-	4439537	Chr6B	6033727	6041326	+	6037526	1.0	0.992	collinear
gene:TraesCS6B03G0014800	Chr6B	4784208	4787302	+	4785755	Chr6B	6548833	6551331	-	6550082	1.0	0.981	collinear
gene:TraesCS6B03G0016400	Chr6B	5017617	5021758	+	5019687	Chr6B	6244692	6248860	+	6246776	1.0	0.981	collinear
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	6258889	6263140	-	6261014	1.0	1.0	collinear
gene:TraesCS6B03G0016600	Chr6B	5267504	5271857	+	5269680	Chr6B	6496232	6500585	+	6498408	1.0	1.0	collinear
gene:TraesCS6B03G0016900	Chr6B	5275373	5277237	+	5276305	Chr6B	6503911	6505775	+	6504843	1.0	1.0	collinear
gene:TraesCS6B03G0017100	Chr6B	5277081	5279442	-	5278261	Chr6B	6505619	6507980	-	6506799	1.0	1.0	collinear
gene:TraesCS6B03G0018500	Chr6B	5432365	5434175	-	5433270	Chr6B	6661968	6663778	-	6662873	1.0	1.0	collinear
gene:TraesCS6B03G0018700	Chr6B	5530350	5532958	-	5531654	Chr6B	6761212	6763823	-	6762517	1.0	0.999	collinear
gene:TraesCS6B03G0018800	Chr6B	5556339	5559013	-	5557676	Chr6B	6786664	6789322	-	6787993	0.991	0.991	collinear
gene:TraesCS6B03G0019200	Chr6B	5580392	5588578	-	5584485	Chr6B	6810907	6819147	-	6815027	1.0	1.0	collinear
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	7754978	7764931	+	7759954	0.994	0.966	collinear
gene:TraesCS6B03G0019800	Chr6B	6099288	6099791	+	6099539	Chr6B	7742037	7742540	-	7742288	1.0	0.987	collinear
