cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr6B	297711473	299893030	Chr6B	302698672	304862237	4	0.9915
Chr6B	301908638	303601662	Chr6B	299289543	301004436	9	0.9978888888888888
Chr6B	312885387	322599243	Chr6B	280575434	290070515	18	0.9991666666666666
Chr6B	340390557	344916877	Chr6B	310934230	315424716	10	0.9964999999999999
Chr6B	304323	109698670	Chr6B	403200	104820470	952	0.9909474789915967
Chr6B	112200748	114854793	Chr6B	107315968	110295991	7	0.9992857142857143
Chr6B	117450833	246426312	Chr6B	111962186	240591139	753	0.9946626826029217
Chr6B	249274084	259111612	Chr6B	243479071	252968603	29	0.9977931034482759
Chr6B	261263057	268713242	Chr6B	255118773	262831088	30	0.9927333333333334
Chr6B	280387366	289129738	Chr6B	263553282	272042864	39	0.9935128205128205
Chr6B	292829101	297214023	Chr6B	275893607	280208772	20	0.9951499999999998
Chr6B	304424565	308701890	Chr6B	291413945	298472666	18	0.9931666666666666
Chr6B	323344757	327439454	Chr6B	305708075	309771114	11	0.9954545454545456
Chr6B	348550830	349949438	Chr6B	335629005	337000195	5	0.9942
Chr6B	375900318	382866904	Chr6B	361616907	368586247	12	0.9965000000000002
Chr6B	410641112	432470595	Chr6B	395025439	416605298	55	0.999
Chr6B	438515907	449326149	Chr6B	417556139	428119776	50	0.9982
Chr6B	452819490	486984757	Chr6B	431612573	465769454	167	0.9955748502994013
Chr6B	500637029	508155265	Chr6B	481809725	489310444	34	0.997235294117647
Chr6B	524252260	629148387	Chr6B	503119727	608507893	638	0.9965
Chr6B	631157333	635284956	Chr6B	610561732	614776531	32	0.995625
Chr6B	638657051	730892061	Chr6B	617277455	703161608	910	0.9913967032967033
Chr6B	487505961	500363782	Chr6B	489581795	502731373	56	0.9928035714285713
Chr6B	508472261	523759415	Chr6B	466248467	481492575	98	0.999377551020408
