gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS3D03G0000100	Chr3D	110199	113774	+	111986	Chr3D	396496	400071	+	398283	1.0	1.0
gene:TraesCS3D03G0000500	Chr3D	162008	165953	-	163980	Chr3D	448455	452398	-	450426	1.0	1.0
gene:TraesCS3D03G0000600	Chr3D	285779	290894	+	288336	Chr3D	569914	575029	+	572471	1.0	1.0
gene:TraesCS3D03G0000800	Chr3D	298085	298420	+	298252	Chr3D	582220	582555	+	582387	1.0	1.0
gene:TraesCS3D03G0001100	Chr3D	351113	355413	+	353263	Chr3D	635286	639586	+	637436	1.0	1.0
gene:TraesCS3D03G0001200	Chr3D	368030	372630	-	370330	Chr3D	651958	656558	-	654258	1.0	1.0
gene:TraesCS3D03G0001900	Chr3D	579644	582517	-	581080	Chr3D	860029	862902	-	861465	1.0	1.0
gene:TraesCS3D03G0002000	Chr3D	616224	620987	-	618605	Chr3D	896571	901334	-	898952	1.0	0.999
gene:TraesCS3D03G0002100	Chr3D	622874	624603	+	623738	Chr3D	903221	904950	+	904085	1.0	1.0
gene:TraesCS3D03G0002200	Chr3D	677889	685725	+	681807	Chr3D	957567	965401	+	961484	1.0	1.0
gene:TraesCS3D03G0002300	Chr3D	693528	696046	+	694787	Chr3D	972677	975195	+	973936	1.0	0.997
gene:TraesCS3D03G0002400	Chr3D	718720	721668	+	720194	Chr3D	998085	1001033	+	999559	1.0	1.0
gene:TraesCS3D03G0002700	Chr3D	817877	820684	+	819280	Chr3D	1096353	1099178	+	1097765	1.0	1.0
gene:TraesCS3D03G0002800	Chr3D	827469	829078	+	828273	Chr3D	1106225	1107834	+	1107029	1.0	1.0
gene:TraesCS3D03G0002900	Chr3D	830991	833295	+	832143	Chr3D	1109747	1112051	+	1110899	1.0	1.0
gene:TraesCS3D03G0003000	Chr3D	841262	844418	+	842840	Chr3D	1120016	1123173	+	1121594	1.0	1.0
gene:TraesCS3D03G0003300	Chr3D	884205	886622	+	885413	Chr3D	1163251	1165668	+	1164459	1.0	0.999
gene:TraesCS3D03G0003500	Chr3D	901329	904718	-	903023	Chr3D	1180208	1183597	-	1181902	1.0	1.0
gene:TraesCS3D03G0003800	Chr3D	931898	935486	+	933692	Chr3D	1210028	1213616	+	1211822	1.0	0.996
gene:TraesCS3D03G0003900	Chr3D	935901	941009	+	938455	Chr3D	1214031	1219139	+	1216585	1.0	1.0
gene:TraesCS3D03G0004000	Chr3D	946485	948516	+	947500	Chr3D	1224694	1226725	+	1225709	1.0	1.0
gene:TraesCS3D03G0004100	Chr3D	1003700	1005908	+	1004804	Chr3D	1281951	1284159	+	1283055	1.0	1.0
gene:TraesCS3D03G0004700	Chr3D	1033659	1036001	+	1034830	Chr3D	1311703	1314045	+	1312874	1.0	1.0
gene:TraesCS3D03G0004900	Chr3D	1138223	1138747	-	1138485	Chr3D	1417082	1417606	-	1417344	1.0	1.0
gene:TraesCS3D03G0005000	Chr3D	1157913	1158474	-	1158193	Chr3D	1436738	1437299	-	1437018	1.0	1.0
gene:TraesCS3D03G0005100	Chr3D	1161614	1161970	-	1161792	Chr3D	1440521	1440877	-	1440699	1.0	1.0
gene:TraesCS3D03G0005200	Chr3D	1190842	1191189	-	1191015	Chr3D	1469756	1470103	-	1469929	1.0	1.0
gene:TraesCS3D03G0005300	Chr3D	1192861	1193316	-	1193088	Chr3D	1471775	1472230	-	1472002	1.0	1.0
gene:TraesCS3D03G0005400	Chr3D	1281513	1290345	-	1285929	Chr3D	1560280	1569165	-	1564722	1.0	0.999
gene:TraesCS3D03G0005700	Chr3D	1306177	1308940	+	1307558	Chr3D	1584931	1587694	+	1586312	1.0	1.0
